city,season,n_hours,n_days,kt_hourly_mean,kt_hourly_median,clear_hour_share,overcast_hour_share,kt_daily_mean,kt_daily_median,kt_daily_std,clear_day_share,overcast_day_share
Ankara,Tümü,29417,2527,0.8139296195019033,0.9063044843582152,0.7356630519767481,0.02984668728966244,0.8049985741444474,0.8881213726368284,0.20745438924972381,0.7301147605856747,0.027700831024930747
Ankara,Kış,6017,632,0.6836230878785622,0.6988120195667364,0.49891972743892304,0.06930363968755193,0.6791008557139075,0.6952981559969846,0.23056112831218362,0.49683544303797467,0.07436708860759493
Ankara,İlkbahar,8185,643,0.7619727968833129,0.8131214571136511,0.6452046426389737,0.04105070250458155,0.7613890804787936,0.7965783274312807,0.2038457920022238,0.6578538102643857,0.026438569206842923
Ankara,Yaz,8459,615,0.9167600983274022,0.9840098400984009,0.9157110769594514,0.00401938763447216,0.9223357368338109,0.9699913456481861,0.10663896525156677,0.9349593495934959,0.0
Ankara,Sonbahar,6756,637,0.8641779874009433,0.9503373139241856,0.8306690349319124,0.013469508584961517,0.8606436407396723,0.9369424247529927,0.1765763289647939,0.8367346938775511,0.009419152276295133
Antalya,Tümü,29658,2527,0.8336182154913256,0.9033476504496614,0.806156854811518,0.018443590262323825,0.8385326860756533,0.9128341417122929,0.1776807365422802,0.814404432132964,0.013850415512465374
Antalya,Kış,6255,632,0.6968455855861522,0.7370283018867925,0.5605115907274181,0.047961630695443645,0.7164610923027945,0.7757500330811382,0.20661716257416365,0.5917721518987342,0.04113924050632911
Antalya,İlkbahar,8126,643,0.8031171556968927,0.8613264427217916,0.7621215850356879,0.02042825498400197,0.8130709953450204,0.8688939576988483,0.16824510013807134,0.7931570762052877,0.006220839813374806
Antalya,Yaz,8371,615,0.9414882982838236,0.9672482399755128,0.9765858320391829,0.001314060446780552,0.9529471669742293,0.9728276609806994,0.06080504586958756,0.9902439024390244,0.0
Antalya,Sonbahar,6906,637,0.8626341362689717,0.9121871417461358,0.8738777874312192,0.010136113524471474,0.8748846619808642,0.9294363970261994,0.14644199566626503,0.8869701726844584,0.007849293563579277
Konya,Tümü,29500,2527,0.8211619786727657,0.9169776877862875,0.7460677966101695,0.027322033898305086,0.8141203532023408,0.8943286899573754,0.20243700660725092,0.7479224376731302,0.02295211713494262
Konya,Kış,6082,632,0.7009185532273237,0.745757658656768,0.5458730680697139,0.06363038474186122,0.7022529322382466,0.7388870230060023,0.22918712891801538,0.5522151898734177,0.060126582278481014
Konya,İlkbahar,8182,643,0.7599241010902174,0.8147716724039831,0.6398191151307748,0.03984355903202151,0.7577039668628003,0.8013768449649755,0.20022355307765088,0.6485225505443235,0.02332814930015552
Konya,Yaz,8421,615,0.9247014520508421,0.987093749228833,0.9237620235126469,0.0013062581641135257,0.9288602694091641,0.9721456858905982,0.09752777239745043,0.9512195121951219,0.0
Konya,Sonbahar,6815,637,0.874054557194088,0.9686456843109205,0.8327219369038885,0.012032281731474689,0.8712803186629937,0.9536765876724751,0.171296880815961,0.8461538461538461,0.007849293563579277
Rize,Tümü,29257,2527,0.6898215783258352,0.7420910554455513,0.5420924906859896,0.09679734764329904,0.6968498202548494,0.7510628597300193,0.2438458358283846,0.5516422635536209,0.08072813612979818
Rize,Kış,5849,632,0.6153174130557636,0.6101251488705363,0.4140878782697897,0.15353051803727133,0.6257271707909918,0.6199743783148368,0.2641917469750044,0.41139240506329117,0.14873417721518986
Rize,İlkbahar,8103,643,0.6605916829042716,0.6919283413848631,0.4925336295199309,0.12230038257435517,0.6703194752898892,0.7000776860399993,0.24485527887026182,0.5007776049766719,0.09020217729393468
Rize,Yaz,8540,615,0.7516620388982922,0.8179439784038804,0.6485948477751756,0.05117096018735363,0.7718935531618997,0.838459974488351,0.19795568963728835,0.6878048780487804,0.016260162601626018
Rize,Sonbahar,6765,637,0.7111825793571425,0.7765071297472821,0.5776792313377679,0.07479674796747968,0.7217424898557777,0.7940102043896989,0.23823651652140493,0.6106750392464678,0.06593406593406594
Van,Tümü,29565,2527,0.8305530751908538,0.8970280572034505,0.7829189920514121,0.016235413495687467,0.8240661270592682,0.8787832062907907,0.1749437094946357,0.7870993272655322,0.009497427779976256
Van,Kış,6084,632,0.744629405016498,0.7896280717265934,0.6545036160420776,0.024983563445101907,0.7496626137074817,0.8089169886794954,0.1752480059225997,0.685126582278481,0.01740506329113924
Van,İlkbahar,8169,643,0.7505896244905036,0.7820530008490861,0.6496511200881381,0.026196596890684293,0.7473995737629757,0.7726781023025808,0.17032185278268075,0.6531881804043546,0.01088646967340591
Van,Yaz,8399,615,0.9379772113869814,0.9802105523139144,0.9576140016668651,0.0011906179307060365,0.9379100662731892,0.9691896643052977,0.0767863741441232,0.975609756097561,0.0
Van,Sonbahar,6913,637,0.8701488683632337,0.9514393842752051,0.8411688123824678,0.015044119774338203,0.8653621892119897,0.9476923163643562,0.17442801114918813,0.8414442700156985,0.009419152276295133
