city,variable,variable_label,n,mean,std,min,q25,median,q75,max,skew,excess_kurtosis,between_city_sd
Ankara,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN (W/m²),60648,194.90136159111228,275.7837119199717,0.0,0.0,8.333333333333332,347.22222222222223,1027.7777777777778,1.2722110940299334,0.3686183807291612,
Ankara,T2M,T2M (°C),60648,11.11693180319219,10.01317059768802,-16.57,3.06,10.65,18.3,40.03,0.24414299405333087,-0.6632102434918301,
Ankara,RH2M,RH2M (%),60648,64.99369872048541,25.082663726766338,6.53,44.55,67.64,87.43,100.0,-0.2873683139617436,-1.0886956389253095,
Ankara,T2MDEW,T2MDEW (°C),60648,3.2149846656113965,6.084769786219598,-16.46,-1.02,3.45,7.95,18.47,-0.244602993283638,-0.5174848568109947,
Ankara,PS,PS (kPa),60648,88.79509134678803,0.4567728661486702,86.26,88.51,88.81,89.1,90.21,-0.32863912914471416,0.6166512491579161,
Ankara,WS2M,WS2M (m/s),60648,2.2257022490436613,1.3994243855951234,0.0,1.15,1.81,3.04,13.26,1.2047007641793124,1.7155141232182363,
Ankara,PRECTOTCORR,PRECTOTCORR (mm/hour),60648,0.04148034560084422,0.17744509757180013,0.0,0.0,0.0,0.01,7.87,11.765131127575577,251.34538636365676,
Antalya,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN (W/m²),60648,207.0811623356637,287.59354586934825,0.0,0.0,8.333333333333332,391.66666666666663,1044.4444444444443,1.1717139163516472,0.025872578193384843,
Antalya,T2M,T2M (°C),60648,18.316428406542673,9.058627277847975,-3.91,11.48,17.44,24.85,42.3,0.20880185756960007,-0.6014618980141595,
Antalya,RH2M,RH2M (%),60648,60.78135618651893,22.895381040769394,9.41,42.33,61.27,80.36,100.0,-0.11843621661329053,-1.0634168373597797,
Antalya,T2MDEW,T2MDEW (°C),60648,9.089752506265665,5.828993099309838,-10.44,5.54,9.73,13.12,23.81,-0.4334328967824488,-0.0974410821379359,
Antalya,PS,PS (kPa),60648,96.04515317900014,0.5240733121700453,94.08,95.65,96.01,96.42,97.73,0.1885372294812928,-0.28980908879092837,
Antalya,WS2M,WS2M (m/s),60648,2.1093955282944203,1.3328417411794662,0.01,1.14,1.74,2.84,10.72,1.1934868867391275,1.5485770302097235,
Antalya,PRECTOTCORR,PRECTOTCORR (mm/hour),60648,0.08228977047882866,0.3685157353142445,0.0,0.0,0.0,0.01,14.49,10.220069655483341,163.15930514081003,
Konya,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN (W/m²),60648,203.87971940084128,284.85479109263184,0.0,0.0,8.333333333333332,372.22222222222223,1055.5555555555554,1.2216217197321886,0.2113954782253371,
Konya,T2M,T2M (°C),60648,11.920869443345206,10.137115163327035,-17.48,3.91,11.47,19.3,40.73,0.15907833271132046,-0.6567424766134233,
Konya,RH2M,RH2M (%),60648,61.31904745416172,25.73067737575333,4.66,39.55,61.49,84.4125,100.0,-0.08141035618056408,-1.1853309638221714,
Konya,T2MDEW,T2MDEW (°C),60648,2.909025194565361,5.632593084199244,-17.32,-0.73,3.24,7.02,17.83,-0.34314926981208965,-0.17219206540469179,
Konya,PS,PS (kPa),60648,87.85903047091413,0.43540847833509205,85.78,87.59,87.87,88.15,89.27,-0.31270243360147015,0.6709521526456417,
Konya,WS2M,WS2M (m/s),60648,2.4037297190344282,1.5616726178163685,0.01,1.21,1.95,3.28,13.65,1.2818677328297259,2.038531316860615,
Konya,PRECTOTCORR,PRECTOTCORR (mm/hour),60648,0.039795211713494254,0.17089180122380906,0.0,0.0,0.0,0.01,6.02,10.925852721742231,197.24458055068575,
Rize,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN (W/m²),60648,154.69398093186183,232.48243929580653,0.0,0.0,5.555555555555555,252.77777777777777,988.8888888888889,1.5170585998080495,1.2720030945119571,
Rize,T2M,T2M (°C),60648,11.138628973750166,7.9604135335356565,-14.27,4.98,11.19,17.67,34.13,-0.05450518660633812,-0.8255511445872159,
Rize,RH2M,RH2M (%),60648,78.4101747790529,13.739477963488099,18.51,69.75,80.3,89.6725,100.0,-0.7373079148342635,0.15064674927097466,
Rize,T2MDEW,T2MDEW (°C),60648,6.88355543463923,7.203815373526185,-18.64,1.48,6.6,13.16,22.08,-0.13016628837988237,-0.8560491167156914,
Rize,PS,PS (kPa),60648,91.195523842501,0.46628939273025105,89.16,90.89,91.2,91.5,92.72,-0.13440605918250143,0.28562614774304507,
Rize,WS2M,WS2M (m/s),60648,1.7165415182693575,1.0822285420839046,0.01,0.97,1.49,2.22,9.9,1.608412183098138,4.411781829161424,
Rize,PRECTOTCORR,PRECTOTCORR (mm/hour),60648,0.16054775095633816,0.40460102603285997,0.0,0.0,0.0,0.11,8.84,5.153748606284811,41.976985611441265,
Van,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN (W/m²),60648,208.1841115947764,287.7403919883269,0.0,0.0,8.333333333333332,388.88888888888886,1216.6666666666665,1.1874383256413263,0.1250608351515221,
Van,T2M,T2M (°C),60648,7.304535846194433,11.236820865725408,-24.33,-1.52,6.34,15.56,35.41,0.19535902266092153,-0.675165091152619,
Van,RH2M,RH2M (%),60648,58.68398413797652,27.078984680097843,3.36,35.94,58.63,82.21,100.0,-0.047043445941273965,-1.165887532658039,
Van,T2MDEW,T2MDEW (°C),60648,-2.4394078947368425,6.295192040659911,-30.33,-6.94,-1.94,2.44,13.14,-0.3613633307469647,-0.29112713807307466,
Van,PS,PS (kPa),60648,77.68663533834585,0.4145060460454534,75.74,77.47,77.74,77.97,78.83,-0.7896713313724772,1.0744785993144212,
Van,WS2M,WS2M (m/s),60648,2.283792045904234,1.5446816976555788,0.0,1.17,1.76,3.11,12.76,1.3974987028082442,2.2685185405181043,
Van,PRECTOTCORR,PRECTOTCORR (mm/hour),60648,0.041748614958448754,0.1627755522571237,0.0,0.0,0.0,0.01,6.61,10.877670228864165,205.27260718296424,
All,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN (W/m²),303240,193.74806717085107,275.23153272370814,0.0,0.0,8.333333333333332,344.44444444444446,1216.6666666666665,1.2794223002579788,0.39378880324432686,22.446452515793982
All,T2M,T2M (°C),303240,11.959478894604935,10.374740134548478,-24.33,4.18,11.91,19.3,42.3,0.06283378560202932,-0.45708006863370043,3.9832296181871265
All,RH2M,RH2M (%),303240,64.83765225563909,24.447311107390018,3.36,45.79,68.23,85.85,100.0,-0.3689663512858273,-0.9544559200490745,7.920534499000716
All,T2MDEW,T2MDEW (°C),303240,3.9315819812689616,7.371828771205461,-30.33,-1.02,4.0,9.32,23.81,-0.1932708608541343,-0.2557501219170186,4.400838457878146
All,PS,PS (kPa),303240,88.31628683550983,6.0417863096285584,75.74,87.57,88.82,91.5,97.73,-0.6463723867763717,-0.5033017068089349,6.7352284443830985
All,WS2M,WS2M (m/s),303240,2.1478322121092206,1.4148025443307048,0.0,1.13,1.72,2.87,13.65,1.3927136668561917,2.495568007693343,0.2634014969413734
All,PRECTOTCORR,PRECTOTCORR (mm/hour),303240,0.0731723387415908,0.2819613018737913,0.0,0.0,0.0,0.02,14.49,9.446043744630444,154.044213657312,0.0520179192093029
