city,variable,variable_tr,n,mean,std,min,q25,median,q75,max,skew,excess_kurtosis,between_city_sd
Ankara,ALLSKY_SFC_SW_DWN,Güneş ışınımı (W/m²),30540,386.9270719639089,277.0559729428584,2.7777777777777777,141.66666666666666,341.66666666666663,602.7777777777777,1027.7777777777778,0.4221274728715105,-0.9567274759310673,
Ankara,T2M,"Sıcaklık, 2 m (°C)",30540,15.064448919449902,10.028781591943794,-15.62,7.03,15.08,22.97,40.03,0.0061061162767118765,-0.8601009491916569,
Ankara,RH2M,"Bağıl nem, 2 m (%)",30540,51.859101833660766,23.162007057345,6.53,32.68,49.39,69.6925,100.0,0.2753533078969157,-0.9333867137326592,
Ankara,T2MDEW,"Çiy noktası, 2 m (°C)",30540,3.421966273739358,5.781482944850287,-16.46,-0.46,3.79,7.86,18.47,-0.35240062593253396,-0.35553334139582216,
Ankara,PS,Yüzey basıncı (kPa),30540,88.77150851342502,0.4472013091040255,86.26,88.49,88.78,89.07,90.21,-0.26377228268846425,0.6675027427295337,
Ankara,WS2M,"Rüzgâr hızı, 2 m (m/s)",30540,2.7236024885396204,1.4764154503669638,0.01,1.58,2.55,3.63,13.26,0.7929603116669498,0.9342724017450013,
Ankara,WS10M,"Rüzgâr hızı, 10 m (m/s)",30540,3.6292269155206287,1.9632187384929782,0.01,2.1875,3.34,4.78,18.31,0.9190108741574836,1.3893211194196144,
Ankara,PRECTOTCORR,Yağış (mm/saat),30540,0.04565913555992142,0.17696356053845064,0.0,0.0,0.0,0.01,6.79,10.592413939294433,206.27866712028182,
Antalya,ALLSKY_SFC_SW_DWN,Güneş ışınımı (W/m²),30555,410.96965399370896,283.53108578458927,2.7777777777777777,158.33333333333331,388.88888888888886,638.8888888888888,1044.4444444444443,0.2812975877281451,-1.1015444659613356,
Antalya,T2M,"Sıcaklık, 2 m (°C)",30555,21.822270004909182,9.103063074207455,-3.26,14.45,21.58,29.29,42.3,0.03457887759257641,-0.920706729634015,
Antalya,RH2M,"Bağıl nem, 2 m (%)",30555,48.562346915398464,20.876567172687015,9.41,31.92,45.33,63.45,100.0,0.4350585521321933,-0.7356009299300279,
Antalya,T2MDEW,"Çiy noktası, 2 m (°C)",30555,8.770763868433972,5.427441415964994,-10.44,5.69,9.59,12.625,22.93,-0.6646861620277499,0.2545775962477741,
Antalya,PS,Yüzey basıncı (kPa),30555,95.99536900670921,0.520278697654071,94.08,95.61,95.95,96.36,97.73,0.2758507536092159,-0.24524923419845823,
Antalya,WS2M,"Rüzgâr hızı, 2 m (m/s)",30555,2.5376665030273275,1.4111528897641734,0.03,1.43,2.36,3.46,10.72,0.7286371548526845,0.5369581623054005,
Antalya,WS10M,"Rüzgâr hızı, 10 m (m/s)",30555,3.3897447226313204,1.8967452615426623,0.03,1.93,3.15,4.58,14.93,0.7850639259624905,0.8178240033004913,
Antalya,PRECTOTCORR,Yağış (mm/saat),30555,0.07505449189985272,0.3174997021804832,0.0,0.0,0.0,0.01,7.38,8.433331283747641,97.65247131489151,
Konya,ALLSKY_SFC_SW_DWN,Güneş ışınımı (W/m²),30502,405.2489272106018,282.4157919984681,2.7777777777777777,155.55555555555557,369.44444444444446,627.7777777777777,1055.5555555555554,0.3620057132394116,-1.0004649729610597,
Konya,T2M,"Sıcaklık, 2 m (°C)",30502,15.93989935086224,10.078875209273875,-17.03,8.192499999999999,16.09,24.09,40.73,-0.08948332064107448,-0.7943914549204556,
Konya,RH2M,"Bağıl nem, 2 m (%)",30502,48.549829519375784,22.957041061819613,4.66,29.41,45.44,65.31,100.0,0.41367887945002296,-0.8059951785523403,
Konya,T2MDEW,"Çiy noktası, 2 m (°C)",30502,3.105830765195725,5.387260748390485,-17.23,-0.31,3.42,7.05,16.93,-0.36546788627010957,-0.09477054407605001,
Konya,PS,Yüzey basıncı (kPa),30502,87.8372303455511,0.429540742713161,85.78,87.57,87.84,88.12,89.27,-0.25075214897706477,0.6827176422267756,
Konya,WS2M,"Rüzgâr hızı, 2 m (m/s)",30502,2.9713959740344897,1.6660236111600313,0.01,1.68,2.74,3.96,13.65,0.9138180064262225,1.3276444446812876,
Konya,WS10M,"Rüzgâr hızı, 10 m (m/s)",30502,3.9514399055799623,2.221392350073053,0.01,2.31,3.57,5.21,18.73,1.040011548625799,1.7563003819498393,
Konya,PRECTOTCORR,Yağış (mm/saat),30502,0.04155366861189431,0.1662043032500114,0.0,0.0,0.0,0.01,5.38,10.26034969094266,171.56227309290398,
Rize,ALLSKY_SFC_SW_DWN,Güneş ışınımı (W/m²),30628,306.26042981730586,246.19746639893478,0.0,94.44444444444444,250.0,475.0,988.8888888888889,0.6920822425461516,-0.5485134103826552,
Rize,T2M,"Sıcaklık, 2 m (°C)",30628,13.514109311740889,7.929834618442487,-12.44,7.0,14.35,20.02,34.13,-0.20760254219827579,-0.8589374599743085,
Rize,RH2M,"Bağıl nem, 2 m (%)",30628,73.23177713203604,14.326605281008147,18.51,64.06,74.485,84.31,100.0,-0.487150283707397,-0.2107168882287298,
Rize,T2MDEW,"Çiy noktası, 2 m (°C)",30628,8.190530560271647,6.676544779567319,-15.92,2.94,8.2,14.08,21.9,-0.1955765839551825,-0.8584590187935008,
Rize,PS,Yüzey basıncı (kPa),30628,91.17045154760349,0.45418842734891857,89.16,90.87,91.17,91.47,92.72,-0.07005003059730532,0.2934380180322407,
Rize,WS2M,"Rüzgâr hızı, 2 m (m/s)",30628,1.7648589525923992,1.0133882158677043,0.01,1.02,1.65,2.33,9.63,1.3427766452726053,4.318579021702998,
Rize,WS10M,"Rüzgâr hızı, 10 m (m/s)",30628,2.7426338644377695,1.527111566555632,0.01,1.63,2.56,3.62,15.99,1.255707685328583,3.9967385993298596,
Rize,PRECTOTCORR,Yağış (mm/saat),30628,0.1554639545513909,0.39020065143342797,0.0,0.0,0.01,0.11,6.65,4.873963429668307,34.23411563885904,
Van,ALLSKY_SFC_SW_DWN,Güneş ışınımı (W/m²),30668,411.600673159138,282.886647632438,2.7777777777777777,163.88888888888889,383.3333333333333,633.3333333333333,1216.6666666666665,0.33122940449742355,-0.9935855773284907,
Van,T2M,"Sıcaklık, 2 m (°C)",30668,11.685857897482718,11.223878074438444,-23.59,2.47,11.39,21.19,35.41,-0.022739558339093687,-0.9263693765123637,
Van,RH2M,"Bağıl nem, 2 m (%)",30668,45.783384309377865,24.19554200356885,3.36,24.55,43.55,64.08,100.0,0.36034994611805776,-0.8858767681858879,
Van,T2MDEW,"Çiy noktası, 2 m (°C)",30668,-2.1249406547541407,5.78378003564285,-27.46,-6.16,-1.64,2.33,12.53,-0.375041461434113,-0.2584360869226914,
Van,PS,Yüzey basıncı (kPa),30668,77.67842604669363,0.4043101950166899,75.76,77.46,77.72,77.96,78.83,-0.754476317918308,1.0927297632511266,
Van,WS2M,"Rüzgâr hızı, 2 m (m/s)",30668,3.0261966871005606,1.6728614988511903,0.02,1.72,2.81,4.01,12.76,0.8886342005128144,1.0265624186434552,
Van,WS10M,"Rüzgâr hızı, 10 m (m/s)",30668,3.9662817920959954,2.129302085627462,0.02,2.38,3.62,5.18,16.16,0.9567773166557473,1.2065340719084334,
Van,PRECTOTCORR,Yağış (mm/saat),30668,0.04093452458588757,0.15132042563442516,0.0,0.0,0.0,0.01,5.73,10.891323387462839,211.41932634699313,
Tümü,ALLSKY_SFC_SW_DWN,Güneş ışınımı (W/m²),152893,384.17682446038884,277.6734604509063,0.0,138.88888888888889,341.66666666666663,600.0,1216.6666666666665,0.4248035004623842,-0.9437429518540803,44.70034148041926
Tümü,T2M,"Sıcaklık, 2 m (°C)",152893,15.601358924214972,10.321897798524072,-23.59,7.84,15.84,23.3,42.3,-0.07565857144304759,-0.5960422102218459,3.833741564941984
Tümü,RH2M,"Bağıl nem, 2 m (%)",152893,53.602807715199525,23.625397028230935,3.36,33.69,53.1,73.06,100.0,0.05851418741838322,-1.074259069091043,11.185023629280435
Tümü,T2MDEW,"Çiy noktası, 2 m (°C)",152893,4.270460256519264,7.052424640949656,-27.46,-0.43,4.38,9.44,22.93,-0.21822401814125802,-0.27401445868653695,4.43275062490242
Tümü,PS,Yüzey basıncı (kPa),152893,88.28423884677518,6.033802646126679,75.76,87.56,88.79,91.47,97.73,-0.6476900820960511,-0.5081257881461236,6.721459354932392
Tümü,WS2M,"Rüzgâr hızı, 2 m (m/s)",152893,2.6045158378735453,1.5367449592415972,0.01,1.43,2.35,3.5,13.65,1.0084480328485557,1.4769885891579482,0.5089424479458625
Tümü,WS10M,"Rüzgâr hızı, 10 m (m/s)",152893,3.535651599484607,2.0133214547170097,0.01,2.06,3.2,4.65,18.73,1.0543913374046905,1.8087509009098928,0.5042926566534457
Tümü,PRECTOTCORR,Yağış (mm/saat),152893,0.07176339008326084,0.2625224474712814,0.0,0.0,0.0,0.02,7.38,8.134626281281685,99.23095411754868,0.048890412138051335
