city,season,n_hours,n_days,hourly_mean_24h,hourly_mean_daylight,hourly_max,daily_kwh_mean,daily_kwh_std,daily_kwh_cv,daily_kwh_q25,daily_kwh_q75
Ankara,Winter,15168,632,92.49827853961557,226.28888171348615,730.5555555555555,2.219958684950773,0.959933654026682,0.4324105941854356,1.488888888888889,2.767361111111111
Ankara,Spring,15432,643,220.27550976326248,400.8849702497969,1025.0,5.2866122343183,1.7935699555008342,0.33926641032186694,3.9097222222222223,6.668055555555556
Ankara,Summer,14760,615,303.55653417645283,509.1044823232323,1027.7777777777778,7.2853568202348695,1.036051821394081,0.14221016855570845,6.697222222222223,8.073611111111111
Ankara,Autumn,15288,637,165.98494098494098,358.8422781865057,883.3333333333334,3.9836385836385833,1.4592331269075047,0.36630660544879745,2.975,5.208333333333333
Antalya,Winter,15168,632,107.62039234646038,252.81779843360016,755.5555555555555,2.582889416315049,0.9885845031420383,0.382743642409759,1.8416666666666668,3.2215277777777778
Antalya,Spring,15432,643,237.07591728587062,435.746145192244,1044.4444444444443,5.689822014860895,1.5941880802368877,0.2801824162641865,4.751388888888888,6.981944444444444
Antalya,Summer,14760,615,310.54802770249927,533.9015077978387,1041.6666666666667,7.453152664859983,0.7476746921546897,0.1003165674681287,6.9375,8.045833333333334
Antalya,Autumn,15288,637,175.59051398337115,376.91089263420724,900.0,4.2141723356009075,1.3597746114469507,0.3226670632237107,3.2555555555555555,5.361111111111112
Konya,Winter,15168,632,104.4475943506798,250.3641906971023,761.1111111111112,2.506742264416315,0.9956777951871281,0.397199907354244,1.7305555555555556,3.08125
Konya,Spring,15432,643,225.87390559299578,415.6611137616625,1055.5555555555554,5.420973734231899,1.7688824375637278,0.3263034510559866,4.116666666666667,6.8125
Konya,Summer,14760,615,310.1981707317073,530.0010934866788,1050.0,7.444756097560975,0.9681210566427026,0.13004066808311895,6.9208333333333325,8.208333333333332
Konya,Autumn,15288,637,177.68347723704866,379.34168451771137,936.1111111111111,4.264403453689169,1.47398727203114,0.3456491131851003,3.208333333333333,5.491666666666666
Rize,Winter,15168,632,74.17113513830286,183.5014774931564,705.5555555555555,1.7801072433192686,0.897767467578584,0.5043333602219191,1.0777777777777777,2.3368055555555554
Rize,Spring,15432,643,182.87739041529866,332.80549657938195,988.8888888888889,4.389057369967167,1.9406785920621006,0.44216295857545784,2.7763888888888886,5.881944444444445
Rize,Summer,14760,615,238.08510237880157,393.9237668161435,983.3333333333334,5.714042457091237,1.5927200079960881,0.2787378672728432,4.597222222222221,6.927777777777777
Rize,Autumn,15288,637,125.62485464271178,270.40401195449783,833.3333333333333,3.0149965114250827,1.3856957822910922,0.45960112293334715,1.911111111111111,4.086111111111111
Van,Winter,15168,632,113.06295417252694,264.2064714946071,1216.6666666666665,2.7135109001406468,0.8855497673659272,0.32634833614268044,2.086111111111111,3.194444444444444
Van,Spring,15432,643,226.30626836011749,416.8032841245208,1063.888888888889,5.43135044064282,1.6973337134384523,0.31250675720301463,4.258333333333333,6.690277777777778
Van,Summer,14760,615,318.3557286961759,539.1700779167783,1069.4444444444443,7.640537488708219,0.9171023979332547,0.12003113645978702,7.072222222222222,8.347222222222221
Van,Autumn,15288,637,177.89915111343686,383.5947297466767,936.1111111111111,4.269579626722484,1.5650747886010377,0.3665641410703605,3.1222222222222222,5.597222222222221
