city,season,start,end,n_hours,n_days,daylight_hour_share,mean_daylight_hours_per_day,target_mean_24h,target_mean_daylight,daily_total_mean_kwh
Ankara,Tümü,2019-06-30,2026-03-30 23:00:00,59184,2466,0.5320018924033523,12.768045417680455,193.96829193700998,364.6007555739059,4.65523900648824
Ankara,Kış,2019-12-01,2026-02-28 23:00:00,15168,632,0.4427742616033755,10.626582278481013,92.50629746835443,208.9242882668255,2.220151139240506
Ankara,İlkbahar,2020-03-01,2026-03-30 23:00:00,13968,582,0.5811855670103093,13.948453608247423,218.98173396334477,376.78453559990146,5.255561615120275
Ankara,Yaz,2019-06-30,2025-08-31 23:00:00,14760,615,0.6102981029810298,14.647154471544715,303.55503319783196,497.388131660746,7.285320796747967
Ankara,Sonbahar,2019-09-01,2025-11-30 23:00:00,15288,637,0.5,12.0,165.97819989534273,331.95639979068545,3.983476797488226
Antalya,Tümü,2019-06-30,2026-03-30 23:00:00,59184,2466,0.5220329818869965,12.528791565287916,206.0342203974047,394.67663451579494,4.944821289537713
Antalya,Kış,2019-12-01,2026-02-28 23:00:00,15168,632,0.4427742616033755,10.626582278481013,107.6179760021097,243.05382072662297,2.582831424050633
Antalya,İlkbahar,2020-03-01,2026-03-30 23:00:00,13968,582,0.552405498281787,13.257731958762887,235.78039733676974,426.8248561430793,5.658729536082474
Antalya,Yaz,2019-06-30,2025-08-31 23:00:00,14760,615,0.5833333333333334,14.0,310.5523075880759,532.3753844367014,7.453255382113821
Antalya,Sonbahar,2019-09-01,2025-11-30 23:00:00,15288,637,0.5137362637362637,12.32967032967033,175.5917837519623,341.7936325439267,4.214202810047095
Konya,Tümü,2019-06-30,2026-03-30 23:00:00,59184,2466,0.5320018924033523,12.768045417680455,203.0127095160854,381.6014800228673,4.87230502838605
Konya,Kış,2019-12-01,2026-02-28 23:00:00,15168,632,0.4427742616033755,10.626582278481013,104.44365308544303,235.88465306730197,2.506647674050633
Konya,İlkbahar,2020-03-01,2026-03-30 23:00:00,13968,582,0.5811855670103093,13.948453608247423,224.50379223940436,386.28590416358713,5.388091013745704
Konya,Yaz,2019-06-30,2025-08-31 23:00:00,14760,615,0.6102981029810298,14.647154471544715,310.20355555555557,508.28202486678504,7.444885333333334
Konya,Sonbahar,2019-09-01,2025-11-30 23:00:00,15288,637,0.5,12.0,177.68376635269493,355.36753270538986,4.264410392464679
Rize,Tümü,2019-06-30,2026-03-30 23:00:00,59184,2466,0.532441200324412,12.778588807785889,153.57450966477424,288.43468456461034,3.6857882319545827
Rize,Kış,2019-12-01,2026-02-28 23:00:00,15168,632,0.4440268987341772,10.656645569620252,74.17803270042195,167.05752041573865,1.7802727848101265
Rize,İlkbahar,2020-03-01,2026-03-30 23:00:00,13968,582,0.5811855670103093,13.948453608247423,181.08239404352807,311.5741414141414,4.345977457044673
Rize,Yaz,2019-06-30,2025-08-31 23:00:00,14760,615,0.625,15.0,238.084439701897,380.93510352303525,5.714026552845529
Rize,Sonbahar,2019-09-01,2025-11-30 23:00:00,15288,637,0.48626373626373626,11.67032967032967,125.6237683150183,258.34492467043316,3.0149704395604395
Van,Tümü,2019-06-30,2026-03-30 23:00:00,59184,2466,0.532728440118951,12.785482562854826,207.56982157339826,389.6353300136382,4.981675717761558
Van,Kış,2019-12-01,2026-02-28 23:00:00,15168,632,0.4440268987341772,10.656645569620252,113.06778678797468,254.64175055679286,2.713626882911392
Van,İlkbahar,2020-03-01,2026-03-30 23:00:00,13968,582,0.5678694158075601,13.628865979381443,225.6029202462772,397.27957513867875,5.414470085910653
Van,Yaz,2019-06-30,2025-08-31 23:00:00,14760,615,0.6102981029810298,14.647154471544715,318.36074322493226,521.6479318383658,7.640657837398376
Van,Sonbahar,2019-09-01,2025-11-30 23:00:00,15288,637,0.5137362637362637,12.32967032967033,177.8894538199895,346.2661026228673,4.269346891679748
