city,scope,factor,eta_squared,harmonic_r2
Ankara,24 saat,saat (LST),0.7319949775580517,0.7292212656453844
Ankara,24 saat,yılın günü,0.09741744552974818,0.09354703124920005
Antalya,24 saat,saat (LST),0.7804625874645856,0.7769874930782332
Antalya,24 saat,yılın günü,0.08539370583780814,0.08310472309431882
Konya,24 saat,saat (LST),0.758020041858007,0.7550262675961577
Konya,24 saat,yılın günü,0.08725246231982109,0.08372177180156748
Rize,24 saat,saat (LST),0.6662121401225476,0.6630883783639389
Rize,24 saat,yılın günü,0.09236770046489906,0.08538353895624906
Van,24 saat,saat (LST),0.7707207731406027,0.7678089997152103
Van,24 saat,yılın günü,0.0879961656152094,0.08427225519121972
Tümü,24 saat,saat (LST),0.7312614479108223,0.7285012628010774
Tümü,24 saat,yılın günü,0.08631627639221373,0.08472938026150012
Ankara,gündüz,saat (LST),0.5042725819437164,0.5032216185099165
Ankara,gündüz,yılın günü,0.17415631485014815,0.16030879443686197
Antalya,gündüz,saat (LST),0.5705000173605378,0.5697663254929126
Antalya,gündüz,yılın günü,0.1667207745301752,0.15650227837595432
Konya,gündüz,saat (LST),0.540472614534816,0.5395991969062952
Konya,gündüz,yılın günü,0.1574926067848822,0.14415692267724434
Rize,gündüz,saat (LST),0.4338813523028978,0.43323366721241485
Rize,gündüz,yılın günü,0.13843376459583223,0.11400222663442672
Van,gündüz,saat (LST),0.5564724023037615,0.555265348264439
Van,gündüz,yılın günü,0.15518315184950837,0.13958683688673257
Tümü,gündüz,saat (LST),0.5032119941038056,0.5024649340451401
Tümü,gündüz,yılın günü,0.14368706025085975,0.13793591828550467
