city,variable,variable_tr,n,excluded_calm_hours,speed_weighted_mean_deg,resultant_length,circular_sd_deg
Ankara,WD10M,"Rüzgâr yönü, 10 m (°)",56265,2919,337.13062620712174,0.125163138083765,116.80858089177514
Antalya,WD10M,"Rüzgâr yönü, 10 m (°)",53972,5212,31.59298836959571,0.19132528352949463,104.2021140640922
Konya,WD10M,"Rüzgâr yönü, 10 m (°)",56472,2712,335.7670799657786,0.21884823292593283,99.87812346472602
Rize,WD10M,"Rüzgâr yönü, 10 m (°)",52186,6998,256.33770591338345,0.20201308003126792,102.47531825874646
Van,WD10M,"Rüzgâr yönü, 10 m (°)",56031,3153,209.58589830292928,0.4581692432830534,71.58610158346855
Tümü,WD10M,"Rüzgâr yönü, 10 m (°)",274926,20994,275.8221342099224,0.0913724992707381,125.34060998493368
Ankara,WD50M,"Rüzgâr yönü, 50 m (°)",57316,1868,340.8031685746966,0.1290155505450328,115.95347485190543
Antalya,WD50M,"Rüzgâr yönü, 50 m (°)",55483,3701,13.283046064461669,0.20608623425566566,101.83381793575516
Konya,WD50M,"Rüzgâr yönü, 50 m (°)",57525,1659,328.3038764990729,0.21238248271251106,100.85901123325824
Rize,WD50M,"Rüzgâr yönü, 50 m (°)",54565,4619,227.90368525290882,0.23745302478711844,97.1593665675407
Van,WD50M,"Rüzgâr yönü, 50 m (°)",57340,1844,203.7002400923978,0.47389537420802763,70.02138340564349
Tümü,WD50M,"Rüzgâr yönü, 50 m (°)",282229,13691,265.8816348993974,0.09280258320395167,124.93320228766993
