group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,68.46687316894531,36.16609573364258,0.9387209861072612,0.9764220737553316,0.19844524562358856,207.32566833496094,0.026422073755331676,0.19844524562358856,26.157111766089642,44155,1059720
Aggregate_excl_Rize,all_hours,66.13957977294922,35.39238739013672,0.9465232810152391,0.9817841033480542,0.20706400275230408,216.3301239013672,0.03178410334805426,0.20706400275230408,25.683808721215144,35324,847776
Ankara,all_hours,67.10437774658203,36.05888748168945,0.9429093699965388,0.980240063412977,0.2037334442138672,207.61050415039062,0.030240063412977025,0.2037334442138672,25.817553339905004,8831,211944
Antalya,all_hours,62.9758415222168,33.18898391723633,0.9517173467774017,0.9846704789944514,0.21536873281002045,220.5009765625,0.034670478994451415,0.21536873281002045,24.653283919672145,8831,211944
Konya,all_hours,67.7169418334961,36.90469741821289,0.9453510354317959,0.9790840976861812,0.2087676078081131,216.06820678710938,0.029084097686181254,0.2087676078081131,26.443413997945704,8831,211944
Rize,all_hours,77.07647705078125,39.26091384887695,0.8880961782071779,0.9549739553844412,0.1746256798505783,171.3077850341797,0.004973955384441231,0.1746256798505783,28.05032394558764,8831,211944
Van,all_hours,66.65763092041016,35.416988372802734,0.9459634914108098,0.9831417732986072,0.21166864037513733,221.14080810546875,0.033141773298607236,0.21166864037513733,25.820983627337732,8831,211944
Aggregate,daylight,95.3735580444336,70.17730712890625,0.8856849373548304,0.9542489883361105,0.38536161184310913,402.2982482910156,0.004248988336110537,0.38536161184310913,50.755707397067575,44155,546130
Aggregate_excl_Rize,daylight,92.11239624023438,68.64724731445312,0.8968558617971163,0.9646683612187047,0.4020264148712158,419.5949401855469,0.01466836121870474,0.4020264148712158,49.81643613842756,35324,437087
Ankara,daylight,93.29727172851562,69.70252990722656,0.8928651326793939,0.9618036554667834,0.39422693848609924,401.3151550292969,0.011803655466783414,0.39422693848609924,49.90583638934027,8831,109644
Antalya,daylight,88.03060913085938,64.85052490234375,0.9054830036740822,0.9700464653169598,0.42169877886772156,430.8538818359375,0.02004646531695986,0.42169877886772156,48.17195492745319,8831,108468
Konya,daylight,94.22116088867188,71.44697570800781,0.8944895891682028,0.9595071065804377,0.40485572814941406,418.3050231933594,0.00950710658043774,0.40485572814941406,51.19407848643177,8831,109476
Rize,daylight,107.45671081542969,76.3104019165039,0.8095163239464184,0.9124840659189494,0.33969229459762573,332.9664001464844,0.037515934081050584,2.556529764266554,54.520674030645026,8831,109043
Van,daylight,92.73749542236328,68.55239868164062,0.8943947832191889,0.9673695650188586,0.41065266728401184,428.03558349609375,0.017369565018858668,0.41065266728401184,49.978561940405555,8831,109499
