group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,65.16824340820312,32.962886810302734,0.944483395452206,0.9627014683123845,0.18724896013736725,195.62835693359375,0.0127014683123845,0.18724896013736725,25.12835109362457,44155,1059720
Aggregate_excl_Rize,all_hours,62.24114227294922,31.699771881103516,0.9526416014775314,0.9692241818593591,0.19603277742862701,204.80523681640625,0.019224181859359146,0.19603277742862701,24.476535982478914,35324,847776
Ankara,all_hours,62.743324279785156,32.23365020751953,0.9500887752056688,0.9670620541275053,0.19300957024097443,196.6825408935547,0.01706205412750539,0.19300957024097443,24.507692769024114,8831,211944
Antalya,all_hours,59.512638092041016,30.00750732421875,0.9568817076953828,0.9731202581814065,0.20062634348869324,205.4072723388672,0.023120258181406506,0.20062634348869324,23.522562438468164,8831,211944
Konya,all_hours,62.32465362548828,32.05253219604492,0.9537078884694502,0.9672130374061073,0.19998866319656372,206.9822540283203,0.017213037406107357,0.19998866319656372,24.83032264568285,8831,211944
Rize,all_hours,75.75395202636719,38.01534652709961,0.8919034686527646,0.9366106141244858,0.16199882328510284,158.9208526611328,0.013389385875514193,0.47841500104590456,27.735611538207202,8831,211944
Van,all_hours,64.28841400146484,32.505401611328125,0.9497364771036886,0.9695013777224173,0.20114749670028687,210.1488494873047,0.019501377722417335,0.20114749670028687,25.045566076740517,8831,211944
Aggregate,daylight,90.77862548828125,63.96174621582031,0.8964346238038896,0.9276252906817058,0.3636195659637451,379.6006164550781,0.022374709318294106,1.4766521631794498,48.75948257912187,44155,546130
Aggregate_excl_Rize,daylight,86.68305206298828,61.485023498535156,0.9086566772419091,0.9403070784534887,0.38060858845710754,397.2411804199219,0.009692921546511246,0.9985647985585024,47.47480425883644,35324,437087
Ankara,daylight,87.23397064208984,62.30826950073242,0.9063378273137739,0.936330305351866,0.3734760582447052,380.191162109375,0.013669694648133945,1.1132455454098105,47.373850244774424,8831,109644
Antalya,daylight,83.1895751953125,58.63398361206055,0.9155926362093977,0.9474775970793229,0.3928327262401581,401.36114501953125,0.0025224029206770693,0.8384694209975218,45.96255092247203,8831,108468
Konya,daylight,86.71833801269531,62.053253173828125,0.9106241125618421,0.9365249004347985,0.3878310024738312,400.7147521972656,0.013475099565201432,1.148596121455925,48.071156260884635,8831,109476
Rize,daylight,105.61289978027344,73.88941955566406,0.8159971274458887,0.8767917243656173,0.315129816532135,308.8902587890625,0.0732082756343827,12.566566037436798,53.90897583388008,8831,109043
Van,daylight,89.44131469726562,62.916786193847656,0.9017684456265167,0.9409674974200678,0.390240877866745,406.759765625,0.009032502579932156,1.0032558211998448,48.4776797648261,8831,109499
