group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,64.96455383300781,31.234569549560547,0.9448299013263438,0.9460027176990148,0.15492139756679535,161.8541259765625,0.003997282300985172,0.344117109256142,23.94361727127696,44155,1059720
Aggregate_excl_Rize,all_hours,61.27706527709961,29.579910278320312,0.9540973531743963,0.9559506284678971,0.16254402697086334,169.81787109375,0.005950628467897179,0.16254402697086334,22.848466361656605,35324,847776
Ankara,all_hours,61.731929779052734,30.149200439453125,0.9516849006081729,0.9497744687275884,0.16034017503261566,163.39144897460938,0.0002255312724115388,0.32249866917728065,23.08384783927566,8831,211944
Antalya,all_hours,57.74372100830078,27.23114776611328,0.9594068558048255,0.9653540557883215,0.1675611436367035,171.5541229248047,0.015354055788321497,0.1675611436367035,21.383215023788782,8831,211944
Konya,all_hours,62.69633483886719,30.570261001586914,0.9531541063139779,0.9515768316158986,0.1657564342021942,171.5529327392578,0.0015768316158986107,0.1657564342021942,23.561524058411745,8831,211944
Rize,all_hours,77.9900894165039,37.85319519042969,0.8854276064167602,0.9062110746234855,0.1325170248746872,129.99920654296875,0.043788925376514465,1.3159294096649814,28.324220909758374,8831,211944
Van,all_hours,62.79741668701172,30.369035720825195,0.9520408972000738,0.9570971577397803,0.16537252068519592,172.77293395996094,0.007097157739780369,0.16537252068519592,23.365278525150234,8831,211944
Aggregate,daylight,90.49488067626953,60.60809326171875,0.8970810252094069,0.8952227491622874,0.3008425235748291,314.0645446777344,0.054777250837712566,4.95468963462299,46.46060479138231,44155,546130
Aggregate_excl_Rize,daylight,85.34037780761719,57.37333679199219,0.9114644832752842,0.9145616318947944,0.3155883550643921,329.3795471191406,0.03543836810520551,2.171919091132312,44.31699276853301,35324,437087
Ankara,daylight,85.82780456542969,58.278995513916016,0.9093330768532162,0.9029130640983547,0.3102603852748871,315.8388671875,0.047086935901645255,3.5776893081205348,44.621530101487,8831,109644
Antalya,daylight,80.71690368652344,53.209049224853516,0.9205358072791865,0.9323026145960099,0.32809004187583923,335.212890625,0.017697385403990018,1.1229431745589489,41.78231483019775,8831,108468
Konya,daylight,87.2354965209961,59.18359375,0.9095549288509179,0.9062534254083087,0.32144567370414734,332.12408447265625,0.04374657459169129,3.185969127017677,45.61477999777138,8831,109476
Rize,daylight,108.73042297363281,73.57426452636719,0.8049738574219709,0.8177049420870666,0.2577800750732422,252.676025390625,0.1322950579129334,192.56696517245598,55.053040328107535,8831,109043
Van,daylight,87.3669662475586,58.781681060791016,0.906272044955684,0.9169581457364907,0.32083484530448914,334.415771484375,0.03304185426350925,1.994915119289164,45.22534992771113,8831,109499
