group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,63.28252410888672,29.785930633544922,0.9476497878205586,0.920300645453516,0.1223173663020134,127.79106903076172,0.02969935454648398,0.6623268800743831,22.75849789287081,44155,1059720
Aggregate_excl_Rize,all_hours,59.5946044921875,28.100027084350586,0.956583404348974,0.9327357698259918,0.12735745310783386,133.05670166015625,0.017264230174008133,0.42929168939213347,21.47947752730741,35324,847776
Ankara,all_hours,59.993797302246094,28.883106231689453,0.9543673322649942,0.9193183104971124,0.12515608966350555,127.5378189086914,0.03068168950288752,0.705514667846049,22.055403537352227,8831,211944
Antalya,all_hours,57.029117584228516,26.146873474121094,0.9604053506658949,0.9465047371003661,0.1307326704263687,133.84803771972656,0.0034952628996338664,0.28643058725877435,20.069187011091273,8831,211944
Konya,all_hours,59.4329948425293,28.221057891845703,0.9579038407088587,0.9303164986977692,0.13008169829845428,134.63064575195312,0.019683501302230733,0.4781287813074776,21.74620930571761,8831,211944
Rize,all_hours,76.27136993408203,36.529541015625,0.890421760019833,0.870560147963613,0.10879568010568619,106.72856140136719,0.07943985203638693,5.88478152874566,27.87457935512443,8831,211944
Van,all_hours,61.824039459228516,29.149072647094727,0.9535161295644766,0.9348035330087193,0.13037599623203278,136.2103271484375,0.015196466991280633,0.4091066464584875,22.047110255068528,8831,211944
Aggregate,daylight,88.1518325805664,57.79712677001953,0.9023414803107679,0.8453500082397963,0.23752860724925995,247.9679718017578,0.10464999176020362,44.71720510016089,44.16097886406727,44155,546130
Aggregate_excl_Rize,daylight,82.99722290039062,54.50294876098633,0.9162594970831276,0.8695339829370354,0.24727165699005127,258.0774230957031,0.08046601706296452,14.066115164306494,41.661695589643635,35324,437087
Ankara,daylight,83.41121673583984,55.831607818603516,0.9143668619004771,0.8440407135821385,0.24217867851257324,246.53306579589844,0.10595928641786145,48.660817373182205,42.63352711795064,8831,109644
Antalya,daylight,79.71800231933594,51.09040069580078,0.9224904375411161,0.8954714754581996,0.2559787333011627,261.5360412597656,0.05452852454180035,4.166870088485568,39.21473404025822,8831,108468
Konya,daylight,82.69489288330078,54.63556671142578,0.9187252110567287,0.8650937191713253,0.2522628605365753,260.6430358886719,0.08490628082867469,17.854577441551807,42.10035610627912,8831,109476
Rize,daylight,106.33426666259766,71.00151062011719,0.8134749498944941,0.7484111772420055,0.21163587272167206,207.4454803466797,0.2015888227579945,5047.230759060087,54.17908391040683,8831,109043
Van,daylight,86.01275634765625,56.42034149169922,0.9091551371041653,0.873807066731203,0.25293898582458496,263.6458740234375,0.07619293326879695,11.669210703301736,42.67393068338746,8831,109499
