horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,66.19068908691406,38.124691009521484,0.9427613519541245,0.999365870229872,0.2580524682998657,269.6003112792969,0.049365870229872044,0.2580524682998657,27.069423379586702,44155,44155
2,all_hours,67.64519500732422,38.77510452270508,0.9402181387468795,0.997848488279923,0.25684410333633423,268.337890625,0.04784848827992305,0.25684410333633423,27.58599719457546,44155,44155
3,all_hours,68.92347717285156,39.354732513427734,0.9379374190204429,0.9958328615105877,0.25849148631095886,270.0589904785156,0.04583286151058774,0.25849148631095886,28.28349615570408,44155,44155
4,all_hours,71.96401977539062,40.4680061340332,0.9323408760528382,0.9934322273808176,0.25729474425315857,268.8086853027344,0.043432227380817645,0.25729474425315857,29.099105828188584,44155,44155
5,all_hours,76.66106414794922,42.94436264038086,0.9232205054570668,0.9911901256935794,0.2540840208530426,265.45428466796875,0.041190125693579493,0.2540840208530426,30.31352574160613,44155,44155
6,all_hours,78.6737060546875,44.16019821166992,0.9191381651134778,0.9913260106443211,0.2556813359260559,267.1230773925781,0.041326010644321176,0.2556813359260559,30.90537937958624,44155,44155
7,all_hours,82.32725524902344,46.26081085205078,0.9114558113049394,0.9902842260219681,0.2531775236129761,264.5072326660156,0.04028422602196813,0.2531775236129761,31.57582913212428,44155,44155
8,all_hours,83.54888153076172,46.908409118652344,0.9088031715074477,0.9905107009398709,0.2530129849910736,264.3353271484375,0.04051070093987097,0.2530129849910736,31.923532124508483,44155,44155
9,all_hours,85.0125503540039,48.002559661865234,0.9055648237701219,0.9903521684973389,0.2505175769329071,261.7282409667969,0.040352168497338914,0.2505175769329071,32.401778719085804,44155,44155
10,all_hours,86.72358703613281,48.95462417602539,0.9017081546693972,0.9888574340391801,0.24910593032836914,260.25341796875,0.03885743403918018,0.24910593032836914,32.84278526923234,44155,44155
11,all_hours,87.24490356445312,49.49369430541992,0.9004966839116485,0.9887441965802287,0.2502562999725342,261.45526123046875,0.03874419658022876,0.2502562999725342,33.19662875742866,44155,44155
12,all_hours,85.26371002197266,48.140506744384766,0.9049429227595367,0.9883138942362133,0.2539254128932953,265.28857421875,0.03831389423621334,0.2539254128932953,32.76217722889819,44155,44155
13,all_hours,83.46158599853516,46.786407470703125,0.9089052348791217,0.9889027290227608,0.2580791115760803,269.6281433105469,0.03890272902276082,0.2580791115760803,32.32438132696317,44155,44155
14,all_hours,83.84799194335938,47.02873611450195,0.9080538501626841,0.9890386139735025,0.2581981122493744,269.7524719238281,0.0390386139735025,0.2581981122493744,32.463220870135125,44155,44155
15,all_hours,82.26416778564453,45.947898864746094,0.9114975597082922,0.9898539236779527,0.2608043849468231,272.4753723144531,0.03985392367795271,0.2608043849468231,32.2205119476989,44155,44155
16,all_hours,83.11175537109375,46.50522994995117,0.9096664557659639,0.9890159664817122,0.259615957736969,271.2337646484375,0.03901596648171224,0.259615957736969,32.45431167122518,44155,44155
17,all_hours,81.95452117919922,45.70772171020508,0.9121629075790466,0.9885630166459065,0.2599383294582367,271.570556640625,0.038563016645906556,0.2599383294582367,32.09248749084055,44155,44155
18,all_hours,82.63717651367188,46.180999755859375,0.9106912461452541,0.9880421243347299,0.2588832378387451,270.46826171875,0.038042124334729976,0.2588832378387451,32.30580836146915,44155,44155
19,all_hours,85.75367736816406,48.0948486328125,0.9038278628268162,0.9858906126146529,0.25525978207588196,266.6826477050781,0.035890612614652984,0.25525978207588196,33.08668466457114,44155,44155
20,all_hours,87.77192687988281,49.54650115966797,0.8992476933453017,0.9851432453855735,0.2535504698753357,264.8968505859375,0.03514324538557356,0.2535504698753357,33.50724287335033,44155,44155
21,all_hours,88.92700958251953,50.42026901245117,0.8965784383362588,0.9848488279922999,0.2510168254375458,262.24981689453125,0.034848827992299936,0.2510168254375458,33.94013147955494,44155,44155
22,all_hours,87.86154174804688,49.45393371582031,0.8990418470675591,0.9850073604348318,0.2529788315296173,264.29962158203125,0.03500736043483188,0.2529788315296173,33.52391192324509,44155,44155
23,all_hours,87.3670883178711,48.705810546875,0.9001749653668923,0.9842599932057524,0.255043625831604,266.4568176269531,0.03425999320575246,0.255043625831604,33.50772422118443,44155,44155
24,all_hours,87.21380615234375,48.266571044921875,0.9005249261109786,0.9822443664364172,0.2560350000858307,267.4925537109375,0.03224436643641726,0.2560350000858307,33.61094902543268,44155,44155
1,daylight,92.19763946533203,73.96940612792969,0.893194859894217,0.9987696634150628,0.5010563135147095,523.0776977539062,0.048769663415062836,0.5010563135147095,52.52001007670494,22758,22758
2,daylight,94.22364044189453,75.23133850097656,0.8884493207839822,0.9958256437296775,0.4987100660800934,520.6283569335938,0.04582564372967757,0.4987100660800934,53.52226496732928,22758,22758
3,daylight,96.00415802001953,76.35592651367188,0.8841935845246482,0.9919149310132701,0.5019087791442871,523.9676513671875,0.04191493101327015,0.5019087791442871,54.87555025727716,22758,22758
4,daylight,100.23936462402344,78.5158920288086,0.8737506482190253,0.9872572282274366,0.4995850622653961,521.5418090820312,0.0372572282274366,0.4995850622653961,56.45799357780415,22758,22758
5,daylight,106.78192901611328,83.32051086425781,0.856732383592696,0.9829071095878372,0.4933508336544037,515.0335693359375,0.03290710958783727,0.4933508336544037,58.81420727307403,22758,22758
6,daylight,109.59739685058594,85.69830322265625,0.849067253627613,0.9831670548938601,0.4965614080429077,518.38525390625,0.03316705489386018,0.4965614080429077,59.975696677608695,22753,22753
7,daylight,114.68701171875,89.77479553222656,0.834757853035097,0.9811453434711906,0.4916987121105194,513.308837890625,0.03114534347119069,0.4916987121105194,61.27678703155398,22753,22753
8,daylight,116.38880157470703,91.03154754638672,0.8298373668836603,0.9815848459543797,0.4913792014122009,512.9752807617188,0.031584845954379714,0.4913792014122009,61.95154753033322,22753,22753
9,daylight,118.42779541015625,93.1548843383789,0.8238167536249066,0.9812771942161473,0.4865328073501587,507.9158935546875,0.031277194216147386,0.4865328073501587,62.87964397403567,22753,22753
10,daylight,120.8113784790039,95.00249481201172,0.8166327185240697,0.9783764778270997,0.4837912917137146,505.05389404296875,0.028376477827099733,0.4837912917137146,63.735471523005934,22753,22753
11,daylight,121.53760528564453,96.0486068725586,0.814378020626066,0.9781567265855052,0.4860253930091858,507.3861999511719,0.028156726585505276,0.4860253930091858,64.42214841050686,22753,22753
12,daylight,118.77767944335938,93.4225845336914,0.8226794425117343,0.977321671867446,0.4931512176990509,514.8251953125,0.02732167186744605,0.4931512176990509,63.57904168865642,22753,22753
13,daylight,116.2672119140625,90.79478454589844,0.8300821562995463,0.9784643783237376,0.5012180805206299,523.24658203125,0.028464378323737605,0.5012180805206299,62.72944479813909,22753,22753
14,daylight,116.80548858642578,91.26506042480469,0.828504662385477,0.978728079813651,0.5014492273330688,523.4879150390625,0.028728079813650997,0.5014492273330688,62.9988800387121,22753,22753
15,daylight,114.59912872314453,89.16755676269531,0.834927842027644,0.9803102887531314,0.5065109133720398,528.7720336914062,0.030310288753131465,0.5065109133720398,62.52787346946095,22753,22753
16,daylight,115.77986907958984,90.24913024902344,0.8315031657302345,0.978684129565332,0.5042029023170471,526.3626098632812,0.02868412956533206,0.5042029023170471,62.98159064048466,22753,22753
17,daylight,114.16777038574219,88.70145416259766,0.8361399786043795,0.977805124598954,0.504828929901123,527.01611328125,0.027805124598954012,0.504828929901123,62.279426236455166,22753,22753
18,daylight,115.11116027832031,89.60810852050781,0.8334212794066586,0.976797328177184,0.5027135610580444,524.8078002929688,0.026797328177184054,0.5027135610580444,62.68513658818202,22756,22756
19,daylight,119.44711303710938,93.31346893310547,0.8206471029392458,0.9726250109851481,0.49563372135162354,517.4168090820312,0.02262501098514813,0.49563372135162354,64.19468149064674,22758,22758
20,daylight,122.25835418701172,96.12996673583984,0.8121054744625948,0.971174971438615,0.49231481552124023,513.9520263671875,0.02117497143861502,0.49231481552124023,65.01064720418243,22758,22758
21,daylight,123.86726379394531,97.82524108886719,0.8071275397619894,0.9706037437384656,0.48739519715309143,508.8161926269531,0.02060374373846563,0.48739519715309143,65.85053631600968,22758,22758
