horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,52.010215759277344,29.022512435913086,0.9646594854185271,0.995696976559846,0.20205803215503693,211.10012817382812,0.04569697655984606,0.20205803215503693,21.384547203092165,44155,44155
2,all_hours,53.630767822265625,29.616336822509766,0.9624228720242402,0.9939984146755747,0.20160222053527832,210.62391662597656,0.04399841467557475,0.20160222053527832,21.722045706991874,44155,44155
3,all_hours,56.777408599853516,30.79423713684082,0.9578840395370148,0.9904427584645,0.20084071159362793,209.82833862304688,0.04044275846450007,0.20084071159362793,22.52825861651374,44155,44155
4,all_hours,60.119468688964844,32.49454879760742,0.952780017171445,0.9863888574340391,0.19995146989822388,208.8992919921875,0.03638885743403919,0.19995146989822388,23.65742824998061,44155,44155
5,all_hours,63.108070373535156,33.377811431884766,0.947968622976566,0.9857773751557015,0.20198260247707367,211.0213165283203,0.03577737515570156,0.20198260247707367,24.577387912880514,44155,44155
6,all_hours,65.45228576660156,33.938499450683594,0.9440327486327642,0.9841014607632205,0.2042376697063446,213.37730407714844,0.034101460763220515,0.2042376697063446,25.21941056316236,44155,44155
7,all_hours,67.95855712890625,35.42485427856445,0.9396661413353071,0.9831502661080286,0.20478981733322144,213.95416259765625,0.033150266108028625,0.20478981733322144,26.119335087042117,44155,44155
8,all_hours,69.06912231445312,36.1506462097168,0.9376744019000035,0.9831955610916091,0.2054024040699005,214.5941619873047,0.03319556109160915,0.2054024040699005,26.396829633718642,44155,44155
9,all_hours,68.86409759521484,35.94463348388672,0.9380340015010123,0.9845317631072359,0.2055666744709015,214.76577758789062,0.034531763107235935,0.2055666744709015,26.0643925316039,44155,44155
10,all_hours,69.45858001708984,36.58115768432617,0.9369485802631076,0.983671158419205,0.20356889069080353,212.67860412597656,0.033671158419205094,0.20356889069080353,26.12928993887179,44155,44155
11,all_hours,71.6601791381836,38.437191009521484,0.932870523237446,0.98326350356698,0.20175385475158691,210.78233337402344,0.033263503566980046,0.20175385475158691,26.77188558697929,44155,44155
12,all_hours,73.12681579589844,39.36416244506836,0.9300787163645715,0.9809761068961612,0.19973056018352509,208.6685028076172,0.03097610689616126,0.19973056018352509,27.303394450922678,44155,44155
13,all_hours,73.81321716308594,39.96515655517578,0.9287494239158166,0.9796851998641151,0.2002965807914734,209.25985717773438,0.029685199864115108,0.2002965807914734,27.74589189091166,44155,44155
14,all_hours,75.03988647460938,40.80551528930664,0.9263568131666436,0.9779639904880535,0.20119522511959076,210.19871520996094,0.027963990488053536,0.20119522511959076,28.37580051022512,44155,44155
15,all_hours,76.52339172363281,41.27191925048828,0.9234187814044597,0.9746348091948817,0.2006429135799408,209.62168884277344,0.0246348091948817,0.2006429135799408,28.898974302046398,44155,44155
16,all_hours,75.69430541992188,40.02790451049805,0.9250708944709456,0.9759030687351375,0.2027951031923294,211.87017822265625,0.02590306873513759,0.2027951031923294,28.567651317793118,44155,44155
17,all_hours,74.91517639160156,39.28063201904297,0.926604098525818,0.9770354433246518,0.20514196157455444,214.3220672607422,0.027035443324651798,0.20514196157455444,28.353992637391137,44155,44155
18,all_hours,74.02892303466797,38.72380828857422,0.9283285884185831,0.9775789831276186,0.20646770298480988,215.70713806152344,0.02757898312761864,0.20646770298480988,28.135012930818778,44155,44155
19,all_hours,73.31925201416016,38.206939697265625,0.9296960420795859,0.9795493149133734,0.20896300673484802,218.31410217285156,0.029549314913373426,0.20896300673484802,27.691489596576744,44155,44155
20,all_hours,73.15060424804688,38.25201416015625,0.930019089259188,0.9811572868304835,0.20858705043792725,217.92132568359375,0.031157286830483577,0.20858705043792725,27.536725683701125,44155,44155
21,all_hours,73.86579132080078,38.736053466796875,0.9286440067793871,0.9802740346506624,0.20599336922168732,215.21157836914062,0.030274034650662474,0.20599336922168732,27.72065109291448,44155,44155
22,all_hours,74.1977767944336,38.90096664428711,0.9280011502195191,0.9786887102253425,0.20622995495796204,215.458740234375,0.028688710225342584,0.20622995495796204,27.95002113317087,44155,44155
23,all_hours,74.7299575805664,38.67998123168945,0.9269646266057782,0.9752462914732194,0.20610690116882324,215.33018493652344,0.02524629147321944,0.20610690116882324,28.130908683965547,44155,44155
24,all_hours,75.77816009521484,39.16669845581055,0.9249013887959908,0.9717812252293059,0.20491978526115417,214.08995056152344,0.021781225229305923,0.20491978526115417,28.652399415665567,44155,44155
1,daylight,72.44552612304688,56.30937957763672,0.9340559440142705,0.9916512874593549,0.3923327922821045,409.5758056640625,0.04165128745935498,0.3923327922821045,41.490231204523006,22758,22758
2,daylight,74.70280456542969,57.461524963378906,0.9298825084930852,0.9883557430354161,0.3914478123188019,408.65191650390625,0.03835574303541611,0.3914478123188019,42.145044739969514,22758,22758
3,daylight,79.0857925415039,59.74687957763672,0.9214132197124304,0.9814570700413041,0.389969140291214,407.1082763671875,0.03145707004130416,0.389969140291214,43.70925649055998,22758,22758
4,daylight,83.74098205566406,63.04581832885742,0.9118893081165308,0.9735917040161701,0.3882424831390381,405.30572509765625,0.023591704016170167,0.3882424831390381,45.900067860879425,22758,22758
5,daylight,87.9038314819336,64.759521484375,0.9029114295566399,0.9724053080235522,0.39218631386756897,409.4228820800781,0.02240530802355223,0.39218631386756897,47.68497070451002,22758,22758
6,daylight,91.17912292480469,65.8618392944336,0.8955342657308585,0.9691469256801301,0.3966521620750427,414.0849914550781,0.0191469256801301,0.3966521620750427,48.94137359541309,22753,22753
7,daylight,94.67052459716797,68.74629211425781,0.8874042838117164,0.9673010152507362,0.397724449634552,415.20440673828125,0.01730101525073624,0.397724449634552,50.68778801777105,22753,22753
