group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,69.79041290283203,36.79850387573242,0.936328898062158,0.9818621900124561,0.20370101928710938,212.81663513183594,0.03186219001245616,0.20370101928710938,26.484738528205842,44155,1059720
Aggregate_excl_Rize,all_hours,67.38922119140625,36.03770065307617,0.9444834182009911,0.9858759861095384,0.21089527010917664,220.3328399658203,0.03587598610953846,0.21089527010917664,26.034520482860163,35324,847776
Ankara,all_hours,66.3555908203125,35.56726837158203,0.9441763590749627,0.9858028535839656,0.21143166720867157,215.45521545410156,0.03580285358396562,0.21143166720867157,25.664577973210147,8831,211944
Antalya,all_hours,64.3770523071289,34.11460876464844,0.9495448655418207,0.9867653719850527,0.21645790338516235,221.61610412597656,0.0367653719850527,0.21645790338516235,25.053138721249297,8831,211944
Konya,all_hours,68.9476547241211,37.533241271972656,0.9433465662481658,0.9853782131128977,0.2135433852672577,221.010986328125,0.035378213112897794,0.2135433852672577,26.67353663330272,8831,211944
Rize,all_hours,78.6656265258789,39.84173583984375,0.8834341849538394,0.9658070056241271,0.18629132211208344,182.7517852783203,0.01580700562412718,0.18629132211208344,28.285610709588575,8831,211944
Van,all_hours,69.74224090576172,36.9356803894043,0.9408466497120851,0.9855575057562375,0.21368664503097534,223.24911499023438,0.035557505756237506,0.21368664503097534,26.746828603678466,8831,211944
Aggregate,daylight,97.21724700927734,71.40445709228516,0.8812225337135551,0.9648050830388369,0.3955678641796112,412.95306396484375,0.014805083038836986,0.3955678641796112,51.39143997420082,44155,546130
Aggregate_excl_Rize,daylight,93.8527603149414,69.89889526367188,0.8929214414358435,0.972604996259326,0.4094650149345398,427.3586120605469,0.022604996259325993,0.4094650149345398,50.49667832005357,35324,437087
Ankara,daylight,92.25621032714844,68.75222778320312,0.8952427331158468,0.9725566378461201,0.40912309288978577,416.4791564941406,0.022556637846120164,0.40912309288978577,49.61013200862839,8831,109644
Antalya,daylight,89.98929595947266,66.65917205810547,0.9012302050547752,0.9741398384777077,0.42383140325546265,433.0328063964844,0.02413983847770773,0.42383140325546265,48.95326209699138,8831,108468
Konya,daylight,95.9335708618164,72.66382598876953,0.8906195731718238,0.9716924257371479,0.4141172170639038,427.8741760253906,0.021692425737147913,0.4141172170639038,51.63959267975366,8831,109476
Rize,daylight,109.67223358154297,77.43932342529297,0.8015806377615708,0.9335399796410591,0.3623850345611572,355.2098083496094,0.016460020358940897,1.187653128505102,54.97799470147593,8831,109043
Van,daylight,97.02896881103516,71.491943359375,0.884394781536345,0.9720454068073681,0.414567768573761,432.11639404296875,0.022045406807368106,0.414567768573761,51.77060833046905,8831,109499
