group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,67.79254150390625,35.26325225830078,0.9399482306434745,0.9721431553379635,0.20423437654972076,213.37387084960938,0.022143155337963516,0.20423437654972076,26.490008952366175,43915,1053960
Aggregate_excl_Rize,all_hours,65.23078918457031,34.32085418701172,0.9480214688019568,0.9769097024555011,0.21284227073192596,222.36695861816406,0.026909702455501172,0.21284227073192596,26.06961064198474,35132,843168
Ankara,all_hours,65.68089294433594,34.62818908691406,0.9453544440535289,0.9756300049337736,0.20965421199798584,213.64393615722656,0.025630004933773654,0.20965421199798584,25.946399431756504,8783,210792
Antalya,all_hours,62.608726501464844,32.84981918334961,0.9523493504597849,0.9795675357698584,0.21875354647636414,223.96644592285156,0.02956753576985849,0.21875354647636414,25.196995600224547,8783,210792
Konya,all_hours,65.21746826171875,34.76838684082031,0.9493220312841918,0.9757723253254393,0.21714602410793304,224.73960876464844,0.025772325325439382,0.21714602410793304,26.40335964206814,8783,210792
Rize,all_hours,77.19406127929688,39.03284454345703,0.8875459263268936,0.9530769668678128,0.1808375120162964,177.40159606933594,0.0030769668678128914,0.1808375120162964,28.171602193891896,8783,210792
Van,all_hours,67.32809448242188,35.03702163696289,0.9448933484149614,0.9766689437929333,0.21738965809345245,227.1178436279297,0.026668943792933386,0.21738965809345245,26.731687893889774,8783,210792
Aggregate,daylight,94.43489074707031,68.42637634277344,0.8880716575025231,0.9459453488329277,0.3966091573238373,414.04010009765625,0.004054651167072265,0.8823541907916227,51.40238281488464,43915,543154
Aggregate_excl_Rize,daylight,90.84423828125,66.56524658203125,0.8998318838459923,0.9552163961953833,0.41322264075279236,431.28045654296875,0.005216396195383388,0.41322264075279236,50.561977907877186,35132,434735
Ankara,daylight,91.30980682373047,66.92471313476562,0.8975678880620829,0.9529009425312649,0.40560945868492126,412.90234375,0.0029009425312649384,0.40560945868492126,50.14572036728296,8783,109068
Antalya,daylight,87.5119400024414,64.17972564697266,0.9068038255264446,0.9600804508211915,0.4282725155353546,437.5703125,0.010080450821191578,0.4282725155353546,49.228164243526244,8783,107892
Konya,daylight,90.73545837402344,67.2993392944336,0.9022463064310009,0.9531037649219467,0.4210299849510193,435.0166015625,0.00310376492194675,0.4210299849510193,51.107593991467645,8783,108900
Rize,daylight,107.63617706298828,75.88902282714844,0.8087115626979537,0.9087706029385993,0.3518775701522827,344.910400390625,0.04122939706140061,3.1167593472070214,54.77221123285457,8783,108419
Van,daylight,93.68267822265625,67.83489227294922,0.8923573335634191,0.9548289322617681,0.4218635559082031,439.72100830078125,0.004828932261768171,0.4218635559082031,51.75500302667108,8783,108875
