group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,68.1712417602539,36.17060470581055,0.9392490212321832,0.9769014456648926,0.2023581862449646,211.41371154785156,0.02690144566489261,0.2023581862449646,26.34330076242693,44155,1059720
Aggregate_excl_Rize,all_hours,66.12716674804688,35.45530319213867,0.9465433530983774,0.9816048107047145,0.2110590636730194,220.5039520263672,0.03160481070471455,0.2110590636730194,25.999984423605344,35324,847776
Ankara,all_hours,66.54744720458984,36.007991790771484,0.9438530793999699,0.9810987808100253,0.20840060710906982,212.36647033691406,0.031098780810025373,0.20840060710906982,25.98570161434298,8831,211944
Antalya,all_hours,63.68088912963867,34.034122467041016,0.9506301918164152,0.9837881704601216,0.21697552502155304,222.14605712890625,0.033788170460121614,0.21697552502155304,25.16736175347251,8831,211944
Konya,all_hours,66.59944915771484,36.03867721557617,0.9471398315037566,0.9799994338127053,0.21506042778491974,222.58108520507812,0.02999943381270531,0.21506042778491974,26.4428511910039,8831,211944
Rize,all_hours,75.79830932617188,39.03181838989258,0.8917768400115372,0.9580879855056053,0.17844325304031372,175.05282592773438,0.0080879855056053,0.17844325304031372,27.716566117713263,8831,211944
Van,all_hours,67.6158676147461,35.74042892456055,0.9443987284548488,0.9815328577360057,0.21528802812099457,224.9221649169922,0.03153285773600578,0.21528802812099457,26.404023135602007,8831,211944
Aggregate,daylight,94.96176147460938,70.1860580444336,0.8866699787996873,0.9551791697947375,0.39296022057533264,410.2308044433594,0.005179169794737537,0.39296022057533264,51.11699171252095,44155,546130
Aggregate_excl_Rize,daylight,92.09510040283203,68.76927185058594,0.8968945761714564,0.964320604364806,0.4097830057144165,427.69049072265625,0.014320604364806089,0.4097830057144165,50.42969201716465,35324,437087
Ankara,daylight,92.52295684814453,69.6041488647461,0.8946360744559982,0.9634635730181315,0.40325793623924255,410.508544921875,0.013463573018131503,0.40325793623924255,50.23087029796713,8831,109644
Antalya,daylight,89.01615905761719,66.50189208984375,0.9033548144675043,0.968322454548807,0.4248449206352234,434.06829833984375,0.0183224545488071,0.4248449206352234,49.176451298797595,8831,108468
Konya,daylight,92.6662826538086,69.7703628540039,0.8979432064496669,0.9612791844787899,0.41705915331840515,430.9138488769531,0.01127918447878995,0.41705915331840515,51.192988900088885,8831,109476
Rize,daylight,105.67473602294922,75.86511993408203,0.8157815790518462,0.9185367240446429,0.3471184968948364,340.24554443359375,0.03146327595535703,2.020882074452591,53.87195775292884,8831,109043
Van,daylight,94.07064056396484,69.17843627929688,0.8913367186719192,0.9642553813276834,0.41767457127571106,435.3547058105469,0.014255381327683447,0.41767457127571106,51.10708115555422,8831,109499
