group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,59.770870208740234,30.136911392211914,0.9532985874397637,0.9699014834107123,0.20435725152492523,213.5022430419922,0.019901483410712295,0.20435725152492523,22.3922801599936,44155,1059720
Aggregate_excl_Rize,all_hours,56.34041213989258,28.74578285217285,0.9611955154195064,0.9689859113728154,0.20611941814422607,215.34326171875,0.018985911372815467,0.20611941814422607,21.645793875206344,35324,847776
Ankara,all_hours,56.78141403198242,29.312454223632812,0.9591233230851304,0.9678830257049031,0.21285603940486908,216.9066925048828,0.017883025704903188,0.21285603940486908,21.936698261707512,8831,211944
Antalya,all_hours,53.08137130737305,26.736377716064453,0.965697368318254,0.9700392556524365,0.18538010120391846,189.79771423339844,0.020039255652436583,0.18538010120391846,19.633956303341428,8831,211944
Konya,all_hours,57.59980392456055,29.770301818847656,0.9604606781707926,0.9682746385837768,0.2194475680589676,227.12164306640625,0.01827463858377687,0.2194475680589676,22.584435639333243,8831,211944
Rize,all_hours,71.87361907958984,35.70143127441406,0.9026938670590231,0.9735637715622995,0.21013066172599792,206.13818359375,0.023563771562299496,0.21013066172599792,25.378225299142613,8831,211944
Van,all_hours,57.770851135253906,29.163991928100586,0.9594113099633532,0.9697467255501453,0.21780040860176086,227.54698181152344,0.01974672555014534,0.21780040860176086,22.4280852964432,8831,211944
Aggregate,daylight,83.26013946533203,58.478179931640625,0.9128792295550643,0.9415963232197462,0.39684218168258667,414.28338623046875,0.008403676780253777,1.0009317708774452,43.45036370671527,44155,546130
Aggregate_excl_Rize,daylight,78.46511840820312,55.755455017089844,0.9251551853507942,0.9398449278976496,0.40019237995147705,417.6807556152344,0.010155072102350338,1.065133826505747,41.98428355990211,35324,437087
Ankara,daylight,78.94495391845703,56.66154861450195,0.9232918369000948,0.9379172594943636,0.4118792414665222,419.28485107421875,0.012082740505636402,1.1654833901736377,42.404067494612896,8831,109644
Antalya,daylight,74.19965362548828,52.242271423339844,0.9328499679235642,0.9414573883541689,0.36298009753227234,370.86041259765625,0.008542611645831033,0.9193751607667745,38.36430315628015,8831,108468
Konya,daylight,80.14419555664062,57.6348876953125,0.92366168100031,0.9385801454200007,0.42556700110435486,439.7043151855469,0.011419854579999278,1.1788305228253784,43.72315052744753,8831,109476
Rize,daylight,100.2031021118164,69.39192962646484,0.8343646391320596,0.9486166007905138,0.4087587296962738,400.6653137207031,0.001383399209486158,0.8467920755272825,49.326986443893524,8831,109043
Van,daylight,80.37374877929688,56.44921875,0.9206762701351376,0.9414423876017133,0.42254874110221863,440.4352111816406,0.008557612398286674,1.0707397525140805,43.41133809504523,8831,109499
