group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,66.0977554321289,34.77708435058594,0.9428884116257136,0.9696221643452988,0.17940740287303925,187.43588256835938,0.019622164345298843,0.17940740287303925,24.49246966648104,44155,1059720
Aggregate_excl_Rize,all_hours,63.41408157348633,33.774654388427734,0.9508398404817436,0.9683666440191748,0.1799035221338272,187.95420837402344,0.01836664401917487,0.1799035221338272,23.84509876222761,35324,847776
Ankara,all_hours,64.01313018798828,34.229427337646484,0.9480481093871056,0.9710206469633488,0.18015603721141815,183.58441162109375,0.02102064696334882,0.18015603721141815,23.96879945765926,8831,211944
Antalya,all_hours,60.57288360595703,32.10171890258789,0.9553316726807222,0.970062846789718,0.17847280204296112,182.72581481933594,0.020062846789718036,0.17847280204296112,22.642007382205932,8831,211944
Konya,all_hours,64.74679565429688,34.966407775878906,0.950039841153265,0.9699637640131356,0.18849124014377594,195.08277893066406,0.0199637640131356,0.18849124014377594,24.541752072581858,8831,211944
Rize,all_hours,75.88927459716797,38.78679656982422,0.8915169179480629,0.9746442456497942,0.18895265460014343,185.362548828125,0.024644245649794283,0.18895265460014343,27.081953283494762,8831,211944
Van,all_hours,64.23768615722656,33.80106735229492,0.9498157634950565,0.9624193183104971,0.18226738274097443,190.42384338378906,0.01241931831049714,0.18226738274097443,24.22783613646338,8831,211944
Aggregate,daylight,92.07341766357422,67.48204040527344,0.8934592058840995,0.9410543277241682,0.34839197993278503,363.70379638671875,0.008945672275831762,0.8932971822297349,47.525607373635005,44155,546130
Aggregate_excl_Rize,daylight,88.31659698486328,65.50948333740234,0.905181499843478,0.938643794027276,0.3492928147315979,364.556884765625,0.01135620597272391,0.9655848163126524,46.25006565797262,35324,437087
Ankara,daylight,88.99942779541016,66.16615295410156,0.9025083642004013,0.9439823428550582,0.34860435128211975,354.8722839355469,0.006017657144941735,0.8195866318427659,46.33215891662229,8831,109644
Antalya,daylight,84.67164611816406,62.72602844238281,0.9125583238009577,0.941503484898772,0.3494553864002228,357.0420837402344,0.008496515101227953,0.8838858676179077,44.241966410501306,8831,108468
Konya,daylight,90.0885009765625,67.69447326660156,0.9035422367689684,0.9418502685520114,0.3655344843864441,377.6775207519531,0.008149731447988584,0.9149457043500464,47.512487680142584,8831,109476
Rize,daylight,105.80155944824219,75.38887023925781,0.8153391374145116,0.9507166897462469,0.3675619661808014,360.28424072265625,0.0007166897462469457,0.3675619661808014,52.63847754296025,8831,109043
Van,daylight,89.3707504272461,65.42464447021484,0.9019233974686469,0.9272596096768007,0.35361209511756897,368.5804748535156,0.0227403903231993,1.4559847027231674,46.89489860278719,8831,109499
