horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,40.728538513183594,21.95576286315918,0.9783282906416936,0.9662552372324765,0.19333399832248688,201.98570251464844,0.01625523723247657,0.19333399832248688,17.474281202061054,44155,44155
2,all_hours,41.90374755859375,22.512775421142578,0.9770595838757885,0.9862529724832975,0.20033636689186096,209.30142211914062,0.03625297248329751,0.20033636689186096,18.03605292313019,44155,44155
3,all_hours,45.5434684753418,24.079458236694336,0.9729013436347637,0.9807269844864681,0.19942478835582733,208.3490447998047,0.030726984486468156,0.19942478835582733,18.897614245054907,44155,44155
4,all_hours,49.568580627441406,25.910463333129883,0.9678997442586829,0.9738421469822217,0.2014959752559662,210.51292419433594,0.023842146982221757,0.2014959752559662,20.002386931004203,44155,44155
5,all_hours,52.96525573730469,27.135908126831055,0.9633496905581936,0.9682255690182312,0.2053097039461136,214.497314453125,0.018225569018231247,0.2053097039461136,20.847433447439798,44155,44155
6,all_hours,55.790260314941406,28.473756790161133,0.9593368401806409,0.9708979730494848,0.20475512742996216,213.9179229736328,0.02089797304948482,0.20475512742996216,21.474461291515887,44155,44155
7,all_hours,57.772613525390625,29.301546096801758,0.9563969532158604,0.9741139168837051,0.20448024570941925,213.6307373046875,0.024113916883705122,0.20448024570941925,21.84511851383846,44155,44155
8,all_hours,58.886138916015625,29.474239349365234,0.9546972412917375,0.9758804212433473,0.20880310237407684,218.1470489501953,0.02588042124334733,0.20880310237407684,22.33181599546832,44155,44155
9,all_hours,60.118553161621094,30.327266693115234,0.952773607817487,0.9684293964443438,0.20812655985355377,217.44021606445312,0.018429396444343826,0.20812655985355377,22.66967693702791,44155,44155
10,all_hours,60.6779899597168,30.624399185180664,0.9518822407770072,0.9644660853810441,0.19926638901233673,208.18356323242188,0.014466085381044103,0.19926638901233673,22.441060834885047,44155,44155
11,all_hours,61.1330451965332,30.784873962402344,0.9511449480062332,0.9739327369493829,0.20704084634780884,216.30592346191406,0.023932736949382916,0.20704084634780884,22.82760420705294,44155,44155
12,all_hours,61.796905517578125,31.185619354248047,0.9500667903361137,0.9749518740799457,0.20905658602714539,218.411865234375,0.0249518740799457,0.20905658602714539,23.07005210570229,44155,44155
13,all_hours,62.11505126953125,31.3608455657959,0.9495438791445763,0.9598912920394066,0.21042588353157043,219.84243774414062,0.00989129203940664,0.21042588353157043,23.295914606612676,44155,44155
14,all_hours,62.52410888671875,31.611478805541992,0.9488738281244609,0.972664477409127,0.20792797207832336,217.2327423095703,0.022664477409127026,0.20792797207832336,23.25409013529816,44155,44155
15,all_hours,62.930694580078125,31.909740447998047,0.9482084475641793,0.9671611369040879,0.20980463922023773,219.19338989257812,0.017161136904087937,0.20980463922023773,23.4571854047982,44155,44155
16,all_hours,63.68791198730469,32.70305252075195,0.946955769437364,0.9693352961159551,0.21009723842144012,219.49908447265625,0.01933529611595519,0.21009723842144012,23.670254465405662,44155,44155
17,all_hours,63.97373962402344,32.79749298095703,0.9464775930499848,0.965983467330993,0.20904140174388885,218.39601135253906,0.015983467330993095,0.20904140174388885,23.72216137302892,44155,44155
18,all_hours,64.00481414794922,32.818580627441406,0.9464242352204748,0.9685199864115049,0.21215103566646576,221.64479064941406,0.018519986411504985,0.21215103566646576,23.761277342797893,44155,44155
19,all_hours,63.742408752441406,32.015899658203125,0.9468625531151625,0.9598007020722455,0.20867906510829926,218.0174560546875,0.009800702072245593,0.20867906510829926,23.64699192329052,44155,44155
20,all_hours,63.836395263671875,32.234764099121094,0.9467057419251558,0.9719624051636281,0.21030914783477783,219.72048950195312,0.02196240516362813,0.21030914783477783,23.694175257113624,44155,44155
21,all_hours,63.988765716552734,32.384864807128906,0.9464510179751418,0.9584645000566188,0.20519854128360748,214.3811798095703,0.008464500056618807,0.20519854128360748,23.615924044080558,44155,44155
22,all_hours,64.66914367675781,33.11069107055664,0.9453062249135552,0.973864794474012,0.20382308959960938,212.9441680908203,0.02386479447401202,0.20382308959960938,23.675118759226017,44155,44155
23,all_hours,64.870849609375,33.061553955078125,0.9449645044268788,0.9601630619408901,0.20228056609630585,211.33262634277344,0.010163061940890117,0.20228056609630585,23.754864500397108,44155,44155
24,all_hours,65.65777587890625,33.46853256225586,0.9436211593563235,0.9720982901143699,0.19827334582805634,207.1460723876953,0.022098290114369923,0.19827334582805634,23.792296477533743,44155,44155
1,daylight,56.731163024902344,42.59850311279297,0.9595614146495811,0.9345285174444151,0.37539350986480713,391.89202880859375,0.015471482555584837,1.1890586968566563,33.903545411591786,22758,22758
