group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,66.1858901977539,34.9949836730957,0.9427359997018419,0.9691550598271241,0.1785658895969391,186.5567169189453,0.019155059827124177,0.1785658895969391,24.567379071862913,44155,1059720
Aggregate_excl_Rize,all_hours,63.551025390625,34.04068374633789,0.9506272872426493,0.9682852545955536,0.17888891696929932,186.89419555664062,0.018285254595553635,0.17888891696929932,23.89798744151268,35324,847776
Ankara,all_hours,63.8691520690918,34.32262420654297,0.9482815534582437,0.9710867021477372,0.18116915225982666,184.61680603027344,0.021086702147737224,0.18116915225982666,23.950534744142814,8831,211944
Antalya,all_hours,60.57769012451172,32.4079704284668,0.955324585770803,0.9702421394330578,0.17662888765335083,180.83795166015625,0.02024213943305786,0.17662888765335083,22.670523950846448,8831,211944
Konya,all_hours,64.67179870605469,35.121978759765625,0.9501555120646866,0.9723275959687465,0.19033010303974152,196.98594665527344,0.02232759596874656,0.19033010303974152,24.548697507437826,8831,211944
Rize,all_hours,75.81510162353516,38.81216812133789,0.891728872001798,0.9726342807534065,0.18879395723342896,185.20687866210938,0.022634280753406566,0.18879395723342896,27.244945593263854,8831,211944
Van,all_hours,64.98896026611328,34.31016540527344,0.9486350657522374,0.9594845808326727,0.17720606923103333,185.13604736328125,0.009484580832672784,0.17720606923103333,24.422193563623594,8831,211944
Aggregate,daylight,92.1961898803711,67.90486145019531,0.8931748837725239,0.9401479501217659,0.3467578589916229,361.99786376953125,0.00985204987823407,0.9142513147408803,47.670962866047574,44155,546130
Aggregate_excl_Rize,daylight,88.50731658935547,66.02547454833984,0.9047715341409287,0.9384859307185983,0.34732285141944885,362.5008544921875,0.01151406928140164,0.9649952509165325,46.352648788950134,35324,437087
Ankara,daylight,88.79924774169922,66.3462905883789,0.9029464395831155,0.9441100288205465,0.35056471824645996,356.8678894042969,0.005889971179453446,0.8211813860667703,46.29685286757694,8831,109644
Antalya,daylight,84.6783676147461,63.32443618774414,0.9125444506313185,0.941853818637755,0.34584495425224304,353.3532409667969,0.008146181362244986,0.8655698545213633,44.29768713572851,8831,108468
Konya,daylight,89.9841537475586,67.99565887451172,0.9037655618672904,0.946426614052395,0.36910051107406616,381.3620300292969,0.0035733859476049235,0.8104064138492574,47.525933944575996,8831,109476
Rize,daylight,105.69815063476562,75.43818664550781,0.8156999274810445,0.9468099740469356,0.3672533333301544,359.9817199707031,0.0031900259530643904,0.7980142373524403,52.95528139191617,8831,109043
Van,daylight,90.41595458984375,66.41004943847656,0.8996159234230725,0.9215791925040411,0.34379276633262634,358.3454895019531,0.028420807495958877,1.7675853547894718,47.2710928195567,8831,109499
