horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,46.563804626464844,26.435466766357422,0.9716735276769407,0.9840335182878496,0.17274607717990875,180.47647094726562,0.03403351828784962,0.17274607717990875,18.760961848905325,44155,44155
2,all_hours,48.71155548095703,26.996496200561523,0.969000154012076,0.9819273015513532,0.17318616807460785,180.93624877929688,0.03192730155135326,0.17318616807460785,19.368315969002058,44155,44155
3,all_hours,53.069427490234375,28.70090675354004,0.9632053781104981,0.97769222058657,0.17423304915428162,182.0299835205078,0.02769222058657006,0.17423304915428162,20.6450798345115,44155,44155
4,all_hours,57.44266128540039,30.663434982299805,0.9568913290350044,0.9721662325897407,0.1753719598054886,183.2198486328125,0.02216623258974071,0.1753719598054886,21.92607492851912,44155,44155
5,all_hours,61.3108024597168,32.467037200927734,0.950890044473996,0.9726418299173366,0.17629149556159973,184.1805419921875,0.022641829917336653,0.17629149556159973,22.948091820207726,44155,44155
6,all_hours,64.09808349609375,33.85712814331055,0.946324702478995,0.9725059449665949,0.17736268043518066,185.29966735839844,0.02250594496659497,0.17736268043518066,23.76417115765447,44155,44155
7,all_hours,66.4258041381836,35.257896423339844,0.9423570225258638,0.970195900803986,0.17759278416633606,185.54005432128906,0.020195900803986033,0.17759278416633606,24.579149511156366,44155,44155
8,all_hours,67.64991760253906,35.86915969848633,0.9402093770372134,0.9696750084928094,0.17824693024158478,186.22348022460938,0.019675008492809454,0.17824693024158478,24.95913263086648,44155,44155
9,all_hours,68.87190246582031,36.66615676879883,0.9380199492065913,0.9689502887555204,0.17770421504974365,185.65647888183594,0.018950288755520406,0.17770421504974365,25.371327753367087,44155,44155
10,all_hours,69.17217254638672,36.796424865722656,0.9374674905062681,0.9680670365756993,0.17810632288455963,186.0765838623047,0.018067036575699302,0.17810632288455963,25.498774147645204,44155,44155
11,all_hours,69.8595962524414,37.23524475097656,0.9362016323140222,0.9680670365756993,0.17766337096691132,185.61380004882812,0.018067036575699302,0.17766337096691132,25.753220600338068,44155,44155
12,all_hours,70.2032699584961,37.49900817871094,0.9355577551830438,0.9678179141660062,0.17772337794303894,185.67649841308594,0.0178179141660062,0.17772337794303894,25.96329160236392,44155,44155
13,all_hours,70.28683471679688,37.49184799194336,0.9353947043770604,0.9676367342316838,0.1787203699350357,186.71810913085938,0.01763673423168388,0.1787203699350357,25.98928375837921,44155,44155
14,all_hours,70.24513244628906,37.283172607421875,0.9354671728716857,0.9685426339032952,0.17955425381660461,187.5893096923828,0.018542633903295247,0.17955425381660461,25.928409676126726,44155,44155
15,all_hours,70.29781341552734,37.13541030883789,0.9353724872066427,0.9680670365756993,0.18005922436714172,188.1168670654297,0.018067036575699302,0.18005922436714172,25.887248009309154,44155,44155
16,all_hours,70.51517486572266,37.14679718017578,0.9349736573517993,0.9698108934435511,0.17988313734531403,187.9329071044922,0.019810893443551136,0.17988313734531403,25.895151199403188,44155,44155
17,all_hours,70.6195297241211,37.2507209777832,0.9347798502196196,0.9688823462801495,0.17973823845386505,187.78152465820312,0.01888234628014951,0.17973823845386505,25.993316036468148,44155,44155
18,all_hours,70.88780975341797,37.445613861083984,0.9342817189057435,0.9690408787226814,0.1796431988477707,187.68223571777344,0.019040878722681454,0.1796431988477707,26.077166521885864,44155,44155
19,all_hours,71.18959045410156,37.69560241699219,0.9337208845009244,0.968452043936134,0.17902009189128876,187.03123474121094,0.018452043936134088,0.17902009189128876,26.184027413033785,44155,44155
20,all_hours,71.42433166503906,37.942649841308594,0.9332830485396973,0.9676367342316838,0.17827394604682922,186.251708984375,0.01763673423168388,0.17827394604682922,26.27079300652785,44155,44155
21,all_hours,71.72472381591797,38.21077346801758,0.9327207001693226,0.9658475823802514,0.1773228496313095,185.25804138183594,0.015847582380251413,0.1773228496313095,26.455350387379262,44155,44155
22,all_hours,72.12996673583984,38.15279769897461,0.9319582934085328,0.9643075529385121,0.17614950239658356,184.03219604492188,0.014307552938512158,0.17614950239658356,26.551533510067014,44155,44155
23,all_hours,72.79000091552734,38.143402099609375,0.9307073453232195,0.9592118672856981,0.17475128173828125,182.57139587402344,0.009211867285698117,0.17475128173828125,26.795774838315634,44155,44155
24,all_hours,73.96601867675781,38.28025817871094,0.9284502282722153,0.9529385120597894,0.17292745411396027,180.66595458984375,0.0029385120597894554,0.17292745411396027,27.185345603990495,44155,44155
1,daylight,64.85916900634766,51.290008544921875,0.9471438800800793,0.969021882414975,0.3354182541370392,350.1598815917969,0.019021882414975044,0.3354182541370392,36.39995915451334,22758,22758
2,daylight,67.85079193115234,52.378517150878906,0.9421554665067512,0.9649354073292908,0.3362727761268616,351.05194091796875,0.014935407329290884,0.3362727761268616,37.578345707500034,22758,22758
3,daylight,73.92090606689453,55.68539810180664,0.9313426350863866,0.9567185165656032,0.3383055329322815,353.1740417480469,0.006718516565603294,0.3383055329322815,40.0555189424754,22758,22758
4,daylight,80.0124282836914,59.49310302734375,0.9195608596747383,0.9459970120397223,0.3405168950557709,355.48260498046875,0.004002987960277649,0.7564873103889611,42.54090159367088,22758,22758
5,daylight,85.40039825439453,62.9924430847168,0.9083626909507068,0.9469197644784252,0.3423022925853729,357.3464660644531,0.00308023552157477,0.7415994995372401,44.52381555151034,22758,22758
6,daylight,89.29264068603516,65.70392608642578,0.8998123146899977,0.9466443985408518,0.3444579243659973,359.5968322753906,0.0033556014591481498,0.751840209692238,46.1173022223985,22753,22753
7,daylight,92.53529357910156,68.42228698730469,0.8924260361334457,0.9421614732123237,0.3449047803878784,360.0633239746094,0.00783852678767627,0.8553047739640754,47.69886813453651,22753,22753
8,daylight,94.24057006835938,69.6085205078125,0.8884376791694578,0.9411506175009888,0.3461752235889435,361.3896179199219,0.008849382499011127,0.8850128082682518,48.436272197772126,22753,22753
9,daylight,95.94287109375,71.15519714355469,0.8843667476969133,0.939744209554784,0.3451211750507355,360.28924560546875,0.010255790445215962,0.9214538817029211,49.236187621409215,22753,22753
10,daylight,96.36116027832031,71.40799713134766,0.8833431580090256,0.9380301498703467,0.3459021747112274,361.10455322265625,0.011969850129653237,0.9752276108911407,49.48351305275234,22753,22753
11,daylight,97.31878662109375,72.25958251953125,0.8809850791285982,0.9380301498703467,0.3450418710708618,360.2064514160156,0.011969850129653237,0.9728020931431384,49.977297745700675,22753,22753
12,daylight,97.79754638671875,72.77144622802734,0.8797887005527053,0.9375466971388389,0.3451584279537201,360.328125,0.012453302861161086,0.9884954108716514,50.38496640892976,22753,22753
13,daylight,97.91395568847656,72.7575454711914,0.8794926085015585,0.9371950951522876,0.34709468483924866,362.3494873046875,0.01280490484771235,1.005514570610459,50.435407390288475,22753,22753
14,daylight,97.8558578491211,72.35259246826172,0.8796352104446858,0.9389531050850437,0.3487142026424408,364.0401611328125,0.011046894914956251,0.9545429971637375,50.31727373310665,22753,22753
15,daylight,97.92924499511719,72.06583404541016,0.8794586571169939,0.9380301498703467,0.3496948480606079,365.0639343261719,0.011969850129653237,0.9859205756650531,50.23739444693207,22753,22753
16,daylight,98.23204803466797,72.08793640136719,0.8787080372715569,0.9414143189909023,0.3493529260158539,364.70697021484375,0.008585681009097623,0.886013980095082,50.25273156109735,22753,22753
17,daylight,98.3774185180664,72.28961181640625,0.8783318659135243,0.9396123588098273,0.3490715026855469,364.4131774902344,0.010387641190172658,0.9358567115291178,50.443232522755274,22753,22753
18,daylight,98.74463653564453,72.65824127197266,0.8774222378908147,0.9399279310950958,0.34884095191955566,364.1724853515625,0.010072068904904197,0.9260586788780989,50.59928316812579,22756,22756
