group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,67.8355941772461,37.54936218261719,0.9398457758994804,0.8968302947948514,0.16770824790000916,175.21319580078125,0.05316970520514852,2.5616848448162366,27.935645070087727,44155,1059720
Aggregate_excl_Rize,all_hours,65.17030334472656,36.26359939575195,0.9480792058959058,0.9091859170346884,0.17564530670642853,183.50543212890625,0.04081408296531153,1.5274162303120082,27.094824708678065,35324,847776
Ankara,all_hours,65.3440933227539,36.84294509887695,0.9458652957353598,0.9029790888159136,0.17173239588737488,175.00047302246094,0.047020911184086356,1.9743281425834174,27.106033038048633,8831,211944
Antalya,all_hours,62.29719924926758,34.23405075073242,0.9527523486888773,0.9134629902238327,0.18305352330207825,187.4156951904297,0.03653700977616725,1.3206000765811023,26.19120090458397,8831,211944
Konya,all_hours,65.88519287109375,36.98346710205078,0.9482675706316419,0.9096270713018533,0.17807108163833618,184.2982177734375,0.04037292869814668,1.518613016964363,27.50545402203789,8831,211944
Rize,all_hours,77.58650970458984,42.69239807128906,0.8866102698417668,0.8474078058355037,0.14479535818099976,142.04425048828125,0.10259219416449628,24.608139798617568,31.298926515726404,8831,211944
Van,all_hours,67.05985260009766,36.99391174316406,0.9453093922623356,0.9106745177971539,0.17928440868854523,187.30738830566406,0.03932548220284604,1.4600938465908662,27.57661087004176,8831,211944
Aggregate,daylight,94.49420928955078,72.86141967773438,0.8877832154992087,0.7998077380843389,0.325673371553421,339.9866943359375,0.15019226191566104,594.8447286036647,54.206803862950885,44155,546130
Aggregate_excl_Rize,daylight,90.76248931884766,70.33704376220703,0.8998568785754741,0.8238565777522553,0.3410252332687378,355.9280090332031,0.12614342224774466,187.39034156906652,52.55324938107116,35324,437087
Ankara,daylight,90.84989929199219,71.2181396484375,0.8984121499713549,0.8124566779759951,0.33230453729629517,338.2793884277344,0.13754332202400488,322.62581440919007,52.39649288803929,8831,109644
Antalya,daylight,87.08197021484375,66.89256286621094,0.9075090992867911,0.8309086550872147,0.358424574136734,366.20599365234375,0.11909134491278528,138.53469771308662,51.17700966664034,8831,108468
Konya,daylight,91.6724624633789,71.59947967529297,0.9001205252631967,0.8250392780152728,0.3453270494937897,356.7987976074219,0.12496072198472719,178.87820202488402,53.25017307215095,8831,109476
Rize,daylight,108.16778564453125,82.9801025390625,0.80698699757322,0.703410581146887,0.2816646695137024,276.08770751953125,0.24658941885311292,63731.69798694287,60.834897072247784,8831,109043
Van,daylight,93.2970962524414,71.60465240478516,0.8931164570620362,0.8271034438670672,0.34782490134239197,362.5483093261719,0.12289655613293271,162.53834978978855,53.376717725642514,8831,109499
