group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,67.43232727050781,34.44794845581055,0.9405588331453498,0.9717019590080399,0.18804194033145905,196.45681762695312,0.02170195900803995,0.18804194033145905,25.423264721069554,44155,1059720
Aggregate_excl_Rize,all_hours,64.34264373779297,33.34957504272461,0.9493896202459485,0.9782017891518514,0.1963944137096405,205.1830596923828,0.028201789151851453,0.1963944137096405,24.718199580137103,35324,847776
Ankara,all_hours,64.54640197753906,33.462764739990234,0.947178921248238,0.9738846110293286,0.19584253430366516,199.56942749023438,0.023884611029328595,0.19584253430366516,24.80923457257499,8831,211944
Antalya,all_hours,61.66286087036133,32.056060791015625,0.9537096514901306,0.9844109764843544,0.2010849565267563,205.87681579589844,0.03441097648435443,0.2010849565267563,23.66936546635959,8831,211944
Konya,all_hours,66.47919464111328,34.943687438964844,0.9473305531318809,0.9749273392971728,0.1982758641242981,205.20956420898438,0.024927339297172835,0.1982758641242981,25.589053156720254,8831,211944
Rize,all_hours,78.58563995361328,38.84144592285156,0.8836710975172035,0.9457026384327936,0.16468100249767303,161.55206298828125,0.0042973615672063925,0.3688357684406755,28.243525284799357,8831,211944
Van,all_hours,64.59002685546875,32.9357795715332,0.9492637376072206,0.97958422979655,0.20107801258563995,210.0762481689453,0.029584229796550066,0.20107801258563995,24.805145124893585,8831,211944
Aggregate,daylight,93.9324951171875,66.84339141845703,0.8891134128792422,0.945089996887188,0.36515942215919495,381.2081604003906,0.004910003112811978,0.8319282813324297,49.33173802979479,44155,546130
Aggregate_excl_Rize,daylight,89.60979461669922,64.68498229980469,0.9023843627104372,0.9577200877628481,0.38131070137023926,397.9739685058594,0.00772008776284816,0.38131070137023926,47.94353610894472,35324,437087
Ankara,daylight,89.74085235595703,64.68418884277344,0.9008772671897609,0.9495184415015869,0.37895798683166504,385.77166748046875,0.0004815584984130261,0.7671512323799368,47.95673645844584,8831,109644
Antalya,daylight,86.19525909423828,62.63682556152344,0.9093830929327431,0.9695394033263267,0.3937307596206665,402.2786560058594,0.019539403326326754,0.3937307596206665,46.24940069331155,8831,108468
Konya,daylight,92.49896240234375,67.6504898071289,0.8983114314928476,0.9514596806606014,0.38450944423675537,397.2828369140625,0.0014596806606014257,0.38450944423675537,49.540047884905526,8831,109476
Rize,daylight,109.56071472167969,75.49508666992188,0.8019839124241326,0.8944636519538164,0.320347398519516,314.0045166015625,0.05553634804618357,5.467626012985019,54.89619437250915,8831,109043
Van,daylight,89.8609390258789,63.74980926513672,0.9008445562356442,0.960483657384999,0.39010608196258545,406.6192626953125,0.010483657384999012,0.39010608196258545,48.01232594225011,8831,109499
