group,horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,n_samples,n_elements,CRPS
Ankara,1,all_hours,47.30883026123047,27.44350814819336,0.9716467147201914,0.9544785415015287,0.1755160242319107,178.85609436035156,0.00447854150152871,0.1755160242319107,8831,8831,
Ankara,2,all_hours,48.37931823730469,28.281084060668945,0.9703490590697654,0.9504019929792775,0.17405198514461517,177.36419677734375,0.0004019929792775656,0.17405198514461517,8831,8831,
Ankara,3,all_hours,52.177188873291016,30.122346878051758,0.9655110187399533,0.9404370965915525,0.17305207252502441,176.3452606201172,0.009562903408447454,0.45219884700104956,8831,8831,
Ankara,4,all_hours,57.028587341308594,32.449310302734375,0.9587993380225447,0.9314913373343903,0.17153529822826385,174.79962158203125,0.018508662665609688,0.6043121318212764,8831,8831,
Ankara,5,all_hours,61.749183654785156,34.69193649291992,0.9516961900862251,0.9216396784056166,0.17010362446308136,173.3406982421875,0.028360321594383398,0.8724480277771697,8831,8831,
Ankara,6,all_hours,65.32470703125,36.391563415527344,0.9459422042055222,0.916091042916997,0.1707955151796341,174.04576110839844,0.03390895708300301,1.1014749341286576,8831,8831,
Ankara,7,all_hours,67.6746597290039,37.37421798706055,0.9419845333910295,0.9120144943947458,0.17103715240955353,174.2919921875,0.037985505605254155,1.3137450559978852,8831,8831,
Ankara,8,all_hours,68.72647094726562,37.44667053222656,0.9401629115680008,0.9056731966934662,0.1716417819261551,174.9081268310547,0.04432680330653371,1.7462311635064254,8831,8831,
Ankara,9,all_hours,69.53614807128906,37.583683013916016,0.9387328733017403,0.9018231230891178,0.17194877564907074,175.22096252441406,0.04817687691088213,2.0842076175421904,8831,8831,
Ankara,10,all_hours,70.60596466064453,38.249534606933594,0.9368153308976364,0.9027290227607292,0.17103274166584015,174.28750610351562,0.04727097723927076,1.988872032352705,8831,8831,
Ankara,11,all_hours,72.34587860107422,39.64154052734375,0.9336387380260286,0.9006907484996036,0.17046448588371277,173.70843505859375,0.049309251500396334,2.176648218999237,8831,8831,
Ankara,12,all_hours,73.55479431152344,40.54199981689453,0.9313850604469295,0.8970671498131582,0.1709052473306656,174.15757751464844,0.052932850186841796,2.581796573740244,8831,8831,
Ankara,13,all_hours,74.51827239990234,41.202022552490234,0.9295646170055172,0.8942362133393726,0.1719835251569748,175.25637817382812,0.05576378666062731,2.966985301930556,8831,8831,
Ankara,14,all_hours,75.1440658569336,41.52096176147461,0.9283698228840427,0.8926508889140528,0.1719771772623062,175.24990844726562,0.0573491110859472,3.197433870289533,8831,8831,
Ankara,15,all_hours,74.95047760009766,41.131385803222656,0.928737421622199,0.8926508889140528,0.17292559146881104,176.21636962890625,0.0573491110859472,3.2150669757702506,8831,8831,
Ankara,16,all_hours,74.07805633544922,40.17903137207031,0.9303867911672102,0.9025025478428264,0.17468056082725525,178.00473022460938,0.0474974521571736,2.052434347319104,8831,8831,
Ankara,17,all_hours,73.52989196777344,39.800132751464844,0.9314120990264989,0.9095232702978145,0.17412595450878143,177.4395751953125,0.04047672970218541,1.4917894908119813,8831,8831,
Ankara,18,all_hours,72.74494171142578,39.346866607666016,0.9328679210272165,0.91393953119692,0.1738818883895874,177.1908721923828,0.036060468803080004,1.2289912560005802,8831,8831,
Ankara,19,all_hours,72.47642517089844,39.42710494995117,0.9333625911897483,0.9085041331672518,0.1724533587694168,175.7351531982422,0.041495866832748196,1.545682328129028,8831,8831,
Ankara,20,all_hours,71.93888092041016,39.23593521118164,0.9343473986174713,0.9089570830030574,0.17276149988174438,176.04916381835938,0.04104291699694251,1.5176385560206975,8831,8831,
Ankara,21,all_hours,72.02224731445312,39.684268951416016,0.9341951578508075,0.9106556448873288,0.1725514978170395,175.8351593017578,0.0393443551126712,1.4064247492731565,8831,8831,
Ankara,22,all_hours,71.97917938232422,39.990211486816406,0.9342738336940568,0.9112218321820859,0.1728648543357849,176.15447998046875,0.0387781678179141,1.374475921466578,8831,8831,
Ankara,23,all_hours,71.98921203613281,39.988765716552734,0.9342555060128223,0.9094100328388631,0.17260189354419708,175.88650512695312,0.04058996716113683,1.486148521294764,8831,8831,
Ankara,24,all_hours,72.15840148925781,39.74119567871094,0.9339461163688376,0.9113350696410373,0.17179082334041595,175.0600128173828,0.03866493035896268,1.359194135541387,8831,8831,
Antalya,1,all_hours,48.80730438232422,28.60089874267578,0.9709982693643942,0.9506284678971804,0.17994041740894318,184.2283935546875,0.000628467897180407,0.17994041740894318,8831,8831,
Antalya,2,all_hours,48.99076843261719,28.989681243896484,0.9707798257647716,0.9472313441286377,0.17775367200374603,181.9895477294922,0.0027686558713622134,0.38189887504985237,8831,8831,
Antalya,3,all_hours,51.27923583984375,30.047372817993164,0.9679861925599672,0.9431547956063866,0.17610366642475128,180.3002166748047,0.006845204393613358,0.4240799361748716,8831,8831,
Antalya,4,all_hours,54.6689567565918,31.45563507080078,0.9636138763288105,0.9383988223304269,0.1745544672012329,178.71409606933594,0.011601177669573026,0.48633381199363107,8831,8831,
Antalya,5,all_hours,57.774497985839844,32.94865417480469,0.9593625327720139,0.9359075982334957,0.17384853959083557,177.99134826660156,0.014092401766504281,0.5255576863245548,8831,8831,
Antalya,6,all_hours,59.798683166503906,33.70365524291992,0.9564663329227742,0.9339825614313215,0.1752985268831253,179.47589111328125,0.016017438568678433,0.5657728904785626,8831,8831,
Antalya,7,all_hours,60.82869338989258,34.01239776611328,0.9549546725970912,0.9300192503680217,0.17653094232082367,180.7376708984375,0.019980749631978267,0.655930142301859,8831,8831,
Antalya,8,all_hours,61.091609954833984,33.673744201660156,0.9545611464096796,0.9254897520099649,0.17833510041236877,182.58482360839844,0.024510247990035094,0.7857285489847226,8831,8831,
Antalya,9,all_hours,61.64763641357422,33.47060775756836,0.9537245240924983,0.923111765371985,0.17931891977787018,183.5920867919922,0.02688823462801493,0.8671736217793544,8831,8831,
Antalya,10,all_hours,62.916866302490234,34.18852615356445,0.9517954060193748,0.9210734911108595,0.1792176365852356,183.4884033203125,0.0289265088891405,0.940440642815591,8831,8831,
Antalya,11,all_hours,65.16586303710938,35.82818603515625,0.9482858783907918,0.9169969425886083,0.1794951856136322,183.77255249023438,0.033003057411391645,1.1142658841868736,8831,8831,
Antalya,12,all_hours,66.86988830566406,37.03678512573242,0.9455485722839598,0.9169969425886083,0.18071039021015167,185.0167236328125,0.033003057411391645,1.121809601972839,8831,8831,
Antalya,13,all_hours,68.34585571289062,38.241180419921875,0.9431293703723831,0.91314686898426,0.18216845393180847,186.50953674316406,0.03685313101573995,1.3322502902496578,8831,8831,
Antalya,14,all_hours,69.29840087890625,39.00246047973633,0.9415378516341466,0.9126939191484543,0.182481050491333,186.82957458496094,0.03730608085154563,1.3609252556217324,8831,8831,
Antalya,15,all_hours,69.31881713867188,38.625450134277344,0.9415090378246549,0.9137130562790171,0.18373450636863708,188.11289978027344,0.036286943720982845,1.3113257587803901,8831,8831,
Antalya,16,all_hours,68.45687866210938,37.493961334228516,0.942956105567577,0.9215264409466651,0.18498031795024872,189.38839721679688,0.028473559053334818,0.9530860400266465,8831,8831,
Antalya,17,all_hours,67.96101379394531,36.96916580200195,0.943777981366088,0.9262824142226248,0.18411238491535187,188.49978637695312,0.02371758577737515,0.7868160536321517,8831,8831,
Antalya,18,all_hours,67.67687225341797,36.57045364379883,0.9442454854776235,0.9292265881553617,0.18377727270126343,188.1566925048828,0.020773411844638212,0.7030322987639402,8831,8831,
Antalya,19,all_hours,67.33381652832031,36.3511848449707,0.9448092842409441,0.9250368021741592,0.18217012286186218,186.51124572753906,0.024963197825840777,0.8168373963250877,8831,8831,
Antalya,20,all_hours,66.92283630371094,35.9482536315918,0.9454809563204142,0.9216396784056166,0.18234309554100037,186.68833923339844,0.028360321594383398,0.9352233062973738,8831,8831,
Antalya,21,all_hours,66.94019317626953,36.45835876464844,0.9454526686789392,0.9242441399614992,0.18182584643363953,186.15875244140625,0.025755860038500722,0.8409041459936293,8831,8831,
Antalya,22,all_hours,67.12328338623047,36.92403793334961,0.9451538856907526,0.9258294643868191,0.1812368631362915,185.5557403564453,0.024170535613180832,0.788117175423737,8831,8831,
Antalya,23,all_hours,67.37094116210938,37.34683609008789,0.9447484162300664,0.9222058657003737,0.17939430475234985,183.66928100585938,0.027794134299626294,0.8994243337035688,8831,8831,
Antalya,24,all_hours,68.02349090576172,37.8330078125,0.9436729082481548,0.9201675914392481,0.17722280323505402,181.44602966308594,0.029832408560751866,0.9648525731813506,8831,8831,
Konya,1,all_hours,48.53657531738281,28.8851375579834,0.9719612240585461,0.9560638659268486,0.17927996814250946,185.54937744140625,0.0060638659268485995,0.17927996814250946,8831,8831,
Konya,2,all_hours,49.46812057495117,29.612503051757812,0.9708746197680154,0.9537991167478201,0.17804165184497833,184.26776123046875,0.003799116747820186,0.17804165184497833,8831,8831,
Konya,3,all_hours,52.791664123535156,30.894718170166016,0.9668295394789543,0.9463254444570264,0.17656119167804718,182.73553466796875,0.0036745555429735788,0.38873277200500234,8831,8831,
Konya,4,all_hours,57.406795501708984,33.00929260253906,0.9607764062208948,0.93545464839769,0.17500117421150208,181.12095642089844,0.014545351602309964,0.5371518163602194,8831,8831,
Konya,5,all_hours,61.5915641784668,35.15338897705078,0.9548494348935815,0.9290001132374589,0.17370441555976868,179.7788543701172,0.020999886762541053,0.6700882224266462,8831,8831,
Konya,6,all_hours,64.34709167480469,36.480979919433594,0.950720963504368,0.9226588155361793,0.17455266416072845,180.65676879882812,0.02734118446382061,0.8594614839796677,8831,8831,
Konya,7,all_hours,65.74824523925781,37.006649017333984,0.9485527264276509,0.9214132034877137,0.17531675100326538,181.44757080078125,0.02858679651228624,0.9074292352681793,8831,8831,
Konya,8,all_hours,65.87902069091797,36.64717483520508,0.9483425819091926,0.9158645679990941,0.17685861885547638,183.04336547851562,0.03413543200090585,1.151551326729044,8831,8831,
Konya,9,all_hours,65.93517303466797,36.27067947387695,0.9482417466442674,0.9129203940663572,0.17745907604694366,183.66481018066406,0.03707960593364279,1.310567917826875,8831,8831,
Konya,10,all_hours,66.61576843261719,36.65964889526367,0.9471503694602617,0.915298380704337,0.1768900752067566,183.07591247558594,0.034701619295662955,1.1797483336779904,8831,8831,
Konya,11,all_hours,68.39640045166016,38.18194580078125,0.9442616593845057,0.9108821198052316,0.17646406590938568,182.635009765625,0.03911788019476836,1.424106844437605,8831,8831,
Konya,12,all_hours,69.80091094970703,39.252925872802734,0.9419174051832616,0.9069188087419319,0.17673543095588684,182.91586303710938,0.043081191258068086,1.7001559649076503,8831,8831,
Konya,13,all_hours,71.14923095703125,40.27690887451172,0.9396281523825556,0.9055599592345148,0.1774759143590927,183.68223571777344,0.044440040765485134,1.8148301452290674,8831,8831,
Konya,14,all_hours,71.96984100341797,40.829689025878906,0.9382126286556003,0.9021628354659721,0.17700520157814026,183.195068359375,0.047837164534027865,2.1123433546214336,8831,8831,
Konya,15,all_hours,71.87635040283203,40.20855712890625,0.9383689177938748,0.9029554976786321,0.1778467297554016,184.06602478027344,0.04704450232136781,2.046825085332555,8831,8831,
Konya,16,all_hours,71.16036224365234,39.207881927490234,0.9395905466754094,0.9135998188200657,0.17953765392303467,185.8160858154297,0.036400181179934266,1.2876286785076672,8831,8831,
Konya,17,all_hours,70.77192687988281,38.82904815673828,0.94024693610073,0.9185822670139282,0.17946453392505646,185.7404022216797,0.031417732986071756,1.0428525949109508,8831,8831,
Konya,18,all_hours,70.31578063964844,38.44517517089844,0.9410134721786046,0.9220926282414222,0.17917506396770477,185.44081115722656,0.027907371758577715,0.9024084170887264,8831,8831,
Konya,19,all_hours,70.39480590820312,38.58955764770508,0.9408808130159174,0.9182425546370739,0.17725737392902374,183.4560546875,0.03175744536292602,1.044635518455125,8831,8831,
Konya,20,all_hours,70.24482727050781,38.53807830810547,0.9411324555896748,0.9154116181632884,0.17779406905174255,184.0115203857422,0.034588381836711535,1.1800864705579652,8831,8831,
