horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,50.03048324584961,29.16459083557129,0.9672987027657688,0.9481145963084588,0.16854897141456604,176.09153747558594,0.0018854036915411099,0.3537601210629155,21.487485089699096,44155,44155
2,all_hours,50.56448745727539,29.635393142700195,0.9665969006484487,0.9450118899331899,0.16714195907115936,174.62156677246094,0.004988110066810103,0.38162893301381756,21.686043867650167,44155,44155
3,all_hours,53.80030822753906,31.04244613647461,0.9621849138718478,0.9381044049371532,0.1659781038761139,173.40562438964844,0.011895595062846764,0.4668352722457537,22.73583404500432,44155,44155
4,all_hours,58.2614860534668,32.98226547241211,0.955653567337161,0.9300418978598121,0.16471277177333832,172.0836639404297,0.019958102140187894,0.6115115295238337,24.12018173584941,44155,44155
5,all_hours,62.532859802246094,34.97707748413086,0.9489127995931113,0.9232250028309364,0.16371217370033264,171.03829956054688,0.026774997169063508,0.7881549573926673,25.426909817691076,44155,44155
6,all_hours,65.67552185058594,36.34004592895508,0.943650326253393,0.9189899218661534,0.16458790004253387,171.9532012939453,0.031010078133846597,0.9404297369168534,26.53019564480321,44155,44155
7,all_hours,67.69540405273438,37.1697883605957,0.9401324906167073,0.9133280489185822,0.16511958837509155,172.50869750976562,0.03667195108141774,1.1981661512362214,27.26484221534625,44155,44155
8,all_hours,68.67098236083984,37.271827697753906,0.9383908810148098,0.9069641037255124,0.16631107032299042,173.7534942626953,0.04303589627448756,1.59663291780061,27.77897136654026,44155,44155
9,all_hours,69.38782501220703,37.281803131103516,0.9370878845835838,0.9021175404823916,0.16691307723522186,174.38243103027344,0.04788245951760839,1.9960438715141162,28.125986720109648,44155,44155
10,all_hours,70.35430908203125,37.817481994628906,0.9353118945122971,0.9021175404823916,0.16656093299388885,174.01454162597656,0.04788245951760839,1.9918327254107393,28.404420687566443,44155,44155
11,all_hours,72.0170669555664,39.19593048095703,0.9322002214219139,0.8995583739100894,0.16640587151050568,173.8525390625,0.05044162608991054,2.238906349782488,29.18836461865509,44155,44155
12,all_hours,73.39522552490234,40.23289108276367,0.9295645005250172,0.8966141999773525,0.16697698831558228,174.44920349121094,0.05338580002264748,2.576408254589954,29.817296305320177,44155,44155
13,all_hours,74.61018371582031,41.135433197021484,0.9272025050031488,0.8945306307326464,0.16784816980361938,175.359375,0.055469369267353574,2.8557825332191267,30.36354034101662,44155,44155
14,all_hours,75.47065734863281,41.70283126831055,0.925508882486668,0.8912014494394745,0.16768859326839447,175.19265747070312,0.05879855056052541,3.339430381134571,30.750168327462326,44155,44155
15,all_hours,75.58182525634766,41.43213653564453,0.9252917429066627,0.8920167591439249,0.16848069429397583,176.02020263671875,0.05798324085607509,3.227908580301129,30.786545779022358,44155,44155
16,all_hours,75.01588439941406,40.58671569824219,0.9264080021809438,0.901913713056279,0.16978421807289124,177.38206481933594,0.04808628694372097,2.04943760943979,30.214880108023518,44155,44155
17,all_hours,74.6846694946289,40.263885498046875,0.9270550667319546,0.9075076435284792,0.1692124754190445,176.78472900390625,0.04249235647152072,1.5854698222051362,29.846361239069413,44155,44155
18,all_hours,74.38800811767578,40.034481048583984,0.9276316147656901,0.9105197599365871,0.16889595985412598,176.4540557861328,0.039480240063412886,1.3848629383992141,29.7173886880355,44155,44155
19,all_hours,74.3362045288086,40.139625549316406,0.9277322455077391,0.9050617144151285,0.16736552119255066,174.85513305664062,0.04493828558487145,1.7503930491880313,29.71301534512639,44155,44155
20,all_hours,74.17268371582031,40.118408203125,0.9280498373169936,0.9027063752689389,0.1675763726234436,175.07540893554688,0.047293624731061024,1.9506973033494877,29.67607742678406,44155,44155
21,all_hours,74.38622283935547,40.68812561035156,0.9276349603297879,0.9036802174159212,0.1674107164144516,174.90234375,0.04631978258407876,1.8641087397162677,29.882540885930624,44155,44155
22,all_hours,74.53459167480469,41.07923126220703,0.9273460058139675,0.904540822103952,0.16738031804561615,174.87059020996094,0.04545917789604792,1.7923224313483597,29.99104849895568,44155,44155
23,all_hours,74.86918640136719,41.36195755004883,0.9266922463610319,0.9017325331219568,0.16642965376377106,173.87738037109375,0.048267466878043175,2.0257123852997916,30.140221785566304,44155,44155
24,all_hours,75.56968688964844,41.550140380859375,0.9253140344394021,0.9010078133846676,0.16523361206054688,172.62782287597656,0.048992186615332334,2.079270097040069,30.293557242618075,44155,44155
1,daylight,69.68793487548828,56.58504867553711,0.9389806231980948,0.8993321029967484,0.3272688090801239,341.6522521972656,0.05066789700325158,4.449610817492253,41.689950968260106,22758,22758
2,daylight,70.43175506591797,57.49849319458008,0.9376710871411489,0.8933122418490201,0.32453685998916626,338.80023193359375,0.05668775815097982,5.8481475025203835,42.075194084545785,22758,22758
3,daylight,74.93896484375,60.228458404541016,0.9294384876317746,0.8799103611916689,0.3222769498825073,336.4410095214844,0.07008963880833108,11.042563976055412,44.11199368385473,22758,22758
4,daylight,81.1529769897461,63.99208068847656,0.9172512434264686,0.8642675103260392,0.3198201358318329,333.876220703125,0.08573248967396074,23.577327259603038,46.79790071827185,22758,22758
5,daylight,87.10260772705078,67.86241912841797,0.9046732272101046,0.8510413920379647,0.31787726283073425,331.84796142578125,0.09895860796203526,45.1014083177624,49.3332104315032,22758,22758
6,daylight,91.49010467529297,70.52234649658203,0.894820454820263,0.8427899617632839,0.319647878408432,333.6963806152344,0.10721003823671604,68.35086279990149,51.48511355409334,22753,22753
7,daylight,94.3039321899414,72.13255310058594,0.8882745900128328,0.8318023996835582,0.32068052887916565,334.7744140625,0.11819760031644178,118.54337974216703,52.91078574335751,22753,22753
8,daylight,95.6629638671875,72.3305892944336,0.8850445779333873,0.8194523799059464,0.32299450039863586,337.1900939941406,0.13054762009405352,221.12381317658068,53.90851670942668,22753,22753
9,daylight,96.66158294677734,72.34993743896484,0.8826278387683898,0.8100470267657012,0.32416361570358276,338.41058349609375,0.13995297323429878,354.9778414097454,54.581942760358714,22753,22753
10,daylight,98.00794982910156,73.38948059082031,0.879321809380913,0.8100470267657012,0.3234797716140747,337.6966857910156,0.13995297323429878,354.22899272039604,55.12227818131658,22753,22753
11,daylight,100.32427215576172,76.06453704833984,0.8735205056924522,0.8050806487056652,0.32317858934402466,337.38226318359375,0.14491935129433475,453.5611742909472,56.6436179728702,22753,22753
12,daylight,102.244140625,78.0768814086914,0.8686088148673703,0.7993671164242078,0.3242877423763275,338.5401611328125,0.1506328835757922,605.5007660833965,57.86413740436041,22753,22753
13,daylight,103.93665313720703,79.82837677001953,0.864211808875673,0.7953236935788687,0.32597965002059937,340.3064270019531,0.15467630642113128,744.961599786555,58.92419126082665,22753,22753
14,daylight,105.13533782958984,80.92947387695312,0.8610612910944602,0.78886300707599,0.3256697356700897,339.98291015625,0.16113699292400996,1027.9224729485368,59.674490506706746,22753,22753
15,daylight,105.29020690917969,80.40416717529297,0.8606563482757863,0.7904452160154705,0.32720810174942017,341.5888671875,0.1595547839845295,954.247661237266,59.74508543368927,22753,22753
16,daylight,104.50181579589844,78.7635269165039,0.8627307412186496,0.8096514745308311,0.3297397494316101,344.2317810058594,0.14034852546916887,368.28991015293786,58.63569776160411,22753,22753
17,daylight,104.04042053222656,78.13702392578125,0.8639212888705237,0.8205071858656001,0.3286293148994446,343.07257080078125,0.12949281413439984,213.44020133392976,57.9205414895227,22753,22753
18,daylight,103.62030792236328,77.68160247802734,0.8650184611987306,0.8263754614167692,0.3279713988304138,342.3857116699219,0.12362453858323075,158.9299930657743,57.662651499393895,22756,22756
19,daylight,103.54360961914062,77.87877655029297,0.8652267536810401,0.8158010369979787,0.32497090101242065,339.25335693359375,0.13419896300202128,266.9727249300876,57.64909889111767,22758,22758
20,daylight,103.31583404541016,77.83760833740234,0.8658190355284319,0.8112312153967836,0.3253802955150604,339.6807556152344,0.1387687846032164,335.8443812261044,57.57743205816197,22758,22758
21,daylight,103.61328887939453,78.9429702758789,0.8650453250571215,0.8131206608665085,0.3250586688518524,339.344970703125,0.13687933913349148,305.2962639616811,57.97801181203386,22758,22758
22,daylight,103.81993865966797,79.70178985595703,0.8645064493384936,0.8147904033746375,0.3249996602535248,339.28338623046875,0.13520959662536247,280.817977228323,58.18853794144424,22758,22758
23,daylight,104.28599548339844,80.2503433227539,0.8632872432845228,0.8093417699270586,0.3231538236141205,337.3564147949219,0.14065823007294131,366.5616201672713,58.47796348280517,22758,22758
24,daylight,105.26173400878906,80.61544036865234,0.8607169946847352,0.8079356709728447,0.32083144783973694,334.9319763183594,0.14206432902715527,390.41067200158517,58.775464454161224,22758,22758
