horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,52.426536560058594,27.952848434448242,0.9482728435475927,0.979843732306647,0.16933628916740417,166.118896484375,0.029843732306647053,0.16933628916740417,20.31243736511493,8831,8831
2,all_hours,54.3465461730957,28.230377197265625,0.9444146771040476,0.9742950968180274,0.16976335644721985,166.53785705566406,0.02429509681802744,0.16976335644721985,20.839198488095885,8831,8831
3,all_hours,59.12662887573242,29.86444854736328,0.9342065702119605,0.9681802740346507,0.17303408682346344,169.74644470214844,0.018180274034650723,0.17303408682346344,22.356724828518878,8831,8831
4,all_hours,65.379150390625,33.053794860839844,0.9195557929162466,0.9534594043709659,0.1723298728466034,169.05560302734375,0.003459404370965924,0.1723298728466034,24.40759321163574,8831,8831
5,all_hours,69.67327117919922,34.904632568359375,0.9086415651586934,0.9506284678971804,0.1760459840297699,172.70111083984375,0.000628467897180407,0.1760459840297699,25.638098158639746,8831,8831
6,all_hours,73.32147979736328,36.91227340698242,0.8988244572212728,0.9482504812592005,0.1751258671283722,171.79847717285156,0.0017495187407994273,0.3662610407761181,26.90058388217896,8831,8831
7,all_hours,76.20295715332031,38.74382781982422,0.8907197735615142,0.9430415581474352,0.1747167408466339,171.39712524414062,0.006958441852564778,0.42213694719422457,28.065730494858478,8831,8831
8,all_hours,78.00148010253906,39.67957305908203,0.8855026643034737,0.9425886083116295,0.1760510802268982,172.70611572265625,0.007411391688370461,0.4310715373391918,28.804696081133624,8831,8831
9,all_hours,79.73985290527344,40.79288101196289,0.8803389408213496,0.939757671837844,0.17461788654327393,171.30014038085938,0.010242328162155978,0.4660235967219033,29.49252585923529,8831,8831
10,all_hours,81.44185638427734,41.766334533691406,0.8751576297761449,0.9382855848714755,0.1716877520084381,168.42568969726562,0.011714415128524447,0.480087920525537,30.088836431806126,8831,8831
11,all_hours,82.12458038330078,42.07268142700195,0.8730142315737509,0.9374929226588156,0.17193925380706787,168.6724090576172,0.012507077341184392,0.49327776065153084,30.2817184913054,8831,8831
12,all_hours,82.61302947998047,41.92340850830078,0.8714358462507065,0.9406635715094553,0.17490825057029724,171.58499145507812,0.009336428490544613,0.4538723167610069,30.331152114191394,8831,8831
13,all_hours,83.3688735961914,41.995689392089844,0.8689975239811198,0.941116521345261,0.1765895038843155,173.2342987060547,0.00888347865473893,0.45192815117032104,30.450508661803802,8831,8831
14,all_hours,84.34693145751953,42.32692337036133,0.8658816264438061,0.9408900464273582,0.17788660526275635,174.5067596435547,0.009109953572641771,0.45840631160555173,30.708543807550473,8831,8831
15,all_hours,85.30412292480469,42.85021209716797,0.8628220866685368,0.9410032838863096,0.17956455051898956,176.15281677246094,0.00899671611369035,0.4611315876773578,31.09078680644453,8831,8831
16,all_hours,86.41725158691406,43.606685638427734,0.8592240572403663,0.9383988223304269,0.1800747662782669,176.65335083007812,0.011601177669573026,0.5017141579482484,31.612491703849525,8831,8831
17,all_hours,86.790283203125,43.782196044921875,0.8580046645934621,0.9393047220020383,0.18180498480796814,178.35069274902344,0.01069527799796166,0.4921543043947808,31.792278901041392,8831,8831
18,all_hours,86.8443832397461,44.16590118408203,0.8578234304254213,0.9378326350356698,0.1812700629234314,177.825927734375,0.01216736496433013,0.5143412452298197,31.865362361635874,8831,8831
19,all_hours,87.27053833007812,44.58860778808594,0.8564238566322844,0.9364737855282528,0.17881672084331512,175.41920471191406,0.013526214471747178,0.5304792877100025,32.189324462764986,8831,8831
20,all_hours,87.20278930664062,44.73575973510742,0.8566466762237087,0.9362473106103499,0.17574191093444824,172.40281677246094,0.013752689389650019,0.525293435038172,32.220619388147234,8831,8831
21,all_hours,86.68502807617188,44.65633010864258,0.8583439459564897,0.9292265881553617,0.1715875118970871,168.3273468017578,0.020773411844638212,0.6564008767519639,32.067304571697925,8831,8831
22,all_hours,86.6103515625,44.57440948486328,0.8585878941484775,0.9285471634016532,0.1696779727935791,166.45408630371094,0.021452836598346736,0.6656622330511957,32.06761882747299,8831,8831
23,all_hours,87.14496612548828,44.51923751831055,0.8568367293349561,0.9249235647152078,0.16710273921489716,163.9277801513672,0.025076435284792198,0.752581901252691,32.3083076179639,8831,8831
24,all_hours,88.35305786132812,44.43663024902344,0.8528398727343633,0.9236779526667421,0.16753683984279633,164.3536376953125,0.026322047333257825,0.7922581416047372,32.73464599855529,8831,8831
1,daylight,73.08646392822266,54.32473373413086,0.9119124206524576,0.9608274647887324,0.3293638229370117,322.8424377441406,0.010827464788732422,0.3293638229370117,39.47604189509902,4544,4544
2,daylight,75.76309967041016,54.86410140991211,0.9053422442491886,0.950044014084507,0.33019450306892395,323.6566467285156,4.4014084507049134e-05,0.33019450306892395,40.49977153353318,4544,4544
3,daylight,82.42688751220703,58.039817810058594,0.8879585818266805,0.9381602112676056,0.33655616641044617,329.8923645019531,0.01183978873239433,0.9449086674002989,43.44899581000225,4544,4544
