horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,51.42201614379883,28.37704849243164,0.9678076724091522,0.9952440267240403,0.23466287553310394,240.25489807128906,0.045244026724040376,0.23466287553310394,22.105089288229934,8831,8831
2,all_hours,51.47166061401367,27.94528579711914,0.9677454808991316,0.9946778394292832,0.23463840782642365,240.22984313964844,0.04467783942928327,0.23463840782642365,22.044312834168785,8831,8831
3,all_hours,52.2689094543457,27.970243453979492,0.9667385564642471,0.9936587022987204,0.23413939774036407,239.7189483642578,0.043658702298720486,0.23413939774036407,22.253159441173405,8831,8831
4,all_hours,53.15849304199219,27.568300247192383,0.9655967458267765,0.9933189899218662,0.23568207025527954,241.2983856201172,0.043318989921866224,0.23568207025527954,22.416720388811957,8831,8831
5,all_hours,54.924232482910156,28.518367767333984,0.9632732731333651,0.9922998527913034,0.23553547263145447,241.14828491210938,0.04229985279130344,0.23553547263145447,22.884409022584588,8831,8831
6,all_hours,55.96831130981445,28.833206176757812,0.961864766787363,0.9926395651681577,0.23712347447872162,242.7741241455078,0.0426395651681577,0.23712347447872162,23.167273186473068,8831,8831
7,all_hours,56.8167724609375,29.214557647705078,0.9607006023467197,0.9930925150039633,0.23848295211791992,244.16600036621094,0.04309251500396338,0.23848295211791992,23.32646249969402,8831,8831
8,all_hours,57.824974060058594,30.134313583374023,0.9592905578374352,0.9927528026271091,0.2375994622707367,243.26145935058594,0.04275280262710912,0.2375994622707367,23.65120073825937,8831,8831
9,all_hours,58.842018127441406,30.805152893066406,0.9578407254805115,0.9930925150039633,0.23826193809509277,243.93972778320312,0.04309251500396338,0.23826193809509277,23.933786485149525,8831,8831
10,all_hours,59.881187438964844,31.37476348876953,0.9563348329290947,0.993545464839769,0.2379186898469925,243.5883026123047,0.043545464839769066,0.2379186898469925,24.128778510966583,8831,8831
11,all_hours,60.50458908081055,31.620222091674805,0.9554194461144591,0.9936587022987204,0.23772510886192322,243.39010620117188,0.043658702298720486,0.23772510886192322,24.234658635447566,8831,8831
12,all_hours,61.26448440551758,32.1046028137207,0.9542947941420773,0.993545464839769,0.23726384341716766,242.9178466796875,0.043545464839769066,0.23726384341716766,24.387906048948636,8831,8831
