horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,54.40420913696289,30.879968643188477,0.964772182062178,0.9970558260672631,0.2331351786851883,241.28790283203125,0.04705582606726311,0.2331351786851883,23.201562596834766,8831,8831
2,all_hours,56.436954498291016,31.596012115478516,0.9620905157147919,0.9958102140187974,0.23257236182689667,240.70541381835938,0.04581021401879748,0.23257236182689667,23.703218673491417,8831,8831
3,all_hours,58.99992370605469,32.68700408935547,0.9585691710979399,0.9949043143471861,0.2328907996416092,241.0349884033203,0.044904314347186114,0.2328907996416092,24.511525166337364,8831,8831
4,all_hours,61.97728729248047,34.218299865722656,0.9542821461093582,0.9926395651681577,0.23299053311347961,241.13819885253906,0.0426395651681577,0.23299053311347961,25.34112336743211,8831,8831
5,all_hours,63.77585983276367,34.9886474609375,0.9515901871010669,0.992186615332352,0.23416924476623535,242.35813903808594,0.04218661533235202,0.23416924476623535,25.901998406238047,8831,8831
6,all_hours,64.91170501708984,35.505313873291016,0.9498523733165376,0.9916204280375949,0.23453772068023682,242.739501953125,0.041620428037594914,0.23453772068023682,26.2486694435198,8831,8831
7,all_hours,64.68614959716797,35.12016677856445,0.9502014557990972,0.9912807156607406,0.23662583529949188,244.900634765625,0.04128071566074065,0.23662583529949188,26.261355492745164,8831,8831
8,all_hours,65.08609771728516,35.24129867553711,0.9495785922488421,0.9920733778734006,0.23752273619174957,245.8289031982422,0.0420733778734006,0.23752273619174957,26.325917524955287,8831,8831
9,all_hours,65.52002716064453,35.55126190185547,0.9488914689890657,0.9906012909070321,0.23723022639751434,245.52615356445312,0.04060129090703213,0.23723022639751434,26.429413997326822,8831,8831
10,all_hours,66.83055877685547,36.70734405517578,0.9468090084775559,0.9896953912354207,0.2357022911310196,243.94479370117188,0.03969539123542076,0.2357022911310196,26.883106733305407,8831,8831
11,all_hours,66.75569152832031,36.321388244628906,0.9469037085664944,0.9901483410712264,0.23710472881793976,245.39627075195312,0.040148341071226445,0.23710472881793976,26.79149780831308,8831,8831
12,all_hours,67.2933349609375,36.65446853637695,0.9460156438128839,0.9895821537764693,0.2367461919784546,245.0251922607422,0.03958215377646934,0.2367461919784546,27.046556573992586,8831,8831
13,all_hours,67.62169647216797,36.77857971191406,0.9454661527183156,0.9896953912354207,0.2372114658355713,245.50674438476562,0.03969539123542076,0.2372114658355713,27.163007031217138,8831,8831
14,all_hours,67.2164535522461,36.19824981689453,0.9461048284463589,0.9904880534480807,0.238986998796463,247.3443603515625,0.04048805344808071,0.238986998796463,27.037842286578975,8831,8831
15,all_hours,67.3978500366211,36.368064880371094,0.9458099119214556,0.9906012909070321,0.2391873300075531,247.55169677734375,0.04060129090703213,0.2391873300075531,27.057999612448302,8831,8831
16,all_hours,67.44866180419922,36.35309600830078,0.9457280612169312,0.9907145283659835,0.23985128104686737,248.23887634277344,0.04071452836598355,0.23985128104686737,27.006301416745686,8831,8831
17,all_hours,68.24942016601562,36.954158782958984,0.944430558791176,0.9912807156607406,0.2393408715724945,247.7106170654297,0.04128071566074065,0.2393408715724945,27.13644773738798,8831,8831
18,all_hours,68.90679931640625,37.599395751953125,0.9433537286300425,0.9909410032838863,0.23749569058418274,245.8009033203125,0.04094100328388639,0.23749569058418274,27.378620884398355,8831,8831
19,all_hours,69.86727142333984,38.11393356323242,0.9417635576056247,0.9902615785301778,0.23594732582569122,244.19839477539062,0.040261578530177866,0.23594732582569122,27.579692650011317,8831,8831
20,all_hours,69.92179107666016,38.13814926147461,0.9416726413685615,0.9909410032838863,0.23549479246139526,243.73004150390625,0.04094100328388639,0.23549479246139526,27.671595635767947,8831,8831
21,all_hours,69.14994812011719,37.468841552734375,0.9429532485213623,0.9896953912354207,0.23667505383491516,244.95156860351562,0.03969539123542076,0.23667505383491516,27.454515339696943,8831,8831
22,all_hours,69.02671813964844,37.17941665649414,0.9431563853454752,0.9884497791869551,0.23625482618808746,244.5166473388672,0.038449779186955135,0.23625482618808746,27.40342524280635,8831,8831
23,all_hours,69.5457763671875,37.24213790893555,0.9422982821027295,0.9877703544332466,0.2352857142686844,243.51364135742188,0.03777035443324661,0.2352857142686844,27.50958096523059,8831,8831
24,all_hours,70.98706817626953,38.08993148803711,0.93988184002829,0.9850526554184124,0.23303362727165222,241.18280029296875,0.035052655418412404,0.23303362727165222,27.980898702901662,8831,8831
1,daylight,75.69371032714844,59.776634216308594,0.9319653471970678,0.9943007452871547,0.45206132531166077,467.07879638671875,0.044300745287154775,0.45206132531166077,44.912976609523845,4562,4562
2,daylight,78.52191162109375,61.1627311706543,0.9267863083136564,0.9918895221394125,0.45097002387046814,465.95123291015625,0.04188952213941255,0.45097002387046814,45.884069291013304,4562,4562
3,daylight,82.08782196044922,63.2746467590332,0.9199856186192266,0.990135905304691,0.4515874683856964,466.5892028808594,0.04013590530469102,0.4515874683856964,47.44876780883939,4562,4562
4,daylight,86.23029327392578,66.23889923095703,0.9117061885060571,0.9857518632178869,0.45178088545799255,466.7890319824219,0.035751863217886926,0.45178088545799255,49.05468225729789,4562,4562
5,daylight,88.7326889038086,67.73011779785156,0.9065072716497227,0.9848750548005261,0.4540664553642273,469.1505432128906,0.034875054800526106,0.4540664553642273,50.14040945319777,4562,4562
6,daylight,90.32290649414062,68.74533081054688,0.9031218122523773,0.9837754878316158,0.45488059520721436,469.9917297363281,0.03377548783161588,0.45488059520721436,50.82262658533728,4561,4561
7,daylight,90.0090560913086,67.99960327148438,0.9038185993744574,0.983117737338303,0.45893046259880066,474.1761169433594,0.03311773733830303,0.45893046259880066,50.847189291039804,4561,4561
8,daylight,90.5655746459961,68.23413848876953,0.902634751287007,0.9846524884893664,0.46067002415657043,475.9734802246094,0.03465248848936642,0.46067002415657043,50.972194181732114,4561,4561
9,daylight,91.16937255859375,68.83428955078125,0.9013169311695992,0.9818022363516773,0.46010270714759827,475.3872985839844,0.03180223635167734,0.46010270714759827,51.1725838654666,4561,4561
10,daylight,92.99293518066406,71.07269287109375,0.8972944774708009,0.9800482350361763,0.4571393132209778,472.3254699707031,0.030048235036176374,0.4571393132209778,52.051022925196236,4561,4561
11,daylight,92.8887710571289,70.32540893554688,0.8974712194660535,0.9809252356939268,0.45985931158065796,475.1358337402344,0.0309252356939268,0.45985931158065796,51.873649889325314,4561,4561
12,daylight,93.63688659667969,70.97032165527344,0.8957559591121937,0.9798289848717386,0.4591639041900635,474.4173278808594,0.029828984871738684,0.4591639041900635,52.36749421287624,4561,4561
13,daylight,94.09378814697266,71.21061706542969,0.8947012011334798,0.9800482350361763,0.4600663185119629,475.3497009277344,0.030048235036176374,0.4600663185119629,52.59296537879381,4561,4561
14,daylight,93.52989959716797,70.08699035644531,0.8959466955376346,0.9815829861872396,0.4635098874568939,478.9076843261719,0.03158298618723965,0.4635098874568939,52.35062162525299,4561,4561
15,daylight,93.7823257446289,70.41577911376953,0.8953858598885457,0.9818022363516773,0.4638984501361847,479.30914306640625,0.03180223635167734,0.4638984501361847,52.38965020336131,4561,4561
16,daylight,93.85301971435547,70.38679504394531,0.8952333826338853,0.9820214865161149,0.4651861786842346,480.6396484375,0.032021486516114916,0.4651861786842346,52.28955224978758,4561,4561
17,daylight,94.96724700927734,71.55058288574219,0.8927185774851429,0.983117737338303,0.46419626474380493,479.6168518066406,0.03311773733830303,0.46419626474380493,52.54154132183147,4561,4561
18,daylight,95.8714599609375,72.78392028808594,0.890679049569252,0.9824638316527838,0.4605166018009186,475.81494140625,0.03246383165278388,0.4605166018009186,52.99881653444144,4562,4562
19,daylight,97.20780181884766,73.77996063232422,0.8876101978419875,0.9811486190267427,0.4575142562389374,472.7128601074219,0.031148619026742708,0.4575142562389374,53.38804598690266,4562,4562
20,daylight,97.28364562988281,73.82682800292969,0.8874347397014081,0.9824638316527838,0.4566367268562317,471.8061828613281,0.03246383165278388,0.4566367268562317,53.56594937734913,4562,4562
21,daylight,96.20977020263672,72.53120422363281,0.8899061678764114,0.9800526085050416,0.4589253067970276,474.1708068847656,0.030052608505041656,0.4589253067970276,53.145731031316025,4562,4562
22,daylight,96.03831481933594,71.97093963623047,0.8902981991635983,0.9776413853572994,0.458110511302948,473.32891845703125,0.02764138535729943,0.458110511302948,53.0468321611624,4562,4562
23,daylight,96.760498046875,72.09235382080078,0.8886421561479512,0.9763261727312582,0.45623132586479187,471.3873291015625,0.026326172731258257,0.45623132586479187,53.252325625592135,4562,4562
24,daylight,98.76578521728516,73.73348999023438,0.8839786939667726,0.9710653222270934,0.45186442136764526,466.8753356933594,0.021065322227093453,0.45186442136764526,54.16469014584054,4562,4562
