horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,53.07534408569336,29.812150955200195,0.963197173644096,0.994338127052429,0.19201236963272095,200.60491943359375,0.04433812705242901,0.19201236963272095,20.93384961945788,44155,44155
2,all_hours,51.98272705078125,29.00469398498535,0.964696829120561,0.9899445136451138,0.19395366311073303,202.63308715820312,0.039944513645113866,0.19395366311073303,21.15480811240469,44155,44155
3,all_hours,55.03753662109375,29.902530670166016,0.9604256711153616,0.9858906126146529,0.1927938312292099,201.42135620117188,0.035890612614652984,0.1927938312292099,22.108519818202687,44155,44155
4,all_hours,58.69096374511719,31.254520416259766,0.9549973513436661,0.9814064092401766,0.19450028240680695,203.20416259765625,0.03140640924017668,0.19450028240680695,23.35517504621097,44155,44155
5,all_hours,62.43336868286133,32.50528335571289,0.9490752320626863,0.978801947684294,0.19672608375549316,205.52957153320312,0.028801947684294005,0.19672608375549316,24.403141817790527,44155,44155
6,all_hours,67.37153625488281,35.5974235534668,0.940702373445975,0.9763786660627336,0.19413192570209503,202.8193359375,0.026378666062733647,0.19413192570209503,25.76587853077603,44155,44155
7,all_hours,68.75146484375,36.333839416503906,0.9382500431747092,0.9766730834560072,0.1976107805967331,206.453857421875,0.026673083456007274,0.1976107805967331,26.273962448974952,44155,44155
8,all_hours,69.5703125,36.82920837402344,0.9367666188916155,0.9747706941456233,0.19850844144821167,207.39169311523438,0.024770694145623384,0.19850844144821167,26.644062838488935,44155,44155
9,all_hours,70.02235412597656,37.02204132080078,0.9359320013946244,0.973864794474012,0.1986120045185089,207.49989318847656,0.02386479447401202,0.1986120045185089,26.7635384745354,44155,44155
10,all_hours,68.85895538330078,36.03529739379883,0.9380325121950132,0.97370626203148,0.2018105387687683,210.841552734375,0.023706262031480074,0.2018105387687683,26.48608980429649,44155,44155
11,all_hours,68.41706848144531,35.63832092285156,0.9388091644919007,0.9744762767523497,0.20332472026348114,212.4235076904297,0.024476276752349757,0.20332472026348114,26.52550468746353,44155,44155
12,all_hours,68.23563385009766,35.197509765625,0.9391194660180219,0.9767183784395879,0.20491954684257507,214.08969116210938,0.02671837843958791,0.20491954684257507,26.38428787341223,44155,44155
13,all_hours,68.52639770507812,35.5257568359375,0.9385904395579998,0.9734797871135772,0.204183891415596,213.3211212158203,0.023479787113577233,0.204183891415596,26.555788076809474,44155,44155
14,all_hours,68.77884674072266,35.65395736694336,0.9381331430013423,0.9752462914732194,0.20545008778572083,214.64398193359375,0.02524629147321944,0.20545008778572083,26.688047216118647,44155,44155
15,all_hours,69.52129364013672,36.17294692993164,0.936792364098717,0.9754274714075416,0.20528115332126617,214.4674835205078,0.025427471407541646,0.20528115332126617,27.01280766487882,44155,44155
16,all_hours,71.40189361572266,37.98739242553711,0.9333279875906694,0.9722341750651116,0.20163118839263916,210.65419006347656,0.022234175065111605,0.20163118839263916,27.561594731188624,44155,44155
17,all_hours,71.30171966552734,37.72373580932617,0.9335137081456395,0.9722794700486921,0.20167572796344757,210.70071411132812,0.02227947004869213,0.20167572796344757,27.32402905278174,44155,44155
18,all_hours,72.89574432373047,39.236507415771484,0.9305059886862259,0.9722115275733213,0.19633857905864716,205.12472534179688,0.022211527573321344,0.19633857905864716,27.77161435894173,44155,44155
19,all_hours,74.24101257324219,40.27360534667969,0.9279172237213144,0.9714188653606614,0.19612011313438416,204.896484375,0.0214188653606614,0.19612011313438416,28.18444080405986,44155,44155
20,all_hours,73.56315612792969,39.376792907714844,0.9292275232167411,0.9723927075076435,0.19793887436389923,206.79664611816406,0.02239270750764355,0.19793887436389923,27.874779337725442,44155,44155
21,all_hours,72.12498474121094,37.792686462402344,0.9319676869164881,0.9761068961612501,0.20209071040153503,211.13427734375,0.02610689616125017,0.20209071040153503,27.333848332445054,44155,44155
22,all_hours,72.3171157836914,37.854488372802734,0.9316047471061817,0.9716679877703545,0.20239298045635223,211.4500732421875,0.021667987770354502,0.20239298045635223,27.51880672431567,44155,44155
23,all_hours,73.9012222290039,38.667381286621094,0.9285755438076468,0.9677726191824255,0.2001432627439499,209.09967041015625,0.017772619182425564,0.2001432627439499,27.98199149846965,44155,44155
24,all_hours,76.22561645507812,39.69453811645508,0.9240119003740578,0.9679764466085381,0.19579988718032837,204.5619354248047,0.017976446608538144,0.19579988718032837,28.445709158102996,44155,44155
1,daylight,73.92915344238281,57.8414421081543,0.9313273258641479,0.9890148519202039,0.3728272616863251,389.2130126953125,0.03901485192020393,0.3728272616863251,40.615789170716354,22758,22758
2,daylight,72.40723419189453,56.27481460571289,0.9341256259418486,0.9804903770102821,0.3765966594219208,393.1480712890625,0.03049037701028212,0.3765966594219208,41.04449214356398,22758,22758
