group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,68.11773681640625,35.87886047363281,0.9393443550716805,0.9760493337862832,0.19908127188682556,207.9901580810547,0.02604933378628327,0.19908127188682556,26.12717816782717,44155,1059720
Aggregate_excl_Rize,all_hours,65.7197265625,35.02764892578125,0.9472000749206297,0.9816578907635979,0.20806023478507996,217.3709259033203,0.03165789076359793,0.20806023478507996,25.630237143927467,35324,847776
Ankara,all_hours,65.91429901123047,35.383453369140625,0.9449163744189222,0.9807637866606274,0.20497658848762512,208.87730407714844,0.0307637866606274,0.20497658848762512,25.566253629722876,8831,211944
Antalya,all_hours,63.210845947265625,33.20661163330078,0.9513563264628662,0.984236402068471,0.21549665927886963,220.63194274902344,0.034236402068471006,0.21549665927886963,24.76249636770134,8831,211944
Konya,all_hours,66.97804260253906,36.29618835449219,0.9465371451759731,0.9784471369795795,0.2104434072971344,217.8026123046875,0.028447136979579568,0.2104434072971344,26.349489465258788,8831,211944
Rize,all_hours,76.96623229980469,39.28369140625,0.8884160690853334,0.9536151058770241,0.17376863956451416,170.467041015625,0.003615105877024183,0.17376863956451416,28.11494226342598,8831,211944
Van,all_hours,66.70804595947266,35.22434616088867,0.94588171739337,0.9831842373457139,0.21265555918216705,222.17189025878906,0.03318423734571396,0.21265555918216705,25.84270911302686,8831,211944
Aggregate,daylight,94.8872299194336,69.61994934082031,0.886847822618346,0.953525717320052,0.3865967392921448,403.587646484375,0.003525717320052024,0.3865967392921448,50.69762373063155,44155,546130
Aggregate_excl_Rize,daylight,91.52765655517578,67.9397964477539,0.8981612396407417,0.9644235586965524,0.40396061539649963,421.6136779785156,0.01442355869655243,0.40396061539649963,49.712528455273784,35324,437087
Ankara,daylight,91.64268493652344,68.39691162109375,0.8966314276474276,0.9628160227645836,0.39663252234458923,403.76397705078125,0.012816022764583601,0.39663252234458923,49.420069126427215,8831,109644
Antalya,daylight,88.3591079711914,64.88496398925781,0.9047762787228822,0.9691982888962644,0.42194920778274536,431.1097412109375,0.019198288896264404,0.42194920778274536,48.38535356193617,8831,108468
Konya,daylight,93.19305419921875,70.26890563964844,0.8967796037620482,0.9582739595893164,0.4081055819988251,421.662841796875,0.008273959589316426,0.4081055819988251,51.012241908955474,8831,109476
Rize,daylight,107.30300903320312,76.35467529296875,0.8100608450309608,0.9098429060095559,0.33802521228790283,331.3323059082031,0.04015709399044409,2.8554083028019686,54.646270948887654,8831,109043
Van,daylight,92.8076400756836,68.17951965332031,0.8942349697326363,0.9674517575502972,0.4125674068927765,430.0313720703125,0.017451757550297264,0.4125674068927765,50.02061334123019,8831,109499
