group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,69.55422973632812,38.307430267333984,0.9367591272427738,0.9212905295738497,0.1666645109653473,174.12274169921875,0.02870947042615024,0.8669278036780382,27.817984089397893,44155,1059720
Aggregate_excl_Rize,all_hours,66.73763275146484,37.21432876586914,0.9455518166182236,0.9277710149850904,0.17397034168243408,181.75550842285156,0.022228985014909552,0.7026243055954811,27.016952230705673,35324,847776
Ankara,all_hours,67.2931900024414,37.623779296875,0.942587644837552,0.9267542369682558,0.17283116281032562,176.12014770507812,0.023245763031744193,0.7254139880183564,27.033285360962815,8831,211944
Antalya,all_hours,64.10566711425781,35.808509826660156,0.949969375122933,0.9323736458687201,0.17885160446166992,183.1136474609375,0.017626354131279887,0.6106134458827068,26.04765510727963,8831,211944
Konya,all_hours,68.32908630371094,38.56949996948242,0.9443585491342817,0.9245225153814215,0.17586322128772736,182.01315307617188,0.02547748461857846,0.8045170617314985,27.80287576745713,8831,211944
Rize,all_hours,79.8329849243164,42.67984390258789,0.8799489377829505,0.8953685879288868,0.14637279510498047,143.59170532226562,0.054631412071113106,2.3942180279165255,31.022111524166785,8831,211944
Van,all_hours,67.14813232421875,36.855533599853516,0.945165302963986,0.9274336617219643,0.17781780660152435,185.775146484375,0.02256633827803567,0.7273549583094931,27.183992687123105,8831,211944
Aggregate,daylight,96.88824462890625,74.33238220214844,0.8820251196660632,0.847270796330544,0.3236464560031891,337.8706970214844,0.10272920366945593,55.379965246391194,53.97849248204042,44155,546130
Aggregate_excl_Rize,daylight,92.94529724121094,72.18108367919922,0.8949821331928334,0.8599043211076971,0.33777323365211487,352.5339050292969,0.09009567889230286,30.888956885334103,52.402207556707765,35324,437087
Ankara,daylight,93.5597915649414,72.72750091552734,0.8922613911859182,0.8584145051256795,0.3344305753707886,340.44366455078125,0.09158549487432044,32.92258220251685,52.25587020305628,8831,109644
Antalya,daylight,89.60992431640625,69.9690170288086,0.9020612151140883,0.8678596452409927,0.35019710659980774,357.7998962402344,0.08214035475900727,21.630004569774655,50.89652445013527,8831,108468
Konya,daylight,95.07289123535156,74.66999816894531,0.8925734021402681,0.8538766487631992,0.3410453796386719,352.3749084472656,0.09612335123680071,42.037988906754954,53.82597739831502,8831,109476
Rize,daylight,111.29971313476562,82.9556884765625,0.7956480191750908,0.7966306869766973,0.2847331166267395,279.09539794921875,0.1533693130233027,609.555440858898,60.29685908199522,8831,109043
Van,daylight,93.41990661621094,71.3368148803711,0.8928348588984005,0.8595420962748518,0.3449796140193939,359.58258056640625,0.09045790372514817,32.11824524478937,52.6167740899882,8831,109499
