group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,66.73822021484375,35.33589172363281,0.9417762632501433,0.988172347412524,0.2153317928314209,224.9678955078125,0.038172347412524066,0.2153317928314209,25.583815292563468,44155,1059720
Aggregate_excl_Rize,all_hours,64.05651092529297,34.36492156982422,0.9498387452337725,0.9912465085116823,0.2233426421880722,233.33721923828125,0.04124650851168232,0.2233426421880722,25.094983197498653,35324,847776
Ankara,all_hours,64.63136291503906,34.759681701660156,0.9470397745932461,0.9914647265315366,0.22278964519500732,227.0293426513672,0.041464726531536655,0.22278964519500732,25.138915348395884,8831,211944
Antalya,all_hours,61.169822692871094,32.73239517211914,0.9544469287595002,0.9920780961008568,0.2281988114118576,233.6367950439453,0.04207809610085689,0.2281988114118576,24.11887073853908,8831,211944
Konya,all_hours,65.17420959472656,35.499210357666016,0.949378062439324,0.9908843845544106,0.22767257690429688,235.63427734375,0.04088438455441068,0.22767257690429688,25.745178412705407,8831,211944
Rize,all_hours,76.53107452392578,39.219783782958984,0.889674275996721,0.975875703015891,0.19519929587841034,191.49050903320312,0.02587570301589104,0.19519929587841034,27.539143672822735,8831,211944
Van,all_hours,65.1636962890625,34.46840286254883,0.9483584845555099,0.9905588268599252,0.22689495980739594,237.0485076904297,0.04055882685992529,0.22689495980739594,25.376968290354206,8831,211944
Aggregate,daylight,92.965576171875,68.56636810302734,0.8913845101090244,0.9770494204676542,0.4181537330150604,436.53155517578125,0.02704942046765424,0.4181537330150604,49.64327310683417,44155,546130
Aggregate_excl_Rize,daylight,89.2113037109375,66.65436553955078,0.9032506202276135,0.9830216867580138,0.4336322844028473,452.5820007324219,0.03302168675801387,0.4336322844028473,48.6743473844855,35324,437087
Ankara,daylight,89.85897064208984,67.19114685058594,0.9006161480110135,0.9835011491736894,0.4311009645462036,438.8521728515625,0.033501149173689404,0.4311009645462036,48.59401585677663,8831,109644
Antalya,daylight,85.50607299804688,63.95834732055664,0.9108263697269763,0.984520780322307,0.44682052731513977,456.52099609375,0.0345207803223071,0.44682052731513977,47.12772375086593,8831,108468
Konya,daylight,90.6832046508789,68.7259750366211,0.9022645447845117,0.9823522963937301,0.4415174722671509,456.1846618652344,0.03235229639373016,0.4415174722671509,49.84230418998168,8831,109476
Rize,daylight,106.69632720947266,76.23046112060547,0.8122025759734557,0.9531102409141348,0.37971335649490356,372.1950378417969,0.0031102409141348097,0.37971335649490356,53.52710643134124,8831,109043
Van,daylight,90.6590576171875,66.71631622314453,0.8990753922525638,0.9817258605101417,0.4401928186416626,458.826171875,0.0317258605101417,0.4401928186416626,49.11913503621797,8831,109499
