horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,47.713050842285156,27.288368225097656,0.9702580180303053,0.9972596534933756,0.21131563186645508,220.77200317382812,0.047259653493375686,0.21131563186645508,20.38671575150984,44155,44155
2,all_hours,50.16743087768555,28.196529388427734,0.9671194331503741,0.9957196240516363,0.21109022200107574,220.53651428222656,0.04571962405163632,0.21109022200107574,21.034102346233006,44155,44155
3,all_hours,54.04728698730469,29.6512393951416,0.9618369275365036,0.9930245725285924,0.21207590401172638,221.56629943847656,0.043024572528592486,0.21207590401172638,22.10004924091901,44155,44155
4,all_hours,57.85919952392578,31.2471923828125,0.9562638635434574,0.9914618955950628,0.21384014189243317,223.40948486328125,0.04146189559506286,0.21384014189243317,23.201319529866122,44155,44155
5,all_hours,61.55996322631836,32.91709899902344,0.9504900780894275,0.9903748159891292,0.21544253826141357,225.08358764648438,0.04037481598912929,0.21544253826141357,24.191883719411727,44155,44155
6,all_hours,63.92400360107422,33.89163589477539,0.9466158571625751,0.9894236213339372,0.21665535867214203,226.35069274902344,0.039423621333937287,0.21665535867214203,24.78365693898273,44155,44155
7,all_hours,65.30477142333984,34.394065856933594,0.9442862228290162,0.9892650888914053,0.21849282085895538,228.27037048339844,0.03926508889140534,0.21849282085895538,25.199199325801356,44155,44155
8,all_hours,66.34202575683594,34.8123779296875,0.9424989189285016,0.9893556788585665,0.21893534064292908,228.73269653320312,0.0393556788585665,0.21893534064292908,25.466412095152734,44155,44155
9,all_hours,66.34361267089844,34.60792541503906,0.9424870169161703,0.9893330313667761,0.2202509343624115,230.10716247558594,0.03933303136677613,0.2202509343624115,25.54461713585768,44155,44155
10,all_hours,66.42214965820312,34.44595718383789,0.9423407567858149,0.9891065564488732,0.22087936103343964,230.7637176513672,0.039106556448873286,0.22087936103343964,25.620672511993103,44155,44155
