horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,44.87694549560547,25.097225189208984,0.9731857375046123,0.9975087759030687,0.21461336314678192,224.21731567382812,0.04750877590306879,0.21461336314678192,19.931489644701834,35324,35324
2,all_hours,48.4271240234375,26.634756088256836,0.9687754201497095,0.9958668327482731,0.2136407196521759,223.20114135742188,0.04586683274827319,0.2136407196521759,20.775987978952735,35324,35324
3,all_hours,53.51926040649414,28.917383193969727,0.9618636189774978,0.9936303929339826,0.21295411884784698,222.4838104248047,0.04363039293398263,0.21295411884784698,22.014568204902247,35324,35324
4,all_hours,57.74498748779297,30.733736038208008,0.9556035846012352,0.991195787566527,0.21460549533367157,224.20909118652344,0.04119578756652709,0.21460549533367157,23.18174079553064,35324,35324
5,all_hours,61.569183349609375,32.56621551513672,0.9495285173160308,0.9903181972596535,0.2153640240430832,225.00155639648438,0.040318197259653576,0.2153640240430832,24.252692393222382,35324,35324
6,all_hours,64.70610046386719,34.25049591064453,0.9442559051611279,0.9894689163175179,0.21598324179649353,225.64849853515625,0.03946891631751792,0.21598324179649353,25.165674968897946,35324,35324
7,all_hours,66.52871704101562,35.04270553588867,0.9410729802275984,0.9885913260106444,0.21780605614185333,227.55287170410156,0.03859132601064441,0.21780605614185333,25.698887058285283,35324,35324
8,all_hours,67.72420501708984,35.675262451171875,0.9389327437302794,0.988081757445363,0.21742746233940125,227.1573486328125,0.03808175744536302,0.21742746233940125,26.067709873341915,35324,35324
9,all_hours,68.65418243408203,36.21291732788086,0.9372333978630202,0.987289095232703,0.2164469063282013,226.13290405273438,0.03728909523270307,0.2164469063282013,26.34982348688868,35324,35324
10,all_hours,69.18048095703125,36.47208023071289,0.9362546558784955,0.9868361453968973,0.21644172072410583,226.1274871826172,0.03683614539689739,0.21644172072410583,26.48326013981767,35324,35324
11,all_hours,69.26324462890625,36.4741325378418,0.9360810347651121,0.9868078360321595,0.21749365329742432,227.22650146484375,0.036807836032159535,0.21749365329742432,26.560079667144088,35324,35324
12,all_hours,69.21002197265625,36.46171188354492,0.936159755431595,0.9869210734911109,0.21810027956962585,227.86026000976562,0.036921073491110956,0.21810027956962585,26.588528096449593,35324,35324
13,all_hours,69.81007385253906,37.033355712890625,0.9350320648357006,0.987090929679538,0.2175830602645874,227.3199005126953,0.03709092967953809,0.2175830602645874,26.71484120765852,35324,35324
14,all_hours,70.13878631591797,37.174400329589844,0.9344118054577806,0.9869210734911109,0.21726073324680328,226.983154296875,0.036921073491110956,0.21726073324680328,26.715184117083712,35324,35324
15,all_hours,70.6360092163086,37.62512969970703,0.9334795430326717,0.9863548861963538,0.21638114750385284,226.064208984375,0.03635488619635385,0.21638114750385284,26.91856905750272,35324,35324
16,all_hours,70.94520568847656,37.80910110473633,0.9328972643845513,0.9864964330200431,0.2166396975517273,226.33432006835938,0.03649643302004313,0.2166396975517273,27.12475271632038,35324,35324
17,all_hours,70.92499542236328,37.62181091308594,0.9329344044516741,0.9862982674668781,0.21802714467048645,227.7838592529297,0.03629826746687814,0.21802714467048645,27.181263303737715,35324,35324
18,all_hours,71.0682373046875,37.625057220458984,0.9326616015496242,0.9858453176310723,0.21865327656269073,228.43800354003906,0.03584531763107235,0.21865327656269073,27.211119408292042,35324,35324
19,all_hours,70.80057525634766,37.22953414916992,0.9331677555350532,0.9859302457252859,0.21957606077194214,229.40208435058594,0.035930245725285914,0.21957606077194214,27.10683056914715,35324,35324
20,all_hours,70.91191101074219,37.188758850097656,0.9329573880698022,0.9851092741478881,0.21933305263519287,229.14820861816406,0.035109274147888114,0.21933305263519287,27.09284233835024,35324,35324
21,all_hours,70.98857879638672,36.96330261230469,0.932812348984143,0.9845713962178688,0.21933355927467346,229.14874267578125,0.034571396217868866,0.21933355927467346,27.07836745972177,35324,35324
22,all_hours,71.63324737548828,37.219058990478516,0.9315865103271348,0.9823349564035783,0.21741366386413574,227.14292907714844,0.03233495640357831,0.21741366386413574,27.279183305287145,35324,35324
23,all_hours,72.6448745727539,37.444435119628906,0.9296405438617117,0.9792209262824142,0.21579481661319733,225.45162963867188,0.02922092628241424,0.21579481661319733,27.590722883514868,35324,35324
24,all_hours,74.23271942138672,37.627445220947266,0.9265311544406686,0.9755123995017552,0.2142525315284729,223.84033203125,0.025512399501755212,0.2142525315284729,28.031620511796493,35324,35324
1,daylight,62.455345153808594,48.609188079833984,0.9505104028315474,0.9951749095295537,0.4159892797470093,434.2720031738281,0.04517490952955372,0.4159892797470093,38.60401031963196,18238,18238
2,daylight,67.39613342285156,51.58713150024414,0.9423705246858507,0.9919947362649413,0.41410401463508606,432.3038635253906,0.041994736264941324,0.41410401463508606,40.23966440226596,18238,18238
3,daylight,74.48287200927734,56.008209228515625,0.9296137965908664,0.9876631209562452,0.41277310252189636,430.9144592285156,0.037663120956245244,0.41277310252189636,42.63859015626532,18238,18238
4,daylight,80.36383056640625,59.526180267333984,0.918059998324172,0.9829476916328544,0.4159740209579468,434.2560729980469,0.03294769163285449,0.4159740209579468,44.89921109010441,18238,18238
5,daylight,85.68596649169922,63.07539367675781,0.9068475835591666,0.9812479438534927,0.41744425892829895,435.7909240722656,0.03124794385349272,0.41744425892829895,46.97346781983701,18238,18238
6,daylight,90.06150817871094,66.35211944580078,0.8970844274869972,0.9795985521553142,0.41873636841773987,437.1398010253906,0.02959855215531426,0.41873636841773987,48.7524570912225,18234,18234
7,daylight,92.59832000732422,67.88682556152344,0.891227754148434,0.9778984315015904,0.422270268201828,440.82904052734375,0.027898431501590437,0.422270268201828,49.78542757743058,18234,18234
8,daylight,94.26226806640625,69.11226654052734,0.8872986430081642,0.976911264670396,0.42153632640838623,440.0628356933594,0.026911264670396062,0.42153632640838623,50.499933287590764,18234,18234
9,daylight,95.55665588378906,70.15384674072266,0.8841795181928443,0.9753756718218712,0.4196352958679199,438.0782470703125,0.025375671821871282,0.4196352958679199,51.0464607245177,18234,18234
10,daylight,96.28919219970703,70.65589904785156,0.8823825527061856,0.9744981901941429,0.4196252226829529,438.0677185058594,0.0244981901941429,0.4196252226829529,51.304962223259814,18234,18234
11,daylight,96.40438842773438,70.6598892211914,0.8820662732121055,0.9744433475924098,0.42166468501091003,440.19683837890625,0.024443347592409848,0.42166468501091003,51.453781625655246,18234,18234
12,daylight,96.33031463623047,70.63581085205078,0.8822164857311414,0.9746627179993419,0.42284077405929565,441.4245910644531,0.024662717999341943,0.42284077405929565,51.50889363162145,18234,18234
13,daylight,97.16549682617188,71.74324035644531,0.8801439647327818,0.9749917736097401,0.4218379855155945,440.37774658203125,0.024991773609740142,0.4218379855155945,51.75359497747777,18234,18234
