group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,66.93630981445312,35.12916564941406,0.9402999264424051,0.9872584267542369,0.2167135626077652,226.4114990234375,0.03725842675423696,0.2167135626077652,25.796489132772816,35324,847776
Aggregate_excl_Rize,all_hours,64.03535461425781,34.07646560668945,0.9498023626289078,0.9908843845544106,0.22713540494441986,237.29971313476562,0.04088438455441068,0.22713540494441986,25.36710727197932,26493,635832
Ankara,all_hours,63.85289764404297,34.08367919921875,0.9483078738083475,0.9922762616540218,0.22633975744247437,230.64700317382812,0.042276261654021874,0.22633975744247437,25.117601890994028,8831,211944
Konya,all_hours,64.47134399414062,34.737098693847656,0.9504640181696695,0.9887706186539841,0.2306472510099411,238.71298217773438,0.038770618653984124,0.2306472510099411,25.785464120503214,8831,211944
Rize,all_hours,74.9686508178711,38.28726577758789,0.8941330105159601,0.9763805533537161,0.1974993348121643,193.74684143066406,0.02638055335371614,0.1974993348121643,27.08463471515334,8831,211944
Van,all_hours,63.77956771850586,33.40862274169922,0.9505290022025502,0.9916062733552259,0.23215045034885406,242.5391845703125,0.04160627335522593,0.23215045034885406,25.198255804440706,8831,211944
Aggregate,daylight,93.16073608398438,68.04718017578125,0.8898505060985716,0.9753188533617266,0.4201081395149231,438.5718688964844,0.02531885336172668,0.4201081395149231,49.96925566081956,35324,437662
Aggregate_excl_Rize,daylight,89.07271575927734,65.93321990966797,0.9036480826502397,0.9823625535955012,0.43991753458976746,459.14190673828125,0.03236255359550122,0.43991753458976746,49.08181983073758,26493,328619
Ankara,daylight,88.77664947509766,65.88441467285156,0.9029958317025584,0.9850698624639743,0.43797045946121216,445.8451843261719,0.035069862463974366,0.43797045946121216,48.55281652607383,8831,109644
Konya,daylight,89.70524597167969,67.25054168701172,0.9043611926562367,0.9782600752676386,0.4472861588001251,462.1449890136719,0.02826007526763863,0.4472861588001251,49.92029675505072,8831,109476
Rize,daylight,104.51805877685547,74.4179458618164,0.8197922733418269,0.9540915051860275,0.3841875493526459,376.58062744140625,0.004091505186027522,0.3841875493526459,52.64368937087625,8831,109043
Van,daylight,88.73338317871094,64.6650390625,0.9033173018915615,0.9837532762856281,0.4503888785839081,469.4538269042969,0.033753276285628186,0.4503888785839081,48.773222844193846,8831,109499
