group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,69.33414459228516,36.83074951171875,0.9359460787090719,0.9709581304495527,0.20195496082305908,210.99244689941406,0.020958130449552748,0.20195496082305908,26.849211949660923,35324,847776
Aggregate_excl_Rize,all_hours,66.99021911621094,36.03861999511719,0.9450628192101312,0.9774610274412109,0.21379369497299194,223.3609619140625,0.027461027441210928,0.21379369497299194,26.488381812613504,26493,635832
Ankara,all_hours,66.42449188232422,35.99365234375,0.9440603623333121,0.9776686294492885,0.2111322581768036,215.15011596679688,0.027668629449288495,0.2111322581768036,26.10893059361785,8831,211944
Konya,all_hours,67.79692077636719,37.19052505493164,0.9452218718667289,0.9761918242554637,0.21598084270954132,223.53369140625,0.026191824255463736,0.21598084270954132,26.916370976361474,8831,211944
Rize,all_hours,75.93306732177734,39.207130432128906,0.8913916797881818,0.9514494394745782,0.17725475132465363,173.8869171142578,0.0014494394745782069,0.17725475132465363,27.93170236080319,8831,211944
Van,all_hours,66.74153137207031,34.93168258666992,0.9458273810667179,0.9785226286188805,0.22148752212524414,231.3990936279297,0.028522628618880552,0.22148752212524414,26.439843867861192,8831,211944
Aggregate,daylight,96.49800872802734,71.3432388305664,0.88181744858671,0.943744259268568,0.39149796962738037,408.70428466796875,0.00625574073143198,0.926765867820725,52.008439183286974,35324,437662
Aggregate_excl_Rize,daylight,93.18289947509766,69.7297134399414,0.8945507601530549,0.9563902269801807,0.41407716274261475,432.17230224609375,0.006390226980180769,0.41407716274261475,51.25132991299246,26493,328619
Ankara,daylight,92.35201263427734,69.5764389038086,0.8950250564931576,0.9568330232388457,0.40854373574256897,415.8893737792969,0.006833023238845715,0.40854373574256897,50.469074329044375,8831,109644
Konya,daylight,94.33244323730469,72.00033569335938,0.8942402138886818,0.9539077057985312,0.418844074010849,432.758056640625,0.00390770579853128,0.418844074010849,52.109716560834855,8831,109476
Rize,daylight,105.86261749267578,76.20586395263672,0.8151259559101256,0.9056335574039599,0.3448065519332886,337.9794006347656,0.04436644259604006,3.514232211591477,54.2901123883062,8831,109043
Van,daylight,92.85421752929688,67.61304473876953,0.8941287785721602,0.9584288440990328,0.4297020137310028,447.89129638671875,0.008428844099032884,0.4297020137310028,51.17641502415522,8831,109499
