horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,57.625389099121094,33.86054992675781,0.9501208093412937,0.9490997622013362,0.16097472608089447,164.0380859375,0.0009002377986637722,0.32936077638967015,23.553195877315876,17662,17662
2,all_hours,59.770591735839844,34.45380783081055,0.9463380086708898,0.9398709092967954,0.16129170358181,164.361083984375,0.010129090703204557,0.42893874002284793,24.436423336921827,17662,17662
3,all_hours,62.87865447998047,35.3464241027832,0.9406120727117394,0.9282640697542747,0.1622380167245865,165.32540893554688,0.021735930245725288,0.6432350047975861,25.590042079011546,17662,17662
4,all_hours,66.4796371459961,36.70064163208008,0.9336151593971722,0.9186388857434039,0.16139201819896698,164.46331787109375,0.031361114256596045,0.9356398464706158,26.773470055377175,17662,17662
5,all_hours,69.12533569335938,37.93418884277344,0.9282261569165348,0.9154116181632884,0.16267026960849762,165.76588439941406,0.034588381836711535,1.0797040944663792,27.848160900311818,17662,17662
6,all_hours,71.20887756347656,39.12922668457031,0.9238358424003699,0.9154116181632884,0.16290481388568878,166.00489807128906,0.034588381836711535,1.0812608535289074,28.579077637942508,17662,17662
7,all_hours,72.55076599121094,39.850040435791016,0.9209403031349995,0.9103725512399502,0.16282770037651062,165.9263153076172,0.039627448760049755,1.3437665387173956,29.0636492480669,17662,17662
8,all_hours,73.59207916259766,40.4890022277832,0.9186512262702242,0.9046540595629035,0.162927508354187,166.0280303955078,0.0453459404370965,1.7357112147366902,29.58743400528035,17662,17662
9,all_hours,74.7309341430664,41.29786682128906,0.9161029899767403,0.8996716113690408,0.1648816615343094,168.0193634033203,0.05032838863095912,2.2068049789080386,30.16666256223404,17662,17662
10,all_hours,75.02528381347656,41.280799865722656,0.9154215114287799,0.9015400294417393,0.16751718521118164,170.70504760742188,0.04845997055826068,2.0570492113766887,30.297752906635264,17662,17662
11,all_hours,74.75361633300781,40.79560470581055,0.9160039047777757,0.9051636281281848,0.16816431283950806,171.36448669433594,0.044836371871815106,1.7506627202281,30.106778265007186,17662,17662
12,all_hours,74.59205627441406,40.36634063720703,0.9163381477062007,0.9051636281281848,0.16810907423496246,171.30819702148438,0.044836371871815106,1.7500876626307864,29.900740601390783,17662,17662
13,all_hours,74.64054107666016,40.23323440551758,0.916203153152618,0.9079945646019704,0.16739985346794128,170.58547973632812,0.04200543539802959,1.5347870644214128,29.8239466039462,17662,17662
14,all_hours,74.88202667236328,40.28562545776367,0.9156491510387225,0.9024459291133506,0.1652236431837082,168.36785888671875,0.04755407088664931,1.9463540713634155,30.02539637376119,17662,17662
15,all_hours,75.46338653564453,40.9124870300293,0.914333733840762,0.8932170762088099,0.16283880174160004,165.9376220703125,0.0567829237911901,2.9475709040446527,30.350634685279644,17662,17662
16,all_hours,76.38978576660156,41.90120315551758,0.9122185496184902,0.8932170762088099,0.16315771639347076,166.2626190185547,0.0567829237911901,2.953343628596012,30.7925472757983,17662,17662
17,all_hours,77.11264038085938,42.63806915283203,0.9105479682635499,0.9002377986637979,0.16340228915214539,166.5118408203125,0.04976220133620202,2.1305211787125184,30.998060282091092,17662,17662
18,all_hours,77.37313842773438,42.79741287231445,0.9099407636860146,0.9001811799343222,0.16223075985908508,165.31800842285156,0.04981882006567773,2.120782886867776,31.01729178089198,17662,17662
19,all_hours,78.31389617919922,43.75017547607422,0.907737219619456,0.895142113010984,0.15960131585597992,162.63853454589844,0.05485788698901595,2.6385089676592743,31.42790278185733,17662,17662
20,all_hours,79.37295532226562,44.6898307800293,0.9052249567557721,0.8914052768655871,0.1591099351644516,162.13780212402344,0.05859472313441283,3.1380759254210084,31.835397067901038,17662,17662
21,all_hours,80.81318664550781,45.765411376953125,0.9017543432650041,0.8863095912127732,0.15779583156108856,160.79869079589844,0.06369040878722676,3.9694648373444346,32.42099186928739,17662,17662
22,all_hours,82.33442687988281,46.64875030517578,0.8980207565113794,0.8818933303136678,0.15663745999336243,159.61827087402344,0.06810666968633217,4.8752375684565195,33.05914695481241,17662,17662
23,all_hours,83.58634948730469,47.12973403930664,0.8948959109689649,0.8861963537538218,0.1556265503168106,158.588134765625,0.06380364624617818,3.9362399154316794,33.445206351165034,17662,17662
24,all_hours,85.13024139404297,47.63817596435547,0.8909773842199374,0.8817800928547164,0.15354423224925995,156.4661865234375,0.06821990714528359,4.805225707312019,34.136646669045376,17662,17662
1,daylight,80.2237777709961,65.62548828125,0.9117378698037643,0.9013497201799627,0.3122318983078003,317.92388916015625,0.04865027982003722,3.8677645635868223,45.64869368870328,9113,9113
2,daylight,83.21025085449219,66.77527618408203,0.9050441355857789,0.883463184461758,0.31284672021865845,318.5499267578125,0.06653681553824198,9.025695930089398,47.360486006442805,9113,9113
3,daylight,87.53717041015625,68.5052719116211,0.894911988322607,0.8609678481290464,0.3146822154521942,320.41888427734375,0.08903215187095359,27.30331054578504,49.5963264786022,9113,9113
4,daylight,92.5503158569336,71.12989807128906,0.8825308236367622,0.8423131789750905,0.31304123997688293,318.74798583984375,0.10768682102490945,68.54552215596311,51.889940537481806,9113,9113
5,daylight,96.23355102539062,73.52064514160156,0.8729948862590204,0.836058378141117,0.31552064418792725,321.2726135253906,0.1139416218588829,94.33950731293056,53.97281003196612,9113,9113
6,daylight,99.14505767822266,75.85340881347656,0.8651873236289828,0.8360223905169575,0.31604498624801636,321.8064880371094,0.11397760948304247,94.66590236257952,55.40156615534415,9111,9111
7,daylight,101.01338195800781,77.250732421875,0.8600836137591424,0.8262539787070574,0.31589531898498535,321.65411376953125,0.12374602129294254,154.00882909176605,56.34092558658298,9111,9111
8,daylight,102.46321105957031,78.48937225341797,0.8560583408095032,0.8151684776643617,0.3160889744758606,321.8512878417969,0.13483152233563822,268.01009952850035,57.35630110868858,9111,9111
9,daylight,104.04886627197266,80.0573959350586,0.8515751450471469,0.8055098232905279,0.3198801279067993,325.7115478515625,0.14449017670947206,439.40789472594474,58.479156423463685,9111,9111
10,daylight,104.45869445800781,80.0243148803711,0.8503904829856784,0.8091318186807156,0.32499316334724426,330.9178161621094,0.14086818131928436,372.5348897310557,58.73327975381318,9111,9111
11,daylight,104.08043670654297,79.083740234375,0.8514354116409403,0.8161562945889584,0.3262486755847931,332.1961975097656,0.1338437054110415,263.30938000487555,58.363068567287556,9111,9111
12,daylight,103.85549926757812,78.25159454345703,0.8520387665453589,0.8161562945889584,0.3261415660381317,332.0871276855469,0.1338437054110415,263.2229338353288,57.96365717284206,9111,9111
13,daylight,103.92300415039062,77.99356079101562,0.8518142614431147,0.8216441663922731,0.3247655928134918,330.68609619140625,0.12835583360772684,199.2919822275632,57.814789256821186,9111,9111
14,daylight,104.25923156738281,78.09512329101562,0.8508485280116884,0.8108879376577763,0.3205436170101166,326.38714599609375,0.13911206234222362,336.5743314372406,58.2053068547218,9111,9111
15,daylight,105.06866455078125,79.31031799316406,0.848526214187287,0.7929974755789705,0.31591683626174927,321.676025390625,0.15700252442102947,810.9769009233585,58.835792976776325,9111,9111
16,daylight,106.35850524902344,81.22698211669922,0.8447805138198494,0.7929974755789705,0.3165355920791626,322.3060607910156,0.15700252442102947,812.5652831101768,59.692456369789234,9111,9111
17,daylight,107.36493682861328,82.65542602539062,0.8418135955054096,0.8066073976511908,0.3170100450515747,322.7891540527344,0.14339260234880913,412.22841911279664,60.09085069721138,9111,9111
