horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,46.45991897583008,24.99622344970703,0.9675773493207811,0.9885063979164308,0.19123709201812744,194.8763427734375,0.038506397916430846,0.19123709201812744,19.749896109668285,17662,17662
2,all_hours,50.91557693481445,27.107515335083008,0.9610602621034063,0.9850526554184124,0.1884979009628296,192.08502197265625,0.035052655418412404,0.1884979009628296,20.856255292563517,17662,17662
3,all_hours,56.78466796875,29.668615341186523,0.9515656099296893,0.9749179028422602,0.18854358792304993,192.13157653808594,0.024917902842260253,0.18854358792304993,22.62313224659856,17662,17662
4,all_hours,62.51982879638672,32.497154235839844,0.9412879528329942,0.9674442305514664,0.18822462856769562,191.80654907226562,0.01744423055146649,0.18822462856769562,24.382552966306854,17662,17662
5,all_hours,66.53341674804688,33.83650207519531,0.933507706573368,0.9619522137923225,0.18998584151268005,193.6012725830078,0.011952213792322586,0.18998584151268005,25.483677004622084,17662,17662
6,all_hours,70.47098541259766,35.62112808227539,0.9254061541406723,0.9607066017438569,0.18894749879837036,192.54318237304688,0.010706601743856958,0.18894749879837036,26.643496738000998,17662,17662
7,all_hours,73.45015716552734,37.06700134277344,0.9189679953642579,0.95657343449213,0.18854182958602905,192.12979125976562,0.0065734344921299925,0.18854182958602905,27.61260006921489,17662,17662
8,all_hours,75.65872192382812,38.350181579589844,0.914018130724653,0.9511380364624618,0.1856691539287567,189.2024383544922,0.0011380364624618,0.1856691539287567,28.418423351626824,17662,17662
9,all_hours,76.15995025634766,38.33258056640625,0.912863748581472,0.9527233608877816,0.18534258008003235,188.86965942382812,0.0027233608877816895,0.18534258008003235,28.586699043912706,17662,17662
10,all_hours,76.9884033203125,38.674102783203125,0.9109374352800005,0.9447967387611822,0.18445298075675964,187.96311950683594,0.005203261238817758,0.42371461236069885,28.954153602669944,17662,17662
11,all_hours,77.37079620361328,38.85711669921875,0.9100194081567,0.9466651568338806,0.18644072115421295,189.9886932373047,0.0033348431661193167,0.4067110364114674,29.25037724229494,17662,17662
12,all_hours,78.11398315429688,39.45704650878906,0.9082513157224631,0.9480806250707734,0.18727801740169525,190.8419189453125,0.0019193749292265583,0.3934195497904001,29.51706455177946,17662,17662
