horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,61.14531707763672,35.12602615356445,0.9438411639819784,0.8742498018344468,0.12166626751422882,123.98158264160156,0.07575019816555317,5.492786055986955,25.692269953210687,17662,17662
2,all_hours,63.61369705200195,36.09260177612305,0.9392154787073481,0.8666628920847016,0.12202872335910797,124.35093688964844,0.08333710791529836,7.99437833785847,26.74734720505657,17662,17662
3,all_hours,66.71260070800781,37.24995803833008,0.933149072119901,0.8576605140980637,0.12326666712760925,125.61243438720703,0.0923394859019363,12.596300868083306,27.986322048663176,17662,17662
4,all_hours,69.9793472290039,38.56206512451172,0.9264417362161572,0.849960366889367,0.12298090010881424,125.32122802734375,0.10003963311063291,18.411169800461412,29.10774320577093,17662,17662
5,all_hours,72.39415740966797,39.85485076904297,0.9212775254018979,0.844864681236553,0.1241382285952568,126.50057983398438,0.10513531876344695,23.941298737884928,30.23278423927902,17662,17662
6,all_hours,74.2037124633789,40.754295349121094,0.917294646015676,0.8385233835352734,0.12424448877573013,126.6088638305664,0.11147661646472651,32.855382327869684,30.86402250294979,17662,17662
7,all_hours,75.46363067626953,41.48627853393555,0.9144644761906331,0.8326916543992753,0.12413740903139114,126.49974822998047,0.11730834560072467,43.89862140577489,31.354468451174373,17662,17662
8,all_hours,76.27632904052734,41.99789047241211,0.9126086446654642,0.8287849620654513,0.12398161739110947,126.34098815917969,0.12121503793454869,53.27460989273577,31.7998641528809,17662,17662
9,all_hours,77.22862243652344,42.53499221801758,0.9104011975706595,0.8277092062054128,0.1251744031906128,127.55648040771484,0.12229079379458718,56.75254236005927,32.25439731172319,17662,17662
10,all_hours,77.68553161621094,42.749237060546875,0.9093172127707809,0.8294643868191598,0.1271047741174698,129.52357482910156,0.12053561318084016,52.79663527342787,32.44558204326121,17662,17662
11,all_hours,77.42483520507812,42.38216018676758,0.9098936811817576,0.8315592798097611,0.1278773993253708,130.3109130859375,0.11844072019023888,47.847978587240355,32.240903931123164,17662,17662
12,all_hours,77.4872055053711,42.12495422363281,0.9097177659993508,0.8360887781678179,0.1280059665441513,130.44192504882812,0.11391122183218205,38.2153743658724,32.11562641911754,17662,17662
13,all_hours,77.52155303955078,41.99197769165039,0.9096094558042741,0.8381270524289435,0.1273384541273117,129.76170349121094,0.11187294757105648,34.34495565805108,32.07966238308366,17662,17662
14,all_hours,77.8277816772461,42.18437957763672,0.9088821261779363,0.829237911901257,0.12534046173095703,127.72569274902344,0.120762088098743,52.65525744372769,32.29800750469638,17662,17662
15,all_hours,78.39334869384766,42.65555191040039,0.9075523848513433,0.8232929453063074,0.12327675521373749,125.62271881103516,0.1267070546936926,69.67212275911719,32.60206816617798,17662,17662
16,all_hours,79.47431182861328,43.67192840576172,0.9049864141617326,0.8218774770694146,0.12357170879840851,125.92327880859375,0.12812252293058535,74.95159764922008,33.16264174073229,17662,17662
17,all_hours,80.22532653808594,44.296939849853516,0.9031806827318122,0.8255576944853358,0.12385964393615723,126.2166976928711,0.12444230551466418,62.52034925304085,33.38957671176157,17662,17662
18,all_hours,80.32455444335938,44.3367805480957,0.9029390832803401,0.8234061827652588,0.12309248745441437,125.43494415283203,0.12659381723474117,69.17590331036993,33.31081596379438,17662,17662
19,all_hours,80.99300384521484,44.94486618041992,0.9013166338281562,0.819046540595629,0.12116166949272156,123.46737670898438,0.13095345940437098,84.64583269431857,33.688361755173226,17662,17662
20,all_hours,81.89544677734375,45.70704650878906,0.8991052919382208,0.8140640924017665,0.12107710540294647,123.3812026977539,0.13593590759823349,108.48201562589885,34.02171114770165,17662,17662
21,all_hours,83.46990966796875,46.766845703125,0.895188548952884,0.8074963197825841,0.12013426423072815,122.42042541503906,0.14250368021741588,149.43223003210915,34.69709838390553,17662,17662
22,all_hours,84.91226196289062,47.74366760253906,0.8915349841905864,0.8034197712603329,0.11899807304143906,121.26261138916016,0.14658022873966703,181.45713677884794,35.404942150051035,17662,17662
23,all_hours,85.94437408447266,47.920413970947266,0.8888821612129878,0.805741139168837,0.11791674047708511,120.16069793701172,0.1442588608311629,160.11675411836544,35.60885666239655,17662,17662
24,all_hours,87.2032241821289,48.36910629272461,0.8856031823318904,0.8017212093760616,0.11604385077953339,118.25216674804688,0.14827879062393834,192.6268707636767,36.23423778566941,17662,17662
1,daylight,85.12409210205078,68.07810974121094,0.9006259237402743,0.7562822341709645,0.23598794639110565,240.29002380371094,0.19371776582903544,3797.0354408102135,49.79445538391387,9113,9113
2,daylight,88.56047058105469,69.95144653320312,0.8924406899671404,0.7415779655437288,0.236690953373909,241.00584411621094,0.20842203445627117,7943.676929553023,51.839311569813354,9113,9113
3,daylight,92.8746337890625,72.19452667236328,0.8817060737680081,0.7241303632173818,0.23909209668636322,243.4507598876953,0.22586963678261818,19198.50774532982,54.240581589321735,9113,9113
4,daylight,97.42247772216797,74.737548828125,0.8698373215491348,0.7092066278942171,0.23853778839111328,242.88633728027344,0.2407933721057829,40394.42143851574,56.4140195874384,9113,9113
5,daylight,100.7842788696289,77.24310302734375,0.8606991570915806,0.6993306265774168,0.24078264832496643,245.172119140625,0.2506693734225831,66810.24048966575,58.5944733056234,9113,9113
6,daylight,103.31480407714844,79.003662109375,0.853609224177998,0.6869717923389309,0.2410416156053543,245.43582153320312,0.26302820766106905,124073.15673057298,59.831013658994536,9111,9111
7,daylight,105.06900024414062,80.42263793945312,0.8486229790754032,0.6756667764241028,0.2408338487148285,245.22425842285156,0.2743332235758972,218166.6010763303,60.78176070515221,9111,9111
8,daylight,106.20053100585938,81.41441345214844,0.8453663637568145,0.6680935133355285,0.24053163826465607,244.91653442382812,0.2819064866644715,318195.5605712084,61.64517623402287,9111,9111
9,daylight,107.52642822265625,82.45561218261719,0.8414879236955255,0.6660081220502689,0.24284571409225464,247.27279663085938,0.283991877949731,356562.7855360211,62.52630505099934,9111,9111
10,daylight,108.16258239746094,82.87092590332031,0.8395926880692397,0.669410602568324,0.2465907782316208,251.0861358642578,0.280589397431676,305420.7442642416,62.896923504344144,9111,9111
11,daylight,107.79960632324219,82.1593246459961,0.8406282086284357,0.6734716277027769,0.24808968603610992,252.61236572265625,0.27652837229722305,250810.92391245704,62.50014764916006,9111,9111
12,daylight,107.88644409179688,81.66072845458984,0.8403302062346681,0.6822522225880804,0.24833911657333374,252.86634826660156,0.2677477774119196,161850.8228937985,62.25729270271695,9111,9111
13,daylight,107.93427276611328,81.4029541015625,0.8401540146898628,0.6862034902864669,0.24704408645629883,251.54771423339844,0.2637965097135331,132142.85941017346,62.18757513006515,9111,9111
14,daylight,108.36064147949219,81.77592468261719,0.8388828900673554,0.6689715728240588,0.24316789209842682,247.60084533691406,0.2810284271759411,307865.71863152436,62.61084497288413,9111,9111
15,daylight,109.1480941772461,82.68931579589844,0.8365355362880648,0.657447042037098,0.23916417360305786,243.52413940429688,0.2925529579629019,538769.5988008846,63.20027746142417,9111,9111
16,daylight,110.65312194824219,84.65959930419922,0.8319922955265274,0.6547031061354407,0.2397363930940628,244.10679626464844,0.29529689386455926,619476.3224099595,64.28696942430182,9111,9111
17,daylight,111.69876861572266,85.87120819091797,0.8287853345869299,0.6618373394797498,0.24029499292373657,244.6755828857422,0.2881626605202502,434627.92779557814,64.72689099803897,9111,9111
18,daylight,111.8307876586914,85.93902587890625,0.8283783056750735,0.6577041264266901,0.23878046870231628,243.13345336914062,0.2922958735733099,531035.1204022686,64.56712374369364,9112,9112
19,daylight,112.75525665283203,87.10811614990234,0.8255388076085405,0.6492922199056294,0.23500916361808777,239.29339599609375,0.3007077800943706,795923.6383517211,65.29176399866887,9113,9113
20,daylight,114.01158905029297,88.5853042602539,0.8216294016177528,0.639635685284758,0.23484517633914948,239.1264190673828,0.31036431471524195,1289012.670911777,65.93783192041113,9113,9113
21,daylight,116.2034912109375,90.6393051147461,0.814705036570022,0.6269066169208822,0.23301640152931213,237.26429748535156,0.3230933830791177,2416964.121387161,67.24680694135185,9113,9113
22,daylight,118.21147918701172,92.5324935913086,0.8082459412874401,0.6190058158674421,0.23081256449222565,235.02029418945312,0.3309941841325579,3553913.5568310693,68.61868630025253,9113,9113
23,daylight,119.64834594726562,92.87506103515625,0.8035560459400378,0.6235048831339844,0.2287152111530304,232.88470458984375,0.3264951168660155,2812201.6949364706,69.0138951356576,9113,9113
24,daylight,121.40086364746094,93.74466705322266,0.7977591767450156,0.6157138154285087,0.22508248686790466,229.1857452392578,0.3342861845714913,4085770.7558600483,70.22595278947581,9113,9113
