horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,50.09373474121094,27.39458656311035,0.9632771350450282,0.9881100668101008,0.19285881519317627,197.45465087890625,0.03811006681010087,0.19285881519317627,21.11659300259339,17662,17662
2,all_hours,51.180599212646484,27.245361328125,0.9616663303626269,0.9868078360321595,0.19472280144691467,199.36305236816406,0.036807836032159535,0.19472280144691467,21.282337655506804,17662,17662
3,all_hours,54.714717864990234,28.46224021911621,0.9561895191161645,0.9795606386592685,0.19447770714759827,199.11212158203125,0.0295606386592685,0.19447770714759827,22.268226883400388,17662,17662
4,all_hours,58.35130310058594,29.457048416137695,0.95017230131354,0.9754840901370173,0.196832537651062,201.52305603027344,0.025484090137017357,0.196832537651062,23.15484122581212,17662,17662
5,all_hours,61.67113494873047,30.36122703552246,0.9443412311157957,0.973785528252746,0.1987539529800415,203.49026489257812,0.023785528252746047,0.1987539529800415,23.973677629327593,17662,17662
6,all_hours,64.45098114013672,31.381210327148438,0.9392115532367438,0.9723134412863775,0.20027042925357819,205.04287719726562,0.022313441286377578,0.20027042925357819,24.741650589668517,17662,17662
7,all_hours,66.88321685791016,32.45102310180664,0.9345384354846443,0.9686898425999321,0.20147785544395447,206.27908325195312,0.018689842599932116,0.20147785544395447,25.59575134340231,17662,17662
8,all_hours,69.23938751220703,33.16767501831055,0.9298423541377185,0.9700486921073491,0.20541681349277496,210.31190490722656,0.020048692107349164,0.20541681349277496,26.123678134020526,17662,17662
9,all_hours,71.01434326171875,34.43934631347656,0.9261932424874814,0.9647831502661081,0.20554816722869873,210.44638061523438,0.014783150266108103,0.20554816722869873,27.0012398317698,17662,17662
10,all_hours,71.79082489013672,35.065887451171875,0.9245630333417951,0.9632544445702639,0.20464836061000824,209.52513122558594,0.013254444570263924,0.20464836061000824,27.282146241343096,17662,17662
11,all_hours,71.75642395019531,35.30748748779297,0.9246253818150637,0.9631978258407882,0.20081664621829987,205.60211181640625,0.013197825840788213,0.20081664621829987,27.24900253676464,17662,17662
12,all_hours,72.240966796875,36.199119567871094,0.9235931072034202,0.960876457932284,0.19909299910068512,203.83738708496094,0.01087645793228409,0.19909299910068512,27.605443823543894,17662,17662
