horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,62.67438888549805,35.98227310180664,0.9260741287563881,0.8404484203374476,0.11813066154718399,115.88617706298828,0.10955157966255236,28.38286856496101,26.736627566105184,8831,8831
2,all_hours,64.99176788330078,36.72039794921875,0.9205062418891496,0.8433925942701845,0.11775144189596176,115.51416778564453,0.10660740572981542,24.43512328827128,27.46855918342537,8831,8831
3,all_hours,68.96080017089844,37.99935531616211,0.9105004443041985,0.8459970558260672,0.11631811410188675,114.10807037353516,0.10400294417393274,21.204667587995537,28.54101787628613,8831,8831
4,all_hours,73.48543548583984,39.732810974121094,0.898370727898078,0.8335409353414109,0.11553829163312912,113.34306335449219,0.11645906465858902,39.16386237856188,29.87764209879334,8831,8831
5,all_hours,77.29952239990234,41.14655303955078,0.8875473033427281,0.829237911901257,0.11512789130210876,112.94046020507812,0.120762088098743,48.36497864894014,31.138068790911763,8831,8831
6,all_hours,79.70216369628906,42.09455108642578,0.8804489623024983,0.8294643868191598,0.11434908956289291,112.17646026611328,0.12053561318084016,47.49819365495266,31.889733012309772,8831,8831
7,all_hours,81.06570434570312,42.59537124633789,0.8763277680199069,0.8174612161703091,0.11337359249591827,111.21949768066406,0.13253878382969086,85.72939283060344,32.426373668253966,8831,8831
8,all_hours,82.23072814941406,43.234920501708984,0.8727499280455436,0.819839202808289,0.11271040141582489,110.56890106201172,0.13016079719171092,75.68625557233962,33.012908489944685,8831,8831
9,all_hours,82.889404296875,43.974910736083984,0.8706995381880919,0.8148567546144264,0.11177756637334824,109.65379333496094,0.13514324538557354,96.26258525777564,33.44012202979578,8831,8831
10,all_hours,83.64061737060547,44.27693176269531,0.8683256659348897,0.8128184803533008,0.1101837158203125,108.09022521972656,0.1371815196466991,105.0586906616016,33.77989170642674,8831,8831
11,all_hours,84.39970397949219,44.74959945678711,0.8658808968739835,0.8157626542860378,0.11050017923116684,108.40067291259766,0.13423734571396218,90.95317386111964,34.13563123844309,8831,8831
12,all_hours,85.0967788696289,45.35129165649414,0.8635890960054899,0.8111199184690295,0.11166062951087952,109.53907775878906,0.13888008153097042,115.8941078427349,34.485179806537346,8831,8831
13,all_hours,86.19866180419922,46.011199951171875,0.8599533658274098,0.8027403465066244,0.11321905255317688,111.0678939819336,0.14725965349337555,178.6066601633085,35.06769072286433,8831,8831
14,all_hours,87.24195861816406,47.04688262939453,0.8565169624449815,0.7937945872494622,0.11257348209619522,110.43458557128906,0.1562054127505378,277.6960047320053,35.9197954920507,8831,8831
15,all_hours,87.96109008789062,47.73382568359375,0.8541436340171917,0.7884724266787453,0.11253315210342407,110.39501953125,0.16152757332125467,362.1947305471271,36.53119461313081,8831,8831
16,all_hours,87.93682098388672,47.610992431640625,0.8542297022728667,0.7808855169290001,0.11395959556102753,111.79436492919922,0.16911448307099985,535.9417566160787,36.48055294049392,8831,8831
17,all_hours,87.85511016845703,47.749977111816406,0.8544990173982034,0.7814517042237572,0.11421331018209457,112.04325866699219,0.16854829577624275,522.1454109901972,36.44590783934701,8831,8831
18,all_hours,87.84324645996094,47.7888069152832,0.8545340398920982,0.7823576038953686,0.11458005011081696,112.40303039550781,0.16764239610463139,500.62991251085566,36.47579314402931,8831,8831
19,all_hours,88.03245544433594,48.008445739746094,0.8539059314732449,0.7842826406975427,0.11452694982290268,112.35093688964844,0.16571735930245723,454.4895282150239,36.65510232494664,8831,8831
20,all_hours,88.25944519042969,48.43647766113281,0.8531515711362919,0.7826973162722228,0.11571772396564484,113.51908874511719,0.16730268372777712,497.0872368433545,36.71134137873741,8831,8831
21,all_hours,88.44349670410156,48.93209457397461,0.8525384495618353,0.7833767410259314,0.11719655990600586,114.9698257446289,0.1666232589740686,486.62852847830254,36.875304640088366,8831,8831
22,all_hours,88.87711334228516,49.308685302734375,0.8510889707632653,0.7791869550447288,0.11687035858631134,114.64981842041016,0.17081304495527116,598.3390620612282,37.25787397026057,8831,8831
23,all_hours,89.54315948486328,49.481201171875,0.8488487261917175,0.7763560185709433,0.11455155164003372,112.37506866455078,0.17364398142905668,675.6250822764455,37.47863247728661,8831,8831
24,all_hours,90.75572967529297,49.87717819213867,0.8447273115889969,0.7688823462801495,0.11219854652881622,110.0667724609375,0.18111765371985045,961.5188228716476,38.06969295204975,8831,8831
1,daylight,87.37272644042969,69.9294662475586,0.8741096264396568,0.6899207746478874,0.22976742684841156,225.21803283691406,0.2600792253521126,102055.88656570362,51.96108231432106,4544,4544
2,daylight,90.60332489013672,71.36396026611328,0.8646279207002884,0.6956426056338029,0.22902989387512207,224.49510192871094,0.2543573943661971,76417.72664452759,53.38354888838676,4544,4544
3,daylight,96.1364517211914,73.84954071044922,0.8475887762905087,0.7007042253521126,0.22624200582504272,221.76242065429688,0.24929577464788732,58608.94225911142,55.467810049622095,4544,4544
4,daylight,102.44412231445312,77.2184066772461,0.8269327528462198,0.6764964788732394,0.22472521662712097,220.27566528320312,0.2735035211267606,195301.6029456774,58.0654615700801,4544,4544
5,daylight,107.76124572753906,79.96593475341797,0.8085012492663017,0.6681338028169014,0.22392697632312775,219.49322509765625,0.2818661971830986,295633.36617033137,60.51502761719669,4544,4544
6,daylight,111.1229248046875,81.8263168334961,0.7963518379484072,0.6685009905348889,0.22246113419532776,218.05641174316406,0.2814990094651111,288355.2120563044,61.989485413098734,4543,4543
7,daylight,113.02401733398438,82.79985046386719,0.7893540715307498,0.6451683909311028,0.2205633670091629,216.1962127685547,0.30483160906889717,918053.041221512,63.03264491841311,4543,4543
8,daylight,114.64832305908203,84.04306030273438,0.7832930697423013,0.6497908870790227,0.2192731499671936,214.93154907226562,0.3002091129209773,724341.9616250866,64.17279218021164,4543,4543
9,daylight,115.56666564941406,85.48149871826172,0.7798466637951004,0.6401056570548096,0.2174583524465561,213.15267944335938,0.30989434294519036,1165859.8063685426,65.00323963132877,4543,4543
10,daylight,116.61402893066406,86.06858825683594,0.7758522508747232,0.6361435174994498,0.21435758471488953,210.11331176757812,0.3138564825005502,1401024.8691832807,65.6637076071879,4543,4543
11,daylight,117.67237854003906,86.98738861083984,0.7717280940562504,0.6418666079683029,0.21497325599193573,210.71678161621094,0.3081333920316971,1055397.6316784024,66.3552189008785,4543,4543
12,daylight,118.64425659179688,88.15699768066406,0.767851295963633,0.6328417345366498,0.21723084151744843,212.92967224121094,0.31715826546335013,1674656.6176182672,67.0346957674513,4543,4543
13,daylight,120.18052673339844,89.43977355957031,0.7616822482622307,0.6165529385868369,0.22026272118091583,215.90151977539062,0.33344706141316305,3833998.725586844,68.16702108157932,4543,4543
14,daylight,121.63512420654297,91.45301818847656,0.7558499000344978,0.5991635483160906,0.21900679171085358,214.6704559326172,0.3508364516839093,9094406.125661612,69.82340171479193,4543,4543
15,daylight,122.63774871826172,92.78833770751953,0.7518090905830057,0.5888179616993177,0.21892833709716797,214.5935516357422,0.3611820383006823,15250015.826293407,71.01188193452744,4543,4543
16,daylight,122.60391235351562,92.54956817626953,0.7519373283055688,0.5740699977988114,0.2217033952474594,217.3136749267578,0.37593000220118855,32284095.54870833,70.91344112205631,4543,4543
17,daylight,122.48999786376953,92.8197250366211,0.7523688297158496,0.5751705921197446,0.22219698131084442,217.7974853515625,0.3748294078802553,30623535.76527078,70.84609556004257,4543,4543
18,daylight,122.47344970703125,92.89522552490234,0.7524074587944598,0.5769315430332379,0.22291047871112823,218.49685668945312,0.37306845696676205,28132550.01336125,70.90418869797993,4543,4543
19,daylight,122.72373962402344,93.30162048339844,0.7514142786960648,0.5807658450704225,0.22275814414024353,218.3475341796875,0.36923415492957745,23208731.058658253,71.23706175871561,4544,4544
20,daylight,123.04016876220703,94.13347625732422,0.7501307001745302,0.5776848591549296,0.22507420182228088,220.61773681640625,0.37231514084507034,27355602.356423937,71.34635909234817,4544,4544
21,daylight,123.29676818847656,95.0966796875,0.7490874458496266,0.5790052816901409,0.2279505729675293,223.43714904785156,0.3709947183098591,25935142.63654916,71.66501216474921,4544,4544
22,daylight,123.90126037597656,95.82856750488281,0.7466210915596075,0.570862676056338,0.22731611132621765,222.8152618408203,0.37913732394366195,38859088.036965095,72.40851343119962,4544,4544
23,daylight,124.82978057861328,96.1638412475586,0.7428092132381172,0.5653609154929577,0.22280597686767578,218.39442443847656,0.3846390845070422,50148556.31715002,72.83754476384641,4544,4544
24,daylight,126.52018737792969,96.93340301513672,0.735796438303848,0.5508362676056338,0.21822933852672577,213.9084014892578,0.3991637323943662,101541472.01624832,73.98623645676746,4544,4544
