group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,76.7942123413086,55.115997314453125,0.9229082247225514,0.6751170120409165,0.16481934487819672,172.19500732421875,0.2748829879590835,153467.6673239746,40.81605435150403,44155,1059720
Aggregate_excl_Rize,all_hours,74.66468811035156,53.65245056152344,0.9318489660612623,0.7044844392858491,0.17111249268054962,178.769775390625,0.24551556071415082,36693.269035815836,39.80707151890899,35324,847776
Ankara,all_hours,73.94867706298828,53.52273178100586,0.9306695405270234,0.6906352621447175,0.17231585085391998,175.59503173828125,0.25936473785528247,73851.60950953717,39.64494225510571,8831,211944
Antalya,all_hours,71.04257202148438,50.988128662109375,0.9385558367284574,0.7291548710980259,0.178419291973114,182.6710205078125,0.22084512890197405,11143.96672786152,38.2752894092437,8831,211944
Konya,all_hours,74.79194641113281,53.818885803222656,0.9333351489412067,0.7071868040614502,0.17443543672561646,180.5354461669922,0.24281319593854978,32678.235001641653,40.01735800133292,8831,211944
Rize,all_hours,84.77914428710938,60.97017288208008,0.8646122634386739,0.5576473030611859,0.1487213671207428,145.89566040039062,0.392352696938814,49227063.773958735,44.85198568188421,8831,211944
Van,all_hours,78.67639923095703,56.28008270263672,0.9247205422071618,0.6909608198392028,0.16872712969779968,176.2776641845703,0.2590391801607972,71145.96519481984,41.290696409953604,8831,211944
Aggregate,daylight,101.49018859863281,78.4930648803711,0.8705519320801401,0.7002288832329299,0.24305815994739532,253.7405548095703,0.2497711167670701,64479.658758596066,59.091207091879575,44155,546130
Aggregate_excl_Rize,daylight,98.63494110107422,76.70327758789062,0.8817312389114189,0.7276926561531228,0.25385043025016785,264.9436950683594,0.22230734384687711,17057.95651116615,57.72586785784196,35324,437087
Ankara,daylight,97.26641845703125,75.59652709960938,0.8835555598251192,0.7207234321987523,0.25423163175582886,258.802734375,0.2292765678012476,24205.36064214088,56.90867584779944,8831,109644
Antalya,daylight,93.9183349609375,72.97775268554688,0.8924171109933603,0.7469115315115978,0.2669370174407959,272.73223876953125,0.20308846848840212,6861.76371600589,55.70221472092508,8831,108468
Konya,daylight,98.72140502929688,77.00517272949219,0.8841699898928553,0.7321513391062882,0.25897905230522156,267.58233642578125,0.2178486608937118,13925.034512732724,57.99072862549126,8831,109476
Rize,daylight,112.20819854736328,85.66718292236328,0.7922983735473619,0.5901433379492493,0.21305271983146667,208.8342742919922,0.3598566620507506,13889135.654887406,64.56402084230649,8831,109043
Van,daylight,104.30672454833984,81.20014190673828,0.8664022100284031,0.7111754445246076,0.2501503825187683,260.7392272949219,0.23882455547539239,38389.57732865693,60.28393607586247,8831,109499
