group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,79.9679183959961,57.7440185546875,0.9164045898012885,0.7366625146265051,0.17759190499782562,185.5391387939453,0.21333748537349484,7620.753613773215,42.572292298952604,44155,1059720
Aggregate_excl_Rize,all_hours,78.36284637451172,57.5775260925293,0.924930721169633,0.7559437870380855,0.18561510741710663,193.92138671875,0.19405621296191444,3037.5048777704524,42.32814448132496,35324,847776
Ankara,all_hours,77.43730163574219,56.57212448120117,0.9239737391123626,0.7470935718869135,0.18463799357414246,188.1516571044922,0.20290642811308646,4703.219258299195,41.81331239007453,8831,211944
Antalya,all_hours,76.94734954833984,57.04499816894531,0.927917382672167,0.789977541237308,0.19579343497753143,200.45919799804688,0.16002245876269194,584.503570461461,41.768814956834305,8831,211944
Konya,all_hours,79.70990753173828,58.911773681640625,0.9242797789048408,0.7224408334276979,0.18338239192962646,189.79527282714844,0.22755916657230202,16023.12132111432,43.21636881264067,8831,211944
Rize,all_hours,86.08948516845703,58.40998458862305,0.8603948527265566,0.6595374249801834,0.15495418012142181,152.0100555419922,0.29046257501981654,314425.8090188669,43.54888356946328,8831,211944
Van,all_hours,79.32112884521484,57.781192779541016,0.9234817042500791,0.7642632016004227,0.18882912397384644,197.2792205810547,0.18573679839957724,2038.6024370584296,42.51408176575031,8831,211944
Aggregate,daylight,105.313720703125,82.20553588867188,0.8606145867875707,0.710812443923608,0.2500987946987152,261.09063720703125,0.23918755607639197,39084.64439454916,61.591753030964256,44155,546130
Aggregate_excl_Rize,daylight,102.52244567871094,80.97731018066406,0.872224864284489,0.7332544779414625,0.2605418562889099,271.9275207519531,0.21674552205853748,13257.305021353897,60.452620528529806,35324,437087
Ankara,daylight,101.43465423583984,80.05461883544922,0.8733615284128211,0.7184159643938565,0.2586130201816559,263.26287841796875,0.2315840356061435,27633.626838166616,60.043260660371025,8831,109644
Antalya,daylight,100.56511688232422,80.02230834960938,0.8766505568921548,0.7487185160600361,0.2709399163722992,276.822021484375,0.2012814839399638,6363.021262464999,59.552776322941966,8831,108468
Konya,daylight,104.38749694824219,83.04293823242188,0.8704923599661025,0.7247159194709343,0.26318198442459106,271.9248962402344,0.22528408052906568,20523.1197044624,61.764277197240766,8831,109476
Rize,daylight,115.8290023803711,87.12879180908203,0.7786776252467315,0.6208559925900792,0.2220483124256134,217.65176391601562,0.3291440074099208,3116870.9144237214,66.1578417124162,8831,109043
Van,daylight,103.63860321044922,80.78202819824219,0.8681082283629347,0.7413309710590964,0.26455923914909363,275.7580261230469,0.20866902894090356,8989.304778348445,60.44251294044494,8831,109499
