horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,49.357818603515625,25.883453369140625,0.9703760764367924,0.9668214245272336,0.20157693326473236,210.59750366210938,0.016821424527233675,0.20157693326473236,19.887256452343888,8831,8831
2,all_hours,50.39208984375,26.136232376098633,0.9691215597552976,0.9722568225569018,0.1997746080160141,208.7145233154297,0.022256822556901867,0.1997746080160141,20.040416178300013,8831,8831
3,all_hours,52.50380325317383,26.667789459228516,0.9664793692084588,0.9667081870682822,0.19690389931201935,205.71534729003906,0.016708187068282254,0.19690389931201935,20.139204088441716,8831,8831
4,all_hours,54.34016799926758,27.258056640625,0.9640935378302691,0.9618389763333711,0.1940729171037674,202.75767517089844,0.011838976333371165,0.1940729171037674,20.66967051284319,8831,8831
5,all_hours,56.02128982543945,27.980039596557617,0.9618374991796388,0.9778054580455214,0.2028147131204605,211.8906707763672,0.02780545804552148,0.2028147131204605,21.258807065105795,8831,8831
6,all_hours,57.032920837402344,28.14044189453125,0.9604475869370929,0.9552712037141886,0.19835282862186432,207.22911071777344,0.005271203714188655,0.19835282862186432,21.480671736680364,8831,8831
7,all_hours,58.3519401550293,29.07943344116211,0.9585986267433526,0.9767863209149587,0.20151254534721375,210.5302276611328,0.026786320914958694,0.20151254534721375,21.771873653908763,8831,8831
8,all_hours,58.675384521484375,28.911405563354492,0.9581371213692376,0.9571962405163628,0.20046517252922058,209.4359893798828,0.007196240516362806,0.20046517252922058,21.991150277865593,8831,8831
9,all_hours,59.68449020385742,30.049331665039062,0.9566779985029743,0.980636394519307,0.20402909815311432,213.15939331054688,0.030636394519306998,0.20402909815311432,22.161846352075962,8831,8831
10,all_hours,59.49585723876953,29.63836669921875,0.9569498077951526,0.9608198392028083,0.19954724609851837,208.47698974609375,0.010819839202808379,0.19954724609851837,22.159389825234864,8831,8831
11,all_hours,60.49115753173828,30.662792205810547,0.9554893228465464,0.9745215717359302,0.20582979917526245,215.04067993164062,0.02452157173593028,0.20582979917526245,22.574216534469095,8831,8831
12,all_hours,60.381534576416016,30.47352409362793,0.9556497918733785,0.9624051636281282,0.20466595888137817,213.8247528076172,0.012405163628128268,0.20466595888137817,22.621221883457615,8831,8831
13,all_hours,61.20203399658203,31.408628463745117,0.9544363314961423,0.9706714981315819,0.20668907463550568,215.93841552734375,0.020671498131581978,0.20668907463550568,22.880635727271077,8831,8831
14,all_hours,61.20041275024414,31.304763793945312,0.9544415180789477,0.9645566753482052,0.2035415768623352,212.65005493164062,0.014556675348205261,0.2035415768623352,22.81034872544151,8831,8831
15,all_hours,61.45047378540039,31.360258102416992,0.9540743384341991,0.9724832974748047,0.2056807577610016,214.88497924804688,0.02248329747480471,0.2056807577610016,22.974280630861653,8831,8831
16,all_hours,61.456111907958984,31.3561954498291,0.9540685043420823,0.9650096251840109,0.20270149409770966,211.7723846435547,0.015009625184010944,0.20270149409770966,22.83166366710628,8831,8831
17,all_hours,61.646854400634766,31.31509780883789,0.9537821774655988,0.9516476050277431,0.19733944535255432,206.17037963867188,0.001647605027743193,0.19733944535255432,22.74028702934247,8831,8831
18,all_hours,61.819393157958984,31.313444137573242,0.9535214505759253,0.962065451251274,0.20102548599243164,210.02137756347656,0.012065451251274006,0.20102548599243164,22.852592289407212,8831,8831
19,all_hours,61.78310775756836,31.114524841308594,0.9535758684486486,0.9641037255123995,0.1983192265033722,207.1940155029297,0.014103725512399579,0.1983192265033722,22.766112545452888,8831,8831
20,all_hours,61.95079803466797,31.236949920654297,0.9533235142339307,0.9533461669120145,0.19788016378879547,206.7353057861328,0.0033461669120145032,0.19788016378879547,22.927410409924008,8831,8831
21,all_hours,62.52461242675781,31.85064697265625,0.9524548375326406,0.9654625750198166,0.1999022662639618,208.84788513183594,0.015462575019816627,0.1999022662639618,23.005450785391286,8831,8831
22,all_hours,62.17828369140625,31.372169494628906,0.952980091114302,0.9594609896953913,0.19937092065811157,208.2927703857422,0.00946098969539133,0.19937092065811157,22.999245653965936,8831,8831
23,all_hours,62.4899787902832,31.750699996948242,0.9525074961578808,0.9526667421583059,0.20306231081485748,212.14935302734375,0.002666742158305979,0.20306231081485748,23.187270124160314,8831,8831
24,all_hours,62.82667541503906,31.83875274658203,0.9519943403862526,0.9746348091948817,0.20500604808330536,214.18006896972656,0.0246348091948817,0.20500604808330536,23.107101170675847,8831,8831
1,daylight,68.6650390625,50.09353256225586,0.9421018334846673,0.935787858864782,0.39102765917778015,407.579833984375,0.01421214113521796,1.1868574670908025,38.48879284037889,4563,4563
2,daylight,70.1038818359375,50.58274459838867,0.9396499565222364,0.9463072539995617,0.3875313997268677,403.9355773925781,0.0036927460004382295,0.8536472351406673,38.785210447198644,4563,4563
3,daylight,73.04163360595703,51.61149597167969,0.9344859549368385,0.9355687047994741,0.3819626271724701,398.131103515625,0.014431295200525884,1.167908188175136,38.976399584709355,4563,4563
4,daylight,75.59632110595703,52.75386428833008,0.9298229918382064,0.9261450799912339,0.37647098302841187,392.406982421875,0.0238549200087661,1.617364496386977,40.00303754085431,4563,4563
5,daylight,77.93504333496094,54.15115737915039,0.9254137007738232,0.9570458031996494,0.3934287130832672,410.08251953125,0.007045803199649425,0.3934287130832672,41.143222702596816,4563,4563
6,daylight,79.35108947753906,54.47352981567383,0.9226684302642194,0.9134151687856203,0.3848576843738556,401.148681640625,0.03658483121437961,2.7821979417160727,41.581721198295554,4562,4562
7,daylight,81.18627166748047,56.291202545166016,0.919069382327054,0.9550635686102587,0.39098840951919556,407.5389404296875,0.005063568610258695,0.39098840951919556,42.14542223535035,4562,4562
8,daylight,81.63628387451172,55.9659423828125,0.9181854580564914,0.9171416045594037,0.3889561891555786,405.4206848144531,0.03285839544059621,2.399954369712791,42.569892175324654,4562,4562
9,daylight,83.04027557373047,58.16870880126953,0.9153474533715591,0.9625164401578256,0.39587119221687317,412.6283874511719,0.012516440157825603,0.39587119221687317,42.900321160715215,4562,4562
10,daylight,82.77783203125,57.373172760009766,0.9158809562568117,0.9241560718982902,0.38717517256736755,403.56427001953125,0.025843928101709768,1.7967926274910033,42.89556588045794,4562,4562
11,daylight,84.16260528564453,59.356231689453125,0.9130258728841063,0.9506795265234547,0.39936500787734985,416.2701110839844,0.0006795265234547099,0.39936500787734985,43.69857654885939,4562,4562
12,daylight,84.01008605957031,58.98984909057617,0.9133392124736518,0.927224901359053,0.3971068263053894,413.9163513183594,0.022775098640946956,1.6372228980086845,43.78956827111227,4562,4562
13,daylight,85.15166473388672,60.79999923706055,0.910968108099733,0.9432266549758878,0.4010322391986847,418.0079040527344,0.006773345024112198,0.963711107872724,44.291734789024744,4562,4562
14,daylight,85.14940643310547,60.598941802978516,0.9109779968956878,0.9313897413415169,0.39492523670196533,411.64239501953125,0.018610258658483092,1.3963804212132012,44.15567505356728,4562,4562
15,daylight,85.49732971191406,60.706363677978516,0.9102552546919741,0.946733888645331,0.39907586574554443,415.9687194824219,0.0032661113546689213,0.8689463570242175,44.47301013834705,4562,4562
16,daylight,85.50518035888672,60.69850158691406,0.9102319464242996,0.9322665497588777,0.3932952284812927,409.9433898925781,0.017733450241122273,1.3478385792730623,44.19693595883725,4562,4562
17,daylight,85.77056121826172,60.61894989013672,0.9096541620575654,0.9064007014467339,0.382891446352005,399.0992126464844,0.04359929855326605,3.76994765056765,44.02005145903624,4562,4562
18,daylight,86.01061248779297,60.615745544433594,0.9091338993284277,0.9265672950460324,0.39004334807395935,406.5538635253906,0.023432704953967542,1.6488168686923879,44.23744903721068,4562,4562
19,daylight,85.9507064819336,60.21748352050781,0.9092788546910808,0.930528161297392,0.3847081959247589,400.9928894042969,0.019471838702607935,1.4031988397335875,44.060385686805716,4563,4563
20,daylight,86.18399810791016,60.45441436767578,0.9087857089365411,0.9097085250931405,0.3838564455509186,400.1050720214844,0.04029147490685947,3.2618319851781585,44.37255343634427,4563,4563
21,daylight,86.98226928710938,61.64214324951172,0.9070881576284021,0.933158010081087,0.38777899742126465,404.19366455078125,0.016841989918912947,1.2879052904016675,44.523588841944,4563,4563
22,daylight,86.5004653930664,60.71611404418945,0.9081145980789518,0.9215428446197677,0.3867482841014862,403.11932373046875,0.028457155380232302,1.9913515549583827,44.5115797436277,4563,4563
