horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,41.51824951171875,22.38416862487793,0.9774797280059426,0.9651908051183331,0.18951186537742615,197.99252319335938,0.01519080511833315,0.18951186537742615,17.655566440099168,44155,44155
2,all_hours,42.3818473815918,22.74928092956543,0.976533120921083,0.9849167704676707,0.19574734568595886,204.5070343017578,0.03491677046767072,0.19574734568595886,18.015540976371632,44155,44155
3,all_hours,45.84056854248047,24.057598114013672,0.9725466396636172,0.9664137696750085,0.19028952717781067,198.8049774169922,0.016413769675008516,0.19028952717781067,18.823507286000837,44155,44155
4,all_hours,50.212772369384766,25.896093368530273,0.967059973278781,0.971871815196467,0.1901504546403885,198.65968322753906,0.02187181519646708,0.1901504546403885,19.856418027147715,44155,44155
5,all_hours,53.874786376953125,27.289213180541992,0.9620801468831708,0.9657343449213,0.19591501355171204,204.6822052001953,0.015734344921299992,0.19591501355171204,20.82584138127204,44155,44155
6,all_hours,57.19727325439453,28.693126678466797,0.9572599500152291,0.9587362699581021,0.19518457353115082,203.91908264160156,0.008736269958102172,0.19518457353115082,21.71835960650907,44155,44155
7,all_hours,59.25432205200195,29.740488052368164,0.9541316799745003,0.9636734231683841,0.1988920420408249,207.79246520996094,0.013673423168384158,0.1988920420408249,22.243592428856935,44155,44155
8,all_hours,60.524627685546875,30.069271087646484,0.952141089509331,0.9636507756765939,0.1954590082168579,204.20579528808594,0.013650775676593896,0.1954590082168579,22.499254167409507,44155,44155
9,all_hours,61.827842712402344,30.94908905029297,0.9500499525895862,0.9655531649869777,0.19880905747413635,207.7057647705078,0.015553164986977785,0.19880905747413635,22.958655361062657,44155,44155
10,all_hours,62.35163497924805,31.157663345336914,0.949191224822296,0.9526667421583059,0.19500814378261566,203.73475646972656,0.002666742158305979,0.19500814378261566,23.033049746102837,44155,44155
11,all_hours,63.21400833129883,31.734973907470703,0.9477622920766922,0.953867059223191,0.19304032623767853,201.6788787841797,0.0038670592231910828,0.19304032623767853,23.300826042985253,44155,44155
