group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,60.50068283081055,30.577619552612305,0.952151165766477,0.9620343109500623,0.197077214717865,205.89642333984375,0.012034310950062355,0.197077214717865,22.6007125488804,44155,1059720
Aggregate_excl_Rize,all_hours,56.92054748535156,29.132997512817383,0.9603922673940032,0.9640435681123316,0.20363375544548035,212.74636840820312,0.01404356811233165,0.20363375544548035,21.872578583595516,35324,847776
Ankara,all_hours,57.42330551147461,29.710317611694336,0.9581939096591812,0.9568659645944212,0.20336659252643585,207.23666381835938,0.006865964594421237,0.20336659252643585,22.025208664078324,8831,211944
Antalya,all_hours,54.1078987121582,27.537818908691406,0.9643577970581011,0.9828728343335975,0.20601513981819153,210.9244842529297,0.032872834333597556,0.20601513981819153,20.72885108715928,8831,211944
Konya,all_hours,58.09967803955078,29.947280883789062,0.9597714190210523,0.9566961084059941,0.2094479352235794,216.77232360839844,0.006696108405994106,0.2094479352235794,22.59367874054783,8831,211944
Rize,all_hours,73.08808135986328,36.35611343383789,0.8993776802800134,0.9539972823009851,0.18195374310016632,178.4966278076172,0.003997282300985172,0.18195374310016632,25.513248410019973,8831,211944
Van,all_hours,57.95792770385742,29.336576461791992,0.9591480119772963,0.9597393651153134,0.2067977786064148,216.05197143554688,0.00973936511531348,0.2067977786064148,22.1425758425966,8831,211944
Aggregate,daylight,84.2767562866211,59.33333969116211,0.9107387319828971,0.9263307271162544,0.38270506262779236,399.5249328613281,0.02366927288374554,1.632491874492445,43.85480948180752,44155,546130
Aggregate_excl_Rize,daylight,79.2730712890625,56.506500244140625,0.9236059069558854,0.9302587356750487,0.3953664004802704,412.6438903808594,0.01974126432495127,1.4562698631410849,42.424156246436674,35324,437087
Ankara,daylight,79.83738708496094,57.430625915527344,0.9215477226020213,0.9166210645361351,0.39351707696914673,400.592529296875,0.033378935463864834,2.4817452843302634,42.57515983637423,8831,109644
Antalya,daylight,75.63458251953125,53.80826950073242,0.9302276544543673,0.96653390861821,0.40338414907455444,412.1416320800781,0.016533908618210025,0.40338414907455444,40.50370261106396,8831,108468
Konya,daylight,80.83972930908203,57.97751235961914,0.9223309327119704,0.9161642734480617,0.40617507696151733,419.668212890625,0.03383572655193823,2.611368751521752,43.741045041713896,8831,109476
Rize,daylight,101.89625549316406,70.66442108154297,0.8287197966411969,0.9105857322340728,0.35394734144210815,346.9391784667969,0.03941426776592716,2.8938004761936202,49.58942729944401,8831,109043
Van,daylight,80.63402557373047,56.78327560424805,0.9201616987532802,0.922072347692673,0.40120282769203186,418.18572998046875,0.027927652307326967,2.0222858214170287,42.85871190041274,8831,109499
