horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,86.43341064453125,36.633888244628906,0.9025270835570047,,,,,,36.63388577647763,45250,45250
2,all_hours,86.43341064453125,36.633888244628906,0.9025270835570047,,,,,,36.63388577647763,45250,45250
3,all_hours,86.43341064453125,36.633888244628906,0.9025270835570047,,,,,,36.63388577647763,45250,45250
4,all_hours,86.43341064453125,36.633888244628906,0.9025270835570047,,,,,,36.63388577647763,45250,45250
5,all_hours,86.43341064453125,36.63406753540039,0.9025269226528941,,,,,,36.634069938533216,45250,45250
6,all_hours,86.4344711303711,36.63738250732422,0.9025210811766671,,,,,,36.63738485582889,45250,45250
7,all_hours,86.44144439697266,36.6469612121582,0.9025013766886145,,,,,,36.64696128299355,45250,45250
8,all_hours,86.4593734741211,36.66120529174805,0.9024683860071895,,,,,,36.66120315010113,45250,45250
9,all_hours,86.49827575683594,36.68048095703125,0.9024069402341997,,,,,,36.68047877947138,45250,45250
10,all_hours,86.564697265625,36.702518463134766,0.9022989195236479,,,,,,36.70251684045528,45250,45250
11,all_hours,86.64556884765625,36.72455978393555,0.9021615277554272,,,,,,36.72455490076476,45250,45250
12,all_hours,86.74868774414062,36.75315856933594,0.9019620529580864,,,,,,36.753161406775206,45250,45250
13,all_hours,86.82678985595703,36.78195571899414,0.9018030804153406,,,,,,36.78195207777076,45250,45250
14,all_hours,86.87299346923828,36.80079650878906,0.9017061562814672,,,,,,36.80079799671068,45250,45250
15,all_hours,86.86861419677734,36.80091857910156,0.9017122557740845,,,,,,36.80092077314261,45250,45250
16,all_hours,86.85185241699219,36.797115325927734,0.9017376934340671,,,,,,36.79711475703203,45250,45250
17,all_hours,86.84806060791016,36.794105529785156,0.9017282566715948,,,,,,36.794106777275466,45250,45250
18,all_hours,86.83670806884766,36.7869873046875,0.9017418075738803,,,,,,36.7869858437006,45250,45250
19,all_hours,86.8257827758789,36.776981353759766,0.9017653664588893,,,,,,36.77697970553656,45250,45250
20,all_hours,86.82147216796875,36.76875305175781,0.9017800493785416,,,,,,36.76875380040796,45250,45250
21,all_hours,86.82115936279297,36.766544342041016,0.9017828179012553,,,,,,36.76654385561442,45250,45250
22,all_hours,86.82115936279297,36.7664794921875,0.9017828506388903,,,,,,36.76648246826256,45250,45250
23,all_hours,86.82115936279297,36.7664794921875,0.9017828506388903,,,,,,36.76648246826256,45250,45250
24,all_hours,86.82115936279297,36.7664794921875,0.9017828506388903,,,,,,36.76648246826256,45250,45250
1,daylight,121.24845123291016,71.99957275390625,0.8118268037116234,,,,,,71.99957951929524,22994,22994
2,daylight,121.24845123291016,71.99957275390625,0.8118268037116234,,,,,,71.99957951929524,22994,22994
3,daylight,121.24845123291016,71.99957275390625,0.8118268037116234,,,,,,71.99957951929524,22994,22994
4,daylight,121.24845123291016,71.99957275390625,0.8118268037116234,,,,,,71.99957951929524,22994,22994
5,daylight,121.2458267211914,71.99656677246094,0.8118416246307006,,,,,,71.99656922132405,22995,22995
6,daylight,121.23411560058594,71.98744201660156,0.8118843709594756,,,,,,71.98743953269461,23000,23000
7,daylight,121.23072814941406,71.99075317382812,0.8118662489604015,,,,,,71.9907507219669,23005,23005
8,daylight,121.25586700439453,72.01876831054688,0.8117423972203536,,,,,,72.01876395763819,23005,23005
9,daylight,121.31044006347656,72.05667114257812,0.8115919651295022,,,,,,72.05667842097242,23005,23005
10,daylight,121.40359497070312,72.10002136230469,0.8113836367033921,,,,,,72.10002648702421,23005,23005
11,daylight,121.51702117919922,72.14337158203125,0.8111377436188771,,,,,,72.14337455174945,23005,23005
12,daylight,121.6616439819336,72.19963836669922,0.8107741031665608,,,,,,72.19964251075716,23005,23005
13,daylight,121.77118682861328,72.25627136230469,0.8104791089223617,,,,,,72.25627271560606,23005,23005
14,daylight,121.83597564697266,72.2933349609375,0.810294712446497,,,,,,72.29334195412079,23005,23005
15,daylight,121.82984161376953,72.29358673095703,0.8102996691134452,,,,,,72.29358345090604,23005,23005
16,daylight,121.80632019042969,72.28610229492188,0.8103373865391121,,,,,,72.28609715536143,23005,23005
17,daylight,121.80101013183594,72.28018188476562,0.81031783878392,,,,,,72.28018056835928,23005,23005
18,daylight,121.78508758544922,72.26617431640625,0.8103635200206405,,,,,,72.26617395048218,23005,23005
19,daylight,121.769775390625,72.24649047851562,0.8104524079954856,,,,,,72.24649223990089,23005,23005
20,daylight,121.77430725097656,72.24287414550781,0.810459851620406,,,,,,72.2428734303661,23001,23001
21,daylight,121.78710174560547,72.25422668457031,0.8103991902582952,,,,,,72.25423255218053,22996,22996
22,daylight,121.78975677490234,72.25724792480469,0.8103838100141103,,,,,,72.25725392443016,22995,22995
23,daylight,121.78975677490234,72.25724792480469,0.8103838100141103,,,,,,72.25725392443016,22995,22995
24,daylight,121.78975677490234,72.25724792480469,0.8103838100141103,,,,,,72.25725392443016,22995,22995
