group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,83.36929321289062,35.04570770263672,0.9091420066745434,,,,,,35.045696892927054,44155,1059720
Aggregate_excl_Rize,all_hours,78.09323120117188,32.11697769165039,0.9254463978495524,,,,,,32.11697727104876,35324,847776
Ankara,all_hours,78.74662780761719,33.28227615356445,0.9213810807017057,,,,,,33.282275789020616,8831,211944
Antalya,all_hours,71.98088836669922,28.802589416503906,0.9369220541440499,,,,,,28.802590566588048,8831,211944
Konya,all_hours,78.22447204589844,32.11209487915039,0.927075651228637,,,,,,32.112097693120475,8831,211944
Rize,all_hours,101.77421569824219,46.76057052612305,0.8048912678279089,,,,,,46.76057538044024,8831,211944
Van,all_hours,83.02326965332031,34.27094268798828,0.916172363624379,,,,,,34.27094503546591,8831,211944
Aggregate,daylight,116.13247680664062,68.00325775146484,0.8305058038793817,,,,,,68.00327012134962,44155,546130
Aggregate_excl_Rize,daylight,108.76020812988281,62.29425811767578,0.8562034621847332,,,,,,62.29424010080518,35324,437087
Ankara,daylight,109.48384857177734,64.33529663085938,0.852465676286957,,,,,,64.3352911224343,8831,109644
Antalya,daylight,100.6182861328125,56.27960205078125,0.8765200837404924,,,,,,56.27960555228212,8831,108468
Konya,daylight,108.84130859375,62.16857147216797,0.859205420280104,,,,,,62.168570585979815,8831,109476
Rize,daylight,141.88922119140625,90.88729095458984,0.6678841889502158,,,,,,90.88729573133558,8831,109043
Van,daylight,115.5062026977539,66.33413696289062,0.836173062568269,,,,,,66.33413249981083,8831,109499
