horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,78.17176818847656,30.989471435546875,0.9201646163803662,,,,,,30.98947027048429,44155,44155
2,all_hours,78.17176818847656,30.989471435546875,0.9201646163803662,,,,,,30.98947027048429,44155,44155
3,all_hours,78.17176818847656,30.989471435546875,0.9201646163803661,,,,,,30.98947027048429,44155,44155
4,all_hours,78.17176818847656,30.989471435546875,0.9201646163803661,,,,,,30.98947027048429,44155,44155
5,all_hours,78.17176818847656,30.989471435546875,0.9201646163803662,,,,,,30.98947027048429,44155,44155
6,all_hours,78.17143249511719,30.987653732299805,0.9201673560978613,,,,,,30.987653263394634,44155,44155
7,all_hours,78.16926574707031,30.985183715820312,0.9201739132439677,,,,,,30.985181725096723,44155,44155
8,all_hours,78.16667938232422,30.984535217285156,0.9201744591214316,,,,,,30.98453366474851,44155,44155
9,all_hours,78.1783447265625,30.989957809448242,0.9201379125724445,,,,,,30.989957964346075,44155,44155
10,all_hours,78.1832046508789,30.990358352661133,0.9201141225653903,,,,,,30.99035687446594,44155,44155
11,all_hours,78.21601867675781,30.99766731262207,0.920025986644993,,,,,,30.99766728825375,44155,44155
12,all_hours,78.2582015991211,31.005338668823242,0.9199215435543264,,,,,,31.005339591239373,44155,44155
13,all_hours,78.29737854003906,31.015254974365234,0.9198294887912501,,,,,,31.015254896476254,44155,44155
14,all_hours,78.3299560546875,31.02529525756836,0.9197575800427658,,,,,,31.025295615101737,44155,44155
15,all_hours,78.36029815673828,31.038944244384766,0.9196980659184499,,,,,,31.038946380065557,44155,44155
16,all_hours,78.37715148925781,31.04840087890625,0.9196653073150394,,,,,,31.048401258297137,44155,44155
17,all_hours,78.38224792480469,31.05489158630371,0.91965337663367,,,,,,31.054893524705346,44155,44155
18,all_hours,78.38298034667969,31.057621002197266,0.9196498658022804,,,,,,31.05762123353699,44155,44155
19,all_hours,78.38298034667969,31.05767250061035,0.9196497417040724,,,,,,31.057671980657524,44155,44155
20,all_hours,78.38298034667969,31.05767250061035,0.9196497417040724,,,,,,31.057671980657524,44155,44155
21,all_hours,78.38298034667969,31.05767250061035,0.9196497417040724,,,,,,31.057671980657524,44155,44155
22,all_hours,78.38298034667969,31.05767250061035,0.9196497417040724,,,,,,31.057671980657524,44155,44155
23,all_hours,78.38298034667969,31.05767250061035,0.9196497417040724,,,,,,31.057671980657524,44155,44155
24,all_hours,78.38298034667969,31.05767250061035,0.9196497417040724,,,,,,31.057671980657524,44155,44155
1,daylight,108.88619995117188,60.12567138671875,0.8510302108103627,,,,,,60.12567272138298,22758,22758
2,daylight,108.88619995117188,60.12567138671875,0.8510302108103627,,,,,,60.12567272138298,22758,22758
3,daylight,108.88619995117188,60.12567138671875,0.8510302108103627,,,,,,60.12567272138298,22758,22758
4,daylight,108.88619995117188,60.12567138671875,0.8510302108103627,,,,,,60.12567272138298,22758,22758
5,daylight,108.88619995117188,60.12567138671875,0.8510302108103627,,,,,,60.12567272138298,22758,22758
6,daylight,108.89769744873047,60.13535690307617,0.8509882911854757,,,,,,60.135359286476074,22753,22753
7,daylight,108.8946762084961,60.13056564331055,0.8510276715640717,,,,,,60.13056296187956,22753,22753
8,daylight,108.89107513427734,60.129302978515625,0.8510548617713991,,,,,,60.129305320923415,22753,22753
9,daylight,108.90731811523438,60.139827728271484,0.8510050768473434,,,,,,60.139831842644966,22753,22753
10,daylight,108.91409301757812,60.14060592651367,0.850969771457297,,,,,,60.14060597688409,22753,22753
11,daylight,108.95980834960938,60.15479278564453,0.8508096489542858,,,,,,60.15479273558847,22753,22753
12,daylight,109.01856231689453,60.169681549072266,0.8506207328063917,,,,,,60.16968178487121,22753,22753
13,daylight,109.0731430053711,60.18891906738281,0.850459020615756,,,,,,60.18892365639296,22753,22753
14,daylight,109.11852264404297,60.20840835571289,0.8503341257255417,,,,,,60.20840890804804,22753,22753
15,daylight,109.1607894897461,60.23489761352539,0.850223185886126,,,,,,60.234899899432804,22753,22753
16,daylight,109.18428039550781,60.25324630737305,0.850153766087369,,,,,,60.25324825561948,22753,22753
17,daylight,109.19137573242188,60.26584243774414,0.8501134422713191,,,,,,60.265847298526104,22753,22753
18,daylight,109.18519592285156,60.2631950378418,0.8501309000915124,,,,,,60.263195006452186,22756,22756
19,daylight,109.1803970336914,60.25799560546875,0.8501535680859049,,,,,,60.257997464888525,22758,22758
20,daylight,109.1803970336914,60.25799560546875,0.8501535680859049,,,,,,60.257997464888525,22758,22758
21,daylight,109.1803970336914,60.25799560546875,0.8501535680859049,,,,,,60.257997464888525,22758,22758
22,daylight,109.1803970336914,60.25799560546875,0.8501535680859049,,,,,,60.257997464888525,22758,22758
23,daylight,109.1803970336914,60.25799560546875,0.8501535680859049,,,,,,60.257997464888525,22758,22758
24,daylight,109.1803970336914,60.25799560546875,0.8501535680859049,,,,,,60.257997464888525,22758,22758
