group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,78.27631378173828,31.01976776123047,0.9199038843345407,,,,,,31.019770271503944,44155,1059720
Aggregate_excl_Rize,all_hours,72.50389862060547,27.812747955322266,0.9357364679692742,,,,,,27.81275354489137,35324,847776
Ankara,all_hours,73.20169830322266,28.962919235229492,0.932063152227707,,,,,,28.962921896656862,8831,211944
Antalya,all_hours,66.11888885498047,24.234655380249023,0.9467776224822525,,,,,,24.234657264820417,8831,211944
Konya,all_hours,73.13814544677734,28.049169540405273,0.9362507497518224,,,,,,28.04917033035074,8831,211944
Rize,all_hours,98.0236587524414,43.847835540771484,0.819006497066352,,,,,,43.84783717795424,8831,211944
Van,all_hours,77.12250518798828,30.004261016845703,0.9276647958178719,,,,,,30.004264687737454,8831,211944
Aggregate,daylight,109.03800201416016,60.191287994384766,0.8505819219617585,,,,,,60.19129319414454,44155,546130
Aggregate_excl_Rize,daylight,100.97596740722656,53.945743560791016,0.8760506112749459,,,,,,53.945747526862675,35324,437087
Ankara,daylight,101.7745590209961,55.985897064208984,0.8725113880890162,,,,,,55.98589542943565,8831,109644
Antalya,daylight,92.42411804199219,47.35396194458008,0.8958131145546262,,,,,,47.353967984429495,8831,108468
Konya,daylight,101.76419067382812,54.30279541015625,0.8769197250661595,,,,,,54.30280021644796,8831,109476
Rize,daylight,136.66036987304688,85.22589111328125,0.6919112571110826,,,,,,85.22588339319657,8831,109043
Van,daylight,107.2967529296875,58.07563018798828,0.8586330775621942,,,,,,58.07563425216511,8831,109499
