horizon_step,RMSE,MAE,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples
1,61.34827848862544,47.50636791894223,0.7241082550107576,0.1652666683115549,172.66234982190406,0.22589174498924236,13285.18457207212,34.71619771048319,44155
2,62.12520187320786,48.02268092705625,0.7173593024572529,0.1659148219942745,173.33950837448717,0.23264069754274708,18690.35718653851,35.279264066435054,44155
3,64.94450802520032,49.155950951358584,0.7197372890952327,0.16562170248409544,173.03327176959144,0.23026271090476724,16565.815620779384,36.25816113234647,44155
4,67.67572537037024,49.86894098709497,0.7326463594156947,0.1661587268133977,173.5943279314671,0.21735364058430529,8715.770211117038,36.987275065290376,44155
5,70.66035987866765,51.05635470929711,0.7322387045634696,0.16600527509541108,173.43400925086158,0.21776129543653033,8887.02598850043,37.95291420707774,44155
6,73.36066744548397,52.376273222345034,0.7248782697316272,0.16531758435703364,172.71554435983367,0.2251217302683728,12787.361001611293,38.77848522245222,44155
7,74.43562658660998,52.55596840825141,0.7246517948137243,0.16559983128450478,173.0104218340701,0.22534820518627563,12955.063391408263,38.76449143216714,44155
8,75.32217021702796,53.19152783782616,0.7099309251500396,0.16462223509158233,171.98907822273318,0.24006907484996032,26885.918461396486,39.070715407613896,44155
9,76.27803580567954,54.18998292381504,0.6805118333144604,0.16285626915928372,170.1440853352304,0.26948816668553954,115788.72686028176,39.94353547848739,44155
10,77.67484634473256,55.67909023971529,0.6569584418525648,0.16127896668133562,168.49619858949515,0.29304155814743515,372301.25822735997,41.10114763809541,44155
11,78.97749389205569,57.11003073894195,0.6399048805344808,0.16034372303952532,167.51910280544666,0.31009511946551915,868324.4020947545,41.968294127553385,44155
12,79.77966984388505,57.93511035648274,0.63027969652361,0.16036313208097727,167.53938040128085,0.3197203034763899,1405214.9355668686,42.3351987629702,44155
13,80.14161098231247,58.09233224241931,0.6325670931944287,0.16210340441795343,169.3575299053654,0.31743290680557124,1266952.058163323,42.5835112528934,44155
14,81.08221712801276,58.39703608468042,0.64780885516929,0.16247476953965595,169.74551361200233,0.30219114483070997,592629.6591481713,42.68952060601274,44155
15,81.66712588092592,58.630676874884124,0.6622806024232816,0.1638568657997139,171.189458663837,0.2877193975767184,289875.9762388215,42.926612376978134,44155
16,81.58385029127184,58.932596601145775,0.6595629034084475,0.16485991092243402,172.23739004428793,0.2904370965915525,334100.1684725618,43.38267068113287,44155
17,81.06446100455753,58.708850348072566,0.6566640244592912,0.16414652406876665,171.49207913710575,0.2933359755407088,384540.1152005137,43.20090660363531,44155
18,80.3567537026611,57.931205833863594,0.64701619295663,0.16382241655398871,171.15346781476094,0.3029838070433699,621703.3644562183,42.654458025532314,44155
19,81.19246195205204,58.70076085021776,0.634741252406296,0.16284039794760402,170.12750388701014,0.315258747593704,1141613.0892335442,43.070445098548355,44155
20,82.76928373674443,59.911972226997726,0.6334503453742498,0.16187588693946017,169.11983102232054,0.31654965462575013,1210516.2719787464,43.71545135031317,44155
21,84.13245501659553,61.11453301495747,0.6233269165439927,0.16098938479162098,168.193657913539,0.3266730834560072,1997161.3478798429,44.54236040608745,44155
22,85.10676302232369,62.28857962685029,0.6102140187974182,0.16054918203982538,167.7337560936523,0.33978598120258174,3836780.4514041706,45.55122737831831,44155
23,85.68255900046185,62.66518545649302,0.6024232816215604,0.16030189634194153,167.47540436362598,0.3475767183784395,5655502.6967250295,45.90018271266169,44155
24,86.50140535456086,62.95039588115788,0.601041784622353,0.16017689329064846,167.3448074272221,0.34895821537764693,6055238.38384816,46.23667674002724,44155
