group,horizon_step,n_elements,k_mean,CP_before,CP_after,MPIW_before,MPIW_after,Reliability_before,Reliability_after,CWC_before,CWC_after
Aggregate,all,546130,1.5288739204406738,0.8228773368978082,0.942971453683189,291.5931701660156,431.09747314453125,0.12712266310219178,0.007028546316810935,161.17012627065242,0.9997870798219207
Ankara,all,109644,1.4401359558105469,0.8343092189267083,0.9434077560103608,296.16436767578125,414.10357666015625,0.11569078107329167,0.0065922439896392016,94.91180183384033,0.9724012985031587
Antalya,all,108468,1.356063961982727,0.8664122137404581,0.946988973706531,312.3855285644531,411.7208251953125,0.08358778625954189,0.0030110262934689436,20.279008989269627,0.8714174654165731
Konya,all,109476,1.5054497718811035,0.834593883590924,0.945440096459498,306.94610595703125,449.3665771484375,0.11540611640907594,0.004559903540501953,95.5506581645173,0.9812107968394255
Rize,all,109043,1.9253453016281128,0.7513274579752941,0.94542519923333,238.814453125,456.03759765625,0.19867254202470586,0.00457480076666994,5022.112028877933,1.0500752896691679
Van,all,109499,1.4175103902816772,0.8278431766500151,0.9336432296185353,303.62835693359375,424.206787109375,0.1221568233499849,0.016356770381464658,131.1910490072451,1.3290308507068178
Aggregate,1,22758,1.1778905391693115,0.9113278846998858,0.9463045961859566,290.3681640625,335.43353271484375,0.03867211530011416,0.0036954038140433187,2.20134017818339,0.7078314474623125
Aggregate,2,22758,1.2848923206329346,0.8916864399332103,0.9465242991475525,291.1114807128906,364.664306640625,0.05831356006678967,0.0034757008524474164,5.426902784310123,0.7649234882674211
Aggregate,3,22758,1.3190336227416992,0.8710783021355127,0.9406802003691009,287.7301025390625,370.4010009765625,0.07892169786448722,0.009319799630899017,14.53394227647353,0.9202248449317336
Aggregate,4,22758,1.4327691793441772,0.8375076896036558,0.9376482994990772,285.0500793457031,397.8615417480469,0.11249231039634411,0.012351700500922713,75.95302268690094,1.0878621113120102
Aggregate,5,22758,1.4927897453308105,0.8271816504086476,0.9396695667457597,284.0785217285156,411.8022766113281,0.1228183495913524,0.010330433254240212,126.66577481339779,1.0556635996977628
Aggregate,6,22753,1.5149314403533936,0.8251219619390849,0.9421175229640047,284.8973693847656,418.4432067871094,0.12487803806091502,0.007882477035995206,140.78086017172606,0.9952868792932672
Aggregate,7,22753,1.4675265550613403,0.8285061310596404,0.9384696523535357,289.1440734863281,410.4042053222656,0.12149386894035952,0.011530347646464212,120.68084005876688,1.092823977200787
Aggregate,8,22753,1.5164024829864502,0.8155408078055641,0.9393486573199139,292.0469055175781,429.28826904296875,0.1344591921944358,0.010651342680086051,232.83021454796875,1.1116382075331324
Aggregate,9,22753,1.5166949033737183,0.8209906385971081,0.9430404781787017,293.7640686035156,430.9625244140625,0.12900936140289188,0.00695952182129822,178.4050806301994,0.9974529584183716
Aggregate,10,22753,1.4912045001983643,0.8222212455500374,0.9386015030984926,293.1482238769531,422.370361328125,0.12777875444996256,0.011398496901507404,167.42372767860675,1.1199558003867198
Aggregate,11,22753,1.4917986392974854,0.8231881510130532,0.9410187667560321,295.8421630859375,426.94580078125,0.12681184898694675,0.008981233243967823,161.00145464980127,1.0497649710019308
Aggregate,12,22753,1.5353902578353882,0.8151892058190129,0.942469124950556,295.3343200683594,438.8216857910156,0.13481079418098707,0.007530875049443941,239.62188188271512,1.03289420413614
Aggregate,13,22753,1.5234103202819824,0.8266602206302466,0.9437876324001231,299.02154541015625,439.6694030761719,0.12333977936975338,0.006212367599876867,136.84283835852787,0.9957340783367077
Aggregate,14,22753,1.5981405973434448,0.8132993451413001,0.9451061398496902,299.864013671875,461.7478942871094,0.13670065485869987,0.004893860150309792,267.37974068470515,1.0072377100671128
Aggregate,15,22753,1.5595479011535645,0.8116731859535007,0.9441392343866742,298.6483154296875,449.59429931640625,0.13832681404649927,0.0058607656133257136,288.8280503781258,1.007972488712009
Aggregate,16,22753,1.61674165725708,0.8025754845514878,0.9472157517689975,292.94366455078125,457.7202453613281,0.1474245154485122,0.0027842482310024286,446.33426908726324,0.942391280284762
Aggregate,17,22753,1.6127835512161255,0.7950160418406363,0.9442710851316309,288.45379638671875,448.2791748046875,0.1549839581593636,0.005728914868369017,641.235661924446,1.001241698279024
Aggregate,18,22756,1.5984209775924683,0.80435928985762,0.9430479873439972,288.935791015625,444.7698974609375,0.14564071014238,0.0069520126560027595,402.68746273081706,1.0291833245783575
Aggregate,19,22758,1.6600773334503174,0.7940504437999825,0.9469197644784252,289.4169006347656,466.0966796875,0.1559495562000175,0.00308023552157477,675.1871611612883,0.9672883421699696
Aggregate,20,22758,1.6606022119522095,0.7921170577379383,0.9493804376482995,290.3144836425781,467.6209716796875,0.15788294226206168,0.0006195623517004645,745.9942156415036,0.9099618656159845
Aggregate,21,22758,1.5892120599746704,0.8116266807276562,0.949028912909746,293.31756591796875,450.38677978515625,0.13837331927234375,0.0009710870902539526,284.33231167089167,0.8843157351921707
Aggregate,22,22758,1.6225149631500244,0.8086387204499517,0.9436242200544863,293.6884460449219,459.23858642578125,0.1413612795500483,0.006375779945513638,330.52033888203846,1.0449766767176023
Aggregate,23,22758,1.6483278274536133,0.8049477106951402,0.9400650320766324,292.1092834472656,461.1078796386719,0.1450522893048598,0.009934967923367566,395.31532701725183,1.1675639020416286
Aggregate,24,22758,1.7618950605392456,0.7945337903154934,0.9388346954916952,289.0108947753906,482.7244567871094,0.15546620968450653,0.011165304508304774,658.1473186784132,1.2705131558475455
