group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,72.83551788330078,38.10847854614258,0.9306514911663242,0.9706101611746499,0.2126512974500656,222.16744995117188,0.020610161174649977,0.2126512974500656,30.64696112151266,44155,1059720
Aggregate_excl_Rize,all_hours,71.19406127929688,37.62851333618164,0.938037431123669,0.9702822443664364,0.20966993272304535,219.0526580810547,0.02028224436643644,0.20966993272304535,30.14301817710435,35324,847776
Ankara,all_hours,69.94490051269531,36.95525360107422,0.9379737816243593,0.9707233986336014,0.21022562682628632,214.22622680664062,0.020723398633601398,0.21022562682628632,29.536627914184322,8831,211944
Antalya,all_hours,67.22807312011719,35.245235443115234,0.9449769643548767,0.972870192126222,0.2058047652244568,210.70909118652344,0.0228701921262221,0.2058047652244568,28.529368339583343,8831,211944
Konya,all_hours,71.86885070800781,38.18555450439453,0.9384442417347022,0.971818027403465,0.2242697924375534,232.1125030517578,0.021818027403465057,0.2242697924375534,31.15232568342606,8831,211944
Rize,all_hours,79.06121826171875,40.02836990356445,0.8822588535887792,0.9719218284075039,0.2391708791255951,234.6266326904297,0.021921828407503896,0.2391708791255951,32.662732899146015,8831,211944
Van,all_hours,75.48075103759766,40.12798309326172,0.9307117001327169,0.9657173593024573,0.20977526903152466,219.1627197265625,0.015717359302457323,0.20977526903152466,31.35375077122368,8831,211944
Aggregate,daylight,101.45902252197266,73.94633483886719,0.8706314180324937,0.942971453683189,0.4129483997821808,431.09747314453125,0.007028546316810935,0.9997870798219207,59.467887938200455,44155,546130
Aggregate_excl_Rize,daylight,99.1517562866211,72.98442840576172,0.8804886333919024,0.9423593014662984,0.40708598494529724,424.8756103515625,0.007640698533701529,1.0035741227649266,58.465539762364955,35324,437087
Ankara,daylight,97.24655151367188,71.43521881103516,0.883603129345913,0.9434077560103608,0.40678948163986206,414.10357666015625,0.0065922439896392016,0.9724012985031587,57.09488040060451,8831,109644
Antalya,daylight,93.97459411621094,68.8683853149414,0.8922881881835591,0.946988973706531,0.4029722809791565,411.7208251953125,0.0030110262934689436,0.8714174654165731,55.745735547485445,8831,108468
Konya,daylight,99.99811553955078,73.92670440673828,0.8811546861875373,0.945440096459498,0.4349185824394226,449.3665771484375,0.004559903540501953,0.9812107968394255,60.310465441266125,8831,109476
Rize,daylight,110.22376251220703,77.80208587646484,0.7995799783076677,0.94542519923333,0.46524953842163086,456.03759765625,0.00457480076666994,1.0500752896691679,63.4856915306494,8831,109043
Van,daylight,105.01266479492188,77.67089080810547,0.8645877367191324,0.9336432296185353,0.40697938203811646,424.206787109375,0.016356770381464658,1.3290308507068178,60.68767160847343,8831,109499
