mode,city,horizon_step,season,n_calibration,k_cell,k_applied,fell_back,direction
city_season,Ankara,all,DJF,22271,1.6234869204456681,1.6234869204456681,False,wider
city_season,Ankara,all,MAM,6660,1.6910546093019005,1.6910546093019005,False,wider
city_season,Ankara,all,JJA,22212,1.1037523945044478,1.1037523945044478,False,wider
city_season,Ankara,all,SON,24895,1.3912029252380138,1.3912029252380138,False,wider
city_season,Antalya,all,DJF,22487,1.6132528225772613,1.6132528225772613,False,wider
city_season,Antalya,all,MAM,6660,1.5266997531850288,1.5266997531850288,False,wider
city_season,Antalya,all,JJA,21896,1.0360922324121096,1.0360922324121096,False,wider
city_season,Antalya,all,SON,24842,1.3133821136270205,1.3133821136270205,False,wider
city_season,Konya,all,DJF,22391,1.7040302122137114,1.7040302122137114,False,wider
city_season,Konya,all,MAM,6660,1.8164193991970412,1.8164193991970412,False,wider
city_season,Konya,all,JJA,21972,1.1117573717036953,1.1117573717036953,False,wider
city_season,Konya,all,SON,25063,1.396135074822554,1.396135074822554,False,wider
city_season,Rize,all,DJF,21342,1.9496948723164171,1.9496948723164171,False,wider
city_season,Rize,all,MAM,6685,2.131579897217305,2.131579897217305,False,wider
city_season,Rize,all,JJA,22670,1.7144712723918345,1.7144712723918345,False,wider
city_season,Rize,all,SON,24596,1.9352517474529158,1.9352517474529158,False,wider
city_season,Van,all,DJF,22391,1.4463656084622227,1.4463656084622227,False,wider
city_season,Van,all,MAM,6660,1.5634613440907037,1.5634613440907037,False,wider
city_season,Van,all,JJA,22472,1.1769768836307248,1.1769768836307248,False,wider
city_season,Van,all,SON,24650,1.4655493572655125,1.4655493572655125,False,wider
