horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,246.29847717285156,177.43768310546875,0.20746405141104074,0.4878722681463028,0.22220726311206818,232.15103149414062,0.46212773185369715,2408432306.939264,150.34999107281436,44155,44155
2,all_hours,253.06097412109375,184.93429565429688,0.16334603660592795,0.4667648057977579,0.2161557674407959,225.8287353515625,0.48323519420224204,6731095355.5887165,157.5974943991628,44155,44155
3,all_hours,257.61614990234375,189.35348510742188,0.13295490235485474,0.4620088325217982,0.21589641273021698,225.55776977539062,0.48799116747820176,8527838929.290297,161.4659583004285,44155,44155
4,all_hours,259.9671325683594,191.28329467773438,0.11705748875883226,0.4642735817008266,0.21718302369117737,226.90196228027344,0.48572641829917335,7660216325.360445,163.14668234387491,44155,44155
5,all_hours,262.14422607421875,193.99681091308594,0.10220715018420679,0.45109274147888123,0.21556244790554047,225.2088623046875,0.4989072585211187,14696251469.209602,165.68410975885564,44155,44155
6,all_hours,264.8736572265625,197.08868408203125,0.08343800065100881,0.44173932736949384,0.21296101808547974,222.49102783203125,0.5082606726305061,23176101752.506447,168.59706080397132,44155,44155
7,all_hours,256.77874755859375,192.6929931640625,0.13862764288384588,0.44645000566187293,0.21441955864429474,224.01483154296875,0.503549994338127,18437990756.4605,164.02303243115577,44155,44155
8,all_hours,246.7880401611328,188.49952697753906,0.20430476363413907,0.426452270411052,0.212314635515213,221.8157196044922,0.5235477295889479,49622019053.47471,159.37253774669438,44155,44155
9,all_hours,247.4866943359375,189.35240173339844,0.19966573594559278,0.4067489525535047,0.20705853402614594,216.32440185546875,0.5432510474464953,129610368265.08434,160.89579278439413,44155,44155
10,all_hours,251.59715270996094,191.0362548828125,0.1727162038207659,0.40595629034084474,0.20478461682796478,213.94873046875,0.5440437096591553,133369456331.10165,163.35479436461756,44155,44155
11,all_hours,253.85986328125,192.8716583251953,0.1575472410636598,0.4007020722454988,0.20542766153812408,214.62054443359375,0.5492979277545011,173985024911.40714,165.10028746864842,44155,44155
12,all_hours,255.6522674560547,193.4247283935547,0.14541498223902183,0.40770014720869663,0.2067423313856125,215.99404907226562,0.5422998527913033,123401684932.42926,165.79557612883113,44155,44155
13,all_hours,259.51568603515625,196.04364013671875,0.11926049456997068,0.3975540708866493,0.2055160105228424,214.7128448486328,0.5524459291133507,203730752362.9279,167.83390535610098,44155,44155
14,all_hours,259.93218994140625,196.1228790283203,0.11637420762161355,0.3931151624957536,0.2066262662410736,215.87278747558594,0.5568848375042463,255732619509.5409,167.5253676249703,44155,44155
15,all_hours,259.5404052734375,195.48553466796875,0.11906500196567882,0.40067942475370855,0.20858946442604065,217.92384338378906,0.5493205752462914,176863045984.07135,166.96457513185908,44155,44155
16,all_hours,256.07940673828125,194.44297790527344,0.14242235369543177,0.40810780206092173,0.20797540247440338,217.2823028564453,0.5418921979390783,121633034313.54366,165.76632104017554,44155,44155
17,all_hours,254.47064208984375,194.87652587890625,0.15314804175172458,0.40031706488506397,0.20656664669513702,215.8105010986328,0.5496829351149359,178350148499.8429,165.76677828525453,44155,44155
18,all_hours,256.5221252441406,195.41256713867188,0.1394170737800372,0.4052089231117654,0.20544898509979248,214.642822265625,0.5447910768882346,138896698963.01117,166.75295288883748,44155,44155
19,all_hours,260.3822937011719,196.54754638671875,0.11332052696427819,0.40801721209376063,0.20477719604969025,213.94097900390625,0.5419827879062393,120306279337.45963,168.47411114135653,44155,44155
20,all_hours,260.629150390625,195.88925170898438,0.11163855668767364,0.40736043483184237,0.2062375545501709,215.46669006347656,0.5426395651681576,125209185714.35762,168.09295200484175,44155,44155
21,all_hours,256.1131286621094,194.61985778808594,0.14215779284243413,0.39359075982334957,0.20766574144363403,216.9587860107422,0.5564092401766504,250979350716.69635,166.18399065792445,44155,44155
22,all_hours,252.5370330810547,191.10597229003906,0.1659464975512155,0.42348544898652474,0.21251261234283447,222.02255249023438,0.5265145510134752,57610668845.00116,162.61243800543124,44155,44155
23,all_hours,249.96075439453125,188.941162109375,0.18287706388109948,0.4251613633790058,0.21211811900138855,221.6103973388672,0.5248386366209942,52881523187.81077,160.52626789791333,44155,44155
24,all_hours,249.4880828857422,188.5774688720703,0.1859645198112473,0.4255690182312309,0.21472413837909698,224.33303833007812,0.5244309817687691,52451141568.019775,159.94175526606506,44155,44155
1,daylight,69.85122680664062,56.32786178588867,0.938694338609151,0.836584937164953,0.21851840615272522,228.12228393554688,0.11341506283504699,63.64415310063159,42.25046973531574,22758,22758
2,daylight,75.79750061035156,60.997867584228516,0.9278124525599442,0.8147464627823183,0.21625275909900665,225.75704956054688,0.13525353721768163,187.2650417410371,45.35898933503957,22758,22758
3,daylight,81.89925384521484,65.26107025146484,0.915722356109734,0.7959838298620265,0.21559733152389526,225.0728302001953,0.15401617013797342,476.7146285146895,48.3801159394482,22758,22758
4,daylight,87.12952423095703,68.8441390991211,0.9046143083836133,0.7865366025134019,0.21740113198757172,226.95590209960938,0.1634633974865981,770.8091902507297,51.141230457964596,22758,22758
5,daylight,91.86666870117188,72.20924377441406,0.8939603043201385,0.7649178310923631,0.21697251498699188,226.50845336914062,0.18508216890763685,2267.0156772128976,53.84355951502747,22758,22758
6,daylight,94.84797668457031,74.00078582763672,0.8869581755889371,0.7527359029578518,0.2137603610754013,223.15512084960938,0.1972640970421482,4106.626660179698,55.19458944340912,22753,22753
7,daylight,96.58747863769531,74.83637237548828,0.8827982811183606,0.7526919527095328,0.21327465772628784,222.6480712890625,0.19730804729046714,4106.308928774089,56.02804870175607,22753,22753
8,daylight,99.38966369628906,77.75601196289062,0.875913595938896,0.7305849778051245,0.2112034261226654,220.48580932617188,0.2194150221948754,12281.321401621983,57.98711380077499,22753,22753
9,daylight,100.40245056152344,78.46398162841797,0.8733672818196488,0.711378719289764,0.20986995100975037,219.09371948242188,0.23862128071023592,31882.208222096753,58.76468567755732,22753,22753
10,daylight,100.59532928466797,78.23777770996094,0.8728659780830004,0.7083022019074408,0.20997759699821472,219.2061004638672,0.2416977980925592,37202.8672480527,59.05624572100756,22753,22753
