group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,255.51849365234375,192.08486938476562,0.14651578301660007,0.42316366587400445,0.21039462089538574,219.80978393554688,0.5268363341259955,57961587393.849655,163.82603053767411,44155,1059720
Aggregate_excl_Rize,all_hours,256.4878234863281,190.98406982421875,0.19577888739971006,0.44375990827765827,0.21652014553546906,226.2094268798828,0.5062400917223417,21299147837.46751,162.60317482472192,35324,847776
Ankara,all_hours,254.23562622070312,191.24722290039062,0.18052455252917987,0.4247678632091496,0.21689768135547638,221.02525329589844,0.5252321367908503,55147502079.78901,162.86548184971645,8831,211944
Antalya,all_hours,257.8702087402344,189.61520385742188,0.19044648546144183,0.46729324727286453,0.22403879463672638,229.3776397705078,0.4827067527271354,6794651425.848283,161.43693225085673,8831,211944
Konya,all_hours,255.6656036376953,190.92979431152344,0.22101011628166378,0.43996055561846525,0.2190912365913391,226.7528533935547,0.5100394443815347,26060984564.36493,162.45675392669048,8831,211944
Rize,all_hours,251.6036834716797,196.48818969726562,-0.19243629767929726,0.3407786962593893,0.19797280430793762,194.21131896972656,0.6092213037406107,3354888250089.1147,168.71745338948313,8831,211944
Van,all_hours,258.15960693359375,192.1439666748047,0.18947918766517746,0.4430179670101536,0.21792961657047272,227.6819610595703,0.5069820329898463,22248012626.457333,163.65353127162396,8831,211944
Aggregate,daylight,98.35579681396484,76.25569915771484,0.87842413817501,0.7270027282881365,0.21188782155513763,221.20028686523438,0.22299727171186345,14737.929308575049,57.344161367611974,44155,546130
Aggregate_excl_Rize,daylight,94.41383361816406,73.12549591064453,0.8916373206937468,0.7577553210230458,0.21876676380634308,228.3268585205078,0.1922446789769542,3270.021143153914,54.763380194510695,35324,437087
Ankara,daylight,94.99102783203125,74.6467056274414,0.8889398844948465,0.7363832038232826,0.21889042854309082,222.82608032226562,0.21361679617671736,9525.034185163584,55.68773801382866,8831,109644
Antalya,daylight,90.71167755126953,69.2752685546875,0.8996381012297177,0.7884813954345983,0.22587040066719055,230.7740478515625,0.16151860456540168,726.6516641701648,51.84427964768654,8831,108468
Konya,daylight,94.7546157836914,74.07046508789062,0.8932914642757599,0.7506394095509518,0.22184783220291138,229.2176055908203,0.1993605904490482,4732.991923742846,55.502496733639575,8831,109476
Rize,daylight,112.78209686279297,88.8027114868164,0.7901683531950042,0.6037343066496703,0.1965254843235016,192.63427734375,0.34626569335032964,6493560.37931528,67.68894187261753,8831,109043
Van,daylight,97.05135345458984,74.47148132324219,0.8843414117069863,0.7558333866062704,0.22115857899188995,230.5202178955078,0.19416661339372954,3639.189096554131,55.99045247036659,8831,109499
