group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,72.96348571777344,39.31047058105469,0.9304075605994679,0.7348988412033367,0.14711351692676544,153.6968536376953,0.21510115879666325,6894.839488801395,29.321818912455647,44155,1059720
Aggregate_excl_Rize,all_hours,71.3372802734375,38.90196990966797,0.9377878875046156,0.747742328162156,0.1538112759590149,160.6943359375,0.20225767183784393,3792.934359702771,29.031343408852194,35324,847776
Ankara,all_hours,70.0738754272461,38.1541862487793,0.9377448238378174,0.7413562073000415,0.15373645722866058,156.6620635986328,0.20864379269995847,5217.1348130493025,28.485801074432914,8831,211944
Antalya,all_hours,67.38302612304688,36.5524787902832,0.9447230231310101,0.762465556939569,0.15969857573509216,163.5041961669922,0.187534443060431,1886.2380590706714,27.650228013034834,8831,211944
Konya,all_hours,72.02000427246094,39.49681854248047,0.9381850442646692,0.7434794096553806,0.1567070484161377,162.1870880126953,0.20652059034461934,4782.339473325113,29.547251780650903,8831,211944
Rize,all_hours,79.1348648071289,40.944454193115234,0.8820394224628652,0.6835248933680594,0.12814146280288696,125.70677185058594,0.2664751066319405,78365.30104102622,30.483720926869466,8831,211944
Van,all_hours,75.61962890625,41.4044075012207,0.9304564957096352,0.743668138753633,0.1535525768995285,160.42405700683594,0.20633186124636693,4642.061759793231,30.44209276729015,8831,211944
Aggregate,daylight,101.45902252197266,73.94633483886719,0.8706314180324937,0.8228773368978082,0.2793172001838684,291.5931701660156,0.12712266310219178,161.17012627065242,55.52567912548999,44155,546130
Aggregate_excl_Rize,daylight,99.1517562866211,72.98442840576172,0.8804886333919024,0.8407273609144175,0.29199984669685364,304.7602233886719,0.10927263908558249,69.19019293583432,54.84539568478215,35324,437087
Ankara,daylight,97.24655151367188,71.43521881103516,0.883603129345913,0.8343092189267083,0.29093337059020996,296.16436767578125,0.11569078107329167,94.91180183384033,53.70819923997132,8831,109644
Antalya,daylight,93.97459411621094,68.8683853149414,0.8922881881835591,0.8664122137404581,0.30574774742126465,312.3855285644531,0.08358778625954189,20.279008989269627,52.50883370052685,8831,108468
Konya,daylight,99.99811553955078,73.92670440673828,0.8811546861875373,0.834593883590924,0.2970772087574005,306.94610595703125,0.11540611640907594,95.5506581645173,55.691771401050204,8831,109476
Rize,daylight,110.22376251220703,77.80208587646484,0.7995799783076677,0.7513274579752941,0.24363848567008972,238.814453125,0.19867254202470586,5022.112028877933,58.25252127261238,8831,109043
Van,daylight,105.01266479492188,77.67089080810547,0.8645877367191324,0.8278431766500151,0.2912977337837219,303.62835693359375,0.1221568233499849,131.1910490072451,57.452461908116476,8831,109499
