horizon_step,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
1,all_hours,51.555931091308594,27.67131996154785,0.9652741575459113,0.9542973615672065,0.1432487517595291,149.6591339111328,0.0042973615672065035,0.1432487517595291,21.775960253668433,44155,44155
2,all_hours,54.09528732299805,28.828102111816406,0.9617691087783011,0.9441739327369494,0.14361542463302612,150.04222106933594,0.005826067263050572,0.335797345487123,22.70233806517548,44155,44155
3,all_hours,60.34796905517578,31.968347549438477,0.9524203940230189,0.9335522590873061,0.14194729924201965,148.2994384765625,0.016447740912693853,0.46500886213426645,24.526288795872947,44155,44155
4,all_hours,65.80500030517578,34.93475341796875,0.9434264541397815,0.9162495753595289,0.14062514901161194,146.91812133789062,0.033750424640471066,0.9008536631771167,26.21210897022864,44155,44155
5,all_hours,70.30474853515625,37.34798049926758,0.9354249377443455,0.9109274147888121,0.14014585316181183,146.41737365722656,0.03907258521118784,1.1287687378250357,27.66717940513997,44155,44155
6,all_hours,71.11173248291016,37.55488204956055,0.9339356874099812,0.9098856301664591,0.140518918633461,146.80714416503906,0.040114369833540886,1.184775622953238,27.954195834888306,44155,44155
7,all_hours,71.31884765625,37.28792190551758,0.9335520702481381,0.9116294870343109,0.1426135152578354,148.99546813964844,0.03837051296568905,1.1139412450734207,27.98147169696719,44155,44155
8,all_hours,72.24384307861328,37.967708587646484,0.9318132145127456,0.9049484769561771,0.14404526352882385,150.4912872314453,0.04505152304382287,1.5142339441728945,28.597116680642728,44155,44155
9,all_hours,73.73487091064453,38.701168060302734,0.9289582562738252,0.9077567659381723,0.14489221572875977,151.3761444091797,0.04224323406182762,1.3425844299169605,28.963081912190113,44155,44155
10,all_hours,74.46221160888672,39.0914306640625,0.9275372412323073,0.9083908957083003,0.14458847045898438,151.05880737304688,0.04160910429169962,1.3024693519284756,29.153879589444557,44155,44155
11,all_hours,73.71719360351562,38.56914138793945,0.9289612929832465,0.9088891405276865,0.14591717720031738,152.4469757080078,0.04111085947231341,1.28568761973074,28.86517946541359,44155,44155
12,all_hours,74.03158569335938,38.80683517456055,0.9283377997422051,0.9047672970218549,0.14566670358181,152.18528747558594,0.04523270297814508,1.5438881446941795,29.156017617450917,44155,44155
13,all_hours,74.36800384521484,38.75343322753906,0.9276743396134783,0.910678292379119,0.14748536050319672,154.0853271484375,0.03932170762088094,1.2009232772895768,29.288883131772685,44155,44155
14,all_hours,75.42808532714844,39.621612548828125,0.9255929075733689,0.9037934548748726,0.14790087938308716,154.51943969726562,0.04620654512512734,1.6384048420798936,29.90443768393128,44155,44155
15,all_hours,76.056884765625,39.86250305175781,0.924349654529335,0.9029554976786321,0.14730124175548553,153.89297485351562,0.04704450232136781,1.6952792842490025,29.910382872512695,44155,44155
16,all_hours,76.93270874023438,40.779842376708984,0.9225990706165719,0.8982674668780433,0.14448758959770203,150.9534149169922,0.05173253312195669,2.063988089405084,30.257726467240964,44155,44155
17,all_hours,78.14262390136719,41.59823226928711,0.9201439049751432,0.8943720982901143,0.14227306842803955,148.63978576660156,0.05562790170988563,2.4387772246333785,30.594956736552273,44155,44155
18,all_hours,77.69003295898438,41.10187530517578,0.9210642512160816,0.8991733665496546,0.14252956211566925,148.9077606201172,0.05082663345034533,1.9521657522914038,30.394641184784412,44155,44155
19,all_hours,78.1584243774414,41.45002746582031,0.920109459559459,0.8938512059789379,0.14277945458889008,149.16883850097656,0.0561487940210621,2.508270394997619,30.68285593365057,44155,44155
20,all_hours,78.33219146728516,41.532413482666016,0.9197538452214575,0.8928547163401653,0.14322225749492645,149.63145446777344,0.05714528365983462,2.6372689671461123,30.76994170382468,44155,44155
21,all_hours,77.50144958496094,40.54342269897461,0.9214468969219464,0.9029102026950515,0.14470377564430237,151.1792755126953,0.047089797304948444,1.6688331004703114,30.244294903542954,44155,44155
22,all_hours,76.92374420166016,40.05410385131836,0.9226136146188908,0.9013701732533121,0.14488674700260162,151.37042236328125,0.04862982674668781,1.793094422834092,30.041352673888515,44155,44155
