group,subset,RMSE,MAE,R2,CP,PINW,MPIW,Reliability,CWC,CRPS,n_samples,n_elements
Aggregate,all_hours,72.83551788330078,38.10847854614258,0.9306514911663242,0.9087192843392594,0.14383673667907715,150.2734375,0.04128071566074054,1.276939170532506,28.615331541165432,44155,1059720
Aggregate_excl_Rize,all_hours,71.19406127929688,37.62851333618164,0.938037431123669,0.9178839693503944,0.15039470791816711,157.1248779296875,0.032116030649605554,0.8996387517533895,28.276584219976012,35324,847776
Ankara,all_hours,69.94490051269531,36.95525360107422,0.9379737816243593,0.9142839618012305,0.1503521353006363,153.21334838867188,0.03571603819876945,1.047106533922974,27.784611961024687,8831,211944
Antalya,all_hours,67.22807312011719,35.245235443115234,0.9449769643548767,0.9316328841580795,0.15615056455135345,159.8716278076172,0.01836711584192041,0.5473339596766669,26.872797407941462,8831,211944
Konya,all_hours,71.86885070800781,38.18555450439453,0.9384442417347022,0.9145623372211528,0.15319062769412994,158.54769897460938,0.03543766277884719,1.0542455541821807,28.766619323507022,8831,211944
Rize,all_hours,79.06121826171875,40.02836990356445,0.8822588535887792,0.8720605442947194,0.12524725496768951,122.86756134033203,0.0779394557052806,6.294065761669668,29.970320825923228,8831,211944
Van,all_hours,75.48075103759766,40.12798309326172,0.9307117001327169,0.911056694221115,0.15014779567718506,156.86691284179688,0.03894330577888494,1.2025023890644821,29.68230818743086,8831,211944
Aggregate,daylight,101.45902252197266,73.94633483886719,0.8706314180324937,0.8228773368978082,0.2793172001838684,291.5931701660156,0.12712266310219178,161.17012627065242,55.52567912548999,44155,546130
Aggregate_excl_Rize,daylight,99.1517562866211,72.98442840576172,0.8804886333919024,0.8407273609144175,0.29199984669685364,304.7602233886719,0.10927263908558249,69.19019293583432,54.84539568478215,35324,437087
Ankara,daylight,97.24655151367188,71.43521881103516,0.883603129345913,0.8343092189267083,0.29093337059020996,296.16436767578125,0.11569078107329167,94.91180183384033,53.70819923997132,8831,109644
Antalya,daylight,93.97459411621094,68.8683853149414,0.8922881881835591,0.8664122137404581,0.30574774742126465,312.3855285644531,0.08358778625954189,20.279008989269627,52.50883370052685,8831,108468
Konya,daylight,99.99811553955078,73.92670440673828,0.8811546861875373,0.834593883590924,0.2970772087574005,306.94610595703125,0.11540611640907594,95.5506581645173,55.691771401050204,8831,109476
Rize,daylight,110.22376251220703,77.80208587646484,0.7995799783076677,0.7513274579752941,0.24363848567008972,238.814453125,0.19867254202470586,5022.112028877933,58.25252127261238,8831,109043
Van,daylight,105.01266479492188,77.67089080810547,0.8645877367191324,0.8278431766500151,0.2912977337837219,303.62835693359375,0.1221568233499849,131.1910490072451,57.452461908116476,8831,109499
